time,ids,centers,rotation
11-06 16:02:49.60,(32),"(-58.85 , -98.975)",(3.1941768766454213)
11-06 16:02:49.72,(32),"(-59.51875, -97.6375 )",(3.1679040253155044)
11-06 16:02:49.83,(32),"(-59.51875, -96.96875)",(3.141592653589793)
11-06 16:02:49.94,(32),"(-60.1875, -94.9625)",(3.141592653589793)
11-06 16:02:50.06,(32),"(-59.51875, -93.625  )",(3.141592653589793)
11-06 16:02:50.18,(32),"(-59.51875, -92.2875 )",(3.141592653589793)
11-06 16:02:50.28,(32),"(-59.51875, -90.95   )",(3.141592653589793)
11-06 16:02:50.39,(32),"(-59.51875, -89.6125 )",(3.1679040253155044)
11-06 16:02:50.50,(32),"(-59.51875, -88.275  )",(3.1686126851673384)
11-06 16:02:50.62,(32),"(-59.51875, -86.9375 )",(3.141592653589793)
11-06 16:02:50.73,(32),"(-59.51875, -86.26875)",(3.1686126851673384)
11-06 16:02:50.84,(32),"(-59.51875, -84.93125)",(3.1686126851673384)
11-06 16:02:50.95,(32),"(-59.51875, -83.59375)",(3.1686126851673384)
11-06 16:02:51.07,(32),"(-59.51875, -83.59375)",(3.1679040253155044)
11-06 16:02:51.18,(32),"(-59.51875, -82.925  )",(3.141592653589793)
11-06 16:02:51.28,(32),"(-59.51875, -81.5875 )",(3.1686126851673384)
11-06 16:02:51.39,(32),"(-58.85   , -80.91875)",(3.1955945999975475)
11-06 16:02:51.50,(32),"(-59.51875, -79.58125)",(3.1686126851673384)
11-06 16:02:51.61,(32),"(-59.51875, -78.24375)",(3.1679040253155044)
11-06 16:02:51.73,(32),"(-59.51875, -76.90625)",(3.1686126851673384)
11-06 16:02:51.84,(32),"(-59.51875, -75.56875)",(3.1686126851673384)
11-06 16:02:51.93,(32),"(-59.51875, -74.9    )",(3.1679040253155044)
11-06 16:02:52.04,(32),"(-59.51875, -72.89375)",(3.141592653589793)
11-06 16:02:52.16,(32),"(-59.51875, -72.225  )",(3.141592653589793)
11-06 16:02:52.27,(32),"(-59.51875, -70.8875 )",(3.1679040253155044)
11-06 16:02:52.38,(32),"(-59.51875, -68.88125)",(3.141592653589793)
11-06 16:02:52.49,(32),"(-60.1875 , -67.54375)",(3.141592653589793)
11-06 16:02:52.61,(32),"(-59.51875, -66.875  )",(3.141592653589793)
11-06 16:02:52.73,(32),"(-59.51875, -65.5375 )",(3.1679040253155044)
11-06 16:02:52.83,(32),"(-59.51875, -63.53125)",(3.1679040253155044)
11-06 16:02:52.95,(32),"(-58.85  , -62.8625)",(3.1955945999975475)
11-06 16:02:53.06,(32),"(-59.51875, -62.19375)",(3.1686126851673384)
11-06 16:02:53.17,(32),"(-58.85   , -62.19375)",(3.1686126851673384)
