time,ids,centers,rotation
11-06 17:02:54.28,(32),"(-60.1875, -97.6375)",(3.141592653589793)
11-06 17:02:54.40,(32),"(-60.1875 , -96.96875)",(3.1679040253155044)
11-06 17:02:54.50,(32),"(-60.1875 , -96.96875)",(3.1686126851673384)
11-06 17:02:54.60,(32),"(-60.1875 , -95.63125)",(3.141592653589793)
11-06 17:02:54.72,(32),"(-60.1875, -94.9625)",(3.1686126851673384)
11-06 17:02:54.84,(32),"(-60.85625, -93.625  )",(3.1686126851673384)
11-06 17:02:54.93,(32),"(-60.85625, -92.95625)",(3.1679040253155044)
11-06 17:02:55.04,(32),"(-60.85625, -91.61875)",(3.1679040253155044)
11-06 17:02:55.16,(32),"(-60.85625, -90.28125)",(3.141592653589793)
11-06 17:02:55.28,(32),"(-60.1875 , -88.94375)",(3.1679040253155044)
11-06 17:02:55.40,(32),"(-60.1875, -86.9375)",(3.1686126851673384)
11-06 17:02:55.51,(32),"(-60.85625, -86.9375 )",(3.1686126851673384)
11-06 17:02:55.62,(32),"(-60.1875, -85.6   )",(3.141592653589793)
11-06 17:02:55.73,(32),"(-60.1875 , -84.93125)",(3.1679040253155044)
11-06 17:02:55.86,(32),"(-60.85625, -83.59375)",(3.1679040253155044)
11-06 17:02:55.97,(32),"(-60.85625, -82.25625)",(3.1941768766454213)
11-06 17:02:56.08,(32),"(-61.525 , -81.5875)",(3.1679040253155044)
11-06 17:02:56.20,(32),"(-61.525  , -80.91875)",(3.1679040253155044)
11-06 17:02:56.31,(32),"(-61.525 , -78.9125)",(3.1679040253155044)
11-06 17:02:56.42,(32),"(-61.525, -77.575)",(3.1686126851673384)
11-06 17:02:56.54,(32),"(-61.525  , -76.90625)",(3.1686126851673384)
11-06 17:02:56.65,(32),"(-60.85625, -76.2375 )",(3.1941768766454213)
11-06 17:02:56.76,(32),"(-60.85625, -75.56875)",(3.1679040253155044)
11-06 17:02:56.88,(32),"(-60.85625, -73.5625 )",(3.1686126851673384)
11-06 17:02:56.99,(32),"(-61.525, -72.225)",(3.1686126851673384)
11-06 17:02:57.10,(32),"(-60.85625, -71.55625)",(3.1679040253155044)
11-06 17:02:57.21,(32),"(-60.85625, -69.55   )",(3.141592653589793)
11-06 17:02:57.31,(32),"(-60.85625, -68.2125 )",(3.1686126851673384)
11-06 17:02:57.42,(32),"(-60.85625, -67.54375)",(3.1679040253155044)
