time,ids,centers,rotation
11-06 15:59:54.87,(32),"(-58.85  , -92.2875)",(3.1686126851673384)
11-06 15:59:54.99,(32),"(-59.51875, -90.95   )",(3.1686126851673384)
11-06 15:59:55.09,(32),"(-58.85   , -90.28125)",(3.1955945999975475)
11-06 15:59:55.21,(32),"(-58.85   , -88.94375)",(3.1955945999975475)
11-06 15:59:55.31,(32),"(-59.51875, -87.60625)",(3.1686126851673384)
11-06 15:59:55.42,(32),"(-58.85   , -86.26875)",(3.1955945999975475)
11-06 15:59:55.54,(32),"(-59.51875, -84.93125)",(3.1686126851673384)
11-06 15:59:55.64,(32),"(-59.51875, -84.2625 )",(3.1686126851673384)
11-06 15:59:55.74,(32),"(-59.51875, -84.2625 )",(3.1679040253155044)
11-06 15:59:55.86,(32),"(-59.51875, -82.925  )",(3.141592653589793)
11-06 15:59:55.98,(32),"(-59.51875, -81.5875 )",(3.141592653589793)
11-06 15:59:56.08,(32),"(-59.51875, -80.91875)",(3.1686126851673384)
11-06 15:59:56.19,(32),"(-59.51875, -79.58125)",(3.141592653589793)
11-06 15:59:56.29,(32),"(-59.51875, -78.24375)",(3.141592653589793)
11-06 15:59:56.42,(32),"(-59.51875, -76.90625)",(3.1686126851673384)
11-06 15:59:56.51,(32),"(-59.51875, -76.2375 )",(3.1686126851673384)
11-06 15:59:56.63,(32),"(-58.85, -74.9 )",(3.1686126851673384)
11-06 15:59:56.73,(32),"(-59.51875, -73.5625 )",(3.1693634018177654)
11-06 15:59:56.84,(32),"(-59.51875, -72.225  )",(3.1686126851673384)
11-06 15:59:56.95,(32),"(-58.85   , -71.55625)",(3.1679040253155044)
11-06 15:59:57.07,(32),"(-58.85   , -70.21875)",(3.1686126851673384)
11-06 15:59:57.18,(32),"(-58.18125, -68.88125)",(3.1955945999975475)
11-06 15:59:57.28,(32),"(-58.18125, -67.54375)",(3.141592653589793)
11-06 15:59:57.39,(32),"(-58.18125, -66.20625)",(3.141592653589793)
11-06 15:59:57.50,(32),"(-58.18125, -64.86875)",(3.141592653589793)
11-06 15:59:57.61,(32),"(-58.18125, -64.2    )",(3.141592653589793)
11-06 15:59:57.72,(32),"(-58.18125, -63.53125)",(3.115281281864082)
11-06 15:59:57.82,(32),"(-58.18125, -63.53125)",(3.1686126851673384)
11-06 15:59:57.94,(32),"(-58.85   , -62.19375)",(3.1679040253155044)
11-06 15:59:58.05,(32),"(-58.85   , -60.85625)",(3.1679040253155044)
11-06 15:59:58.17,(32),"(-59.51875, -59.51875)",(3.141592653589793)
11-06 15:59:58.26,(32),"(-58.85, -58.85)",(3.1679040253155044)
11-06 15:59:58.37,(32),"(-59.51875, -56.84375)",(3.141592653589793)
11-06 15:59:58.49,(32),"(-58.85 , -56.175)",(3.141592653589793)
11-06 15:59:58.60,(32),"(-58.85  , -54.8375)",(3.141592653589793)
11-06 15:59:58.72,(32),"(-58.85, -53.5 )",(3.141592653589793)
11-06 15:59:58.82,(32),"(-59.51875, -52.1625 )",(3.141592653589793)
11-06 15:59:58.94,(32),"(-59.51875, -50.825  )",(3.141592653589793)
11-06 15:59:59.05,(32),"(-58.85   , -50.15625)",(3.1941768766454213)
11-06 15:59:59.16,(32),"(-59.51875, -48.15   )",(3.1686126851673384)
11-06 15:59:59.27,(32),"(-59.51875, -46.8125 )",(3.1686126851673384)
11-06 15:59:59.37,(32),"(-59.51875, -46.14375)",(3.1686126851673384)
11-06 15:59:59.48,(32),"(-59.51875, -44.80625)",(3.141592653589793)
11-06 15:59:59.59,(32),"(-59.51875, -43.46875)",(3.141592653589793)
11-06 15:59:59.70,(32),"(-59.51875, -42.8    )",(3.1686126851673384)
11-06 15:59:59.81,(32),"(-59.51875, -42.8    )",(3.1686126851673384)
11-06 15:59:59.92,(32),"(-59.51875, -41.4625 )",(3.1686126851673384)
11-06 16:00:00.03,(32),"(-59.51875, -40.125  )",(3.1679040253155044)
11-06 16:00:00.15,(32),"(-59.51875, -38.7875 )",(3.1686126851673384)
11-06 16:00:00.25,(32),"(-59.51875, -37.45   )",(3.1686126851673384)
11-06 16:00:00.35,(32),"(-58.85  , -36.1125)",(3.141592653589793)
11-06 16:00:00.47,(32),"(-59.51875, -34.775  )",(3.141592653589793)
11-06 16:00:00.58,(32),"(-58.85  , -33.4375)",(3.141592653589793)
11-06 16:00:00.69,(32),"(-58.85, -32.1 )",(3.141592653589793)
11-06 16:00:00.81,(32),"(-58.85   , -31.43125)",(3.1679040253155044)
11-06 16:00:00.91,(32),"(-58.85   , -30.09375)",(3.141592653589793)
11-06 16:00:01.03,(32),"(-58.85   , -28.75625)",(3.141592653589793)
11-06 16:00:01.14,(32),"(-58.85   , -27.41875)",(3.141592653589793)
11-06 16:00:01.25,(32),"(-59.51875, -26.08125)",(3.141592653589793)
