time,ids,centers,rotation
11-06 17:10:16.48,(32),"(-60.85625, -18.05625)",(3.0875907071820388)
11-06 17:10:16.59,(32),"(-60.85625, -17.3875 )",(3.089008430534165)
11-06 17:10:16.70,(32),"(-60.85625, -16.05   )",(3.086095208747534)
11-06 17:10:16.82,(32),"(-60.85625, -15.38125)",(3.115281281864082)
11-06 17:10:16.93,(32),"(-60.85625, -14.7125 )",(3.115281281864082)
11-06 17:10:17.05,(32),"(-60.85625, -14.04375)",(3.115281281864082)
11-06 17:10:17.16,(32),"(-60.85625, -12.70625)",(3.089008430534165)
11-06 17:10:17.27,(32),"(-60.85625, -11.36875)",(3.115281281864082)
11-06 17:10:17.38,(32),"(-60.85625, -10.03125)",(3.089008430534165)
11-06 17:10:17.49,(32),"(-60.85625,  -8.69375)",(3.089008430534165)
11-06 17:10:17.60,(32),"(-60.85625,  -7.35625)",(3.089008430534165)
11-06 17:10:17.72,(32),"(-60.85625,  -6.01875)",(3.114572622012248)
11-06 17:10:17.83,(32),"(-60.85625,  -4.68125)",(3.0875907071820388)
11-06 17:10:17.95,(32),"(-60.85625,  -3.34375)",(3.0875907071820388)
11-06 17:10:18.06,(32),"(-60.85625,  -3.34375)",(3.141592653589793)
11-06 17:10:18.17,(32),"(-60.85625,  -2.00625)",(3.115281281864082)
11-06 17:10:18.28,(32),"(-60.85625,  -0.66875)",(3.115281281864082)
11-06 17:10:18.40,(32),"(-60.85625,   0.66875)",(3.115281281864082)
11-06 17:10:18.51,(32),"(-60.85625,   2.00625)",(3.114572622012248)
11-06 17:10:18.62,(32),"(-60.85625,   3.34375)",(3.114572622012248)
11-06 17:10:18.73,(32),"(-60.85625,   4.0125 )",(3.115281281864082)
11-06 17:10:18.85,(32),"(-60.85625,   5.35   )",(3.115281281864082)
11-06 17:10:18.95,(32),"(-60.85625,   6.6875 )",(3.114572622012248)
11-06 17:10:19.06,(32),"(-60.85625,   6.6875 )",(3.115281281864082)
11-06 17:10:19.17,(32),"(-60.85625,   8.025  )",(3.114572622012248)
11-06 17:10:19.28,(32),"(-60.85625,   8.69375)",(3.115281281864082)
11-06 17:10:19.40,(32),"(-60.85625,  10.7    )",(3.0875907071820388)
11-06 17:10:19.50,(32),"(-60.85625,  11.36875)",(3.114572622012248)
11-06 17:10:19.61,(32),"(-60.85625,  12.70625)",(3.086095208747534)
11-06 17:10:19.72,(32),"(-60.85625,  13.375  )",(3.115281281864082)
11-06 17:10:19.83,(32),"(-60.85625,  14.7125 )",(3.0875907071820388)
11-06 17:10:19.94,(32),"(-60.85625,  16.05   )",(3.086095208747534)
11-06 17:10:20.04,(32),"(-60.85625,  16.71875)",(3.115281281864082)
11-06 17:10:20.15,(32),"(-60.85625,  16.71875)",(3.115281281864082)
11-06 17:10:20.27,(32),"(-60.85625,  18.05625)",(3.115281281864082)
11-06 17:10:20.38,(32),"(-60.1875,  18.725 )",(3.114572622012248)
11-06 17:10:20.49,(32),"(-60.85625,  20.0625 )",(3.115281281864082)
11-06 17:10:20.60,(32),"(-60.1875,  21.4   )",(3.115281281864082)
11-06 17:10:20.70,(32),"(-60.1875 ,  22.06875)",(3.114572622012248)
11-06 17:10:20.81,(32),"(-60.1875 ,  23.40625)",(3.114572622012248)
11-06 17:10:20.92,(32),"(-60.1875 ,  24.74375)",(3.115281281864082)
11-06 17:10:21.04,(32),"(-60.85625,  26.08125)",(3.114572622012248)
11-06 17:10:21.15,(32),"(-60.85625,  26.75   )",(3.114572622012248)
11-06 17:10:21.24,(32),"(-60.85625,  27.41875)",(3.114572622012248)
11-06 17:10:21.36,(32),"(-60.1875,  28.0875)",(3.114572622012248)
11-06 17:10:21.47,(32),"(-60.1875 ,  30.09375)",(3.0875907071820388)
11-06 17:10:21.58,(32),"(-60.1875 ,  31.43125)",(3.0606888983527116)
