time,ids,centers,rotation
11-06 15:28:00.83,(32),"(-89.6125, -14.7125)",(3.3545311653555845)
11-06 15:28:00.94,(32),"(-89.6125 , -14.04375)",(3.3802020412756173)
11-06 15:28:01.05,(32),"(-90.28125, -12.70625)",(3.3545311653555845)
11-06 15:28:01.16,(32),"(-90.28125, -11.36875)",(3.3602616448303104)
11-06 15:28:01.27,(32),"(-90.95, -10.7 )",(3.3545311653555845)
11-06 15:28:01.38,(32),"(-90.95  ,  -9.3625)",(3.3602616448303104)
11-06 15:28:01.50,(32),"(-90.95   ,  -8.69375)",(3.3802020412756173)
11-06 15:28:01.61,(32),"(-91.61875,  -7.35625)",(3.3602616448303104)
11-06 15:28:01.72,(32),"(-92.2875 ,  -6.01875)",(3.3602616448303104)
11-06 15:28:01.83,(32),"(-92.2875,  -5.35  )",(3.3602616448303104)
11-06 15:28:01.94,(32),"(-92.2875,  -5.35  )",(3.3865713844761336)
11-06 15:28:02.06,(32),"(-92.95625,  -4.68125)",(3.3545311653555845)
11-06 15:28:02.17,(32),"(-93.625  ,  -3.34375)",(3.3602616448303104)
11-06 15:28:02.28,(32),"(-94.29375,  -2.00625)",(3.3602616448303104)
11-06 15:28:02.39,(32),"(-93.625 ,  -1.3375)",(3.3802020412756173)
11-06 15:28:02.50,(32),"(-94.29375,   0.     )",(3.3545311653555845)
11-06 15:28:02.61,(32),"(-94.29375,   1.3375 )",(3.3545311653555845)
11-06 15:28:02.73,(32),"(-94.29375,   2.675  )",(3.3545311653555845)
11-06 15:28:02.84,(32),"(-94.9625 ,   3.34375)",(3.3545311653555845)
11-06 15:28:02.95,(32),"(-95.63125,   4.68125)",(3.3602616448303104)
11-06 15:28:03.06,(32),"(-95.63125,   6.01875)",(3.3865713844761336)
11-06 15:28:03.18,(32),"(-96.96875,   7.35625)",(3.3602616448303104)
11-06 15:28:03.27,(32),"(-96.96875,   8.025  )",(3.3545311653555845)
11-06 15:28:03.39,(32),"(-96.96875,   9.3625 )",(3.3545311653555845)
11-06 15:28:03.50,(32),"(-97.6375 ,  10.03125)",(3.3545311653555845)
11-06 15:28:03.61,(32),"(-98.30625,  11.36875)",(3.3602616448303104)
11-06 15:28:03.72,(32),"(-98.30625,  12.0375 )",(3.3545311653555845)
11-06 15:28:03.84,(32),"(-98.975,  13.375)",(3.3545311653555845)
11-06 15:28:03.95,(32),"(-98.975 ,  14.7125)",(3.3545311653555845)
11-06 15:28:04.06,(32),"(-98.975 ,  14.7125)",(3.3545311653555845)
11-06 15:28:04.17,(32),"(-99.64375,  16.05   )",(3.3602616448303104)
11-06 15:28:04.29,(32),"(-100.3125 ,   16.71875)",(3.3602616448303104)
11-06 15:28:04.39,(32),"(-100.98125,   17.3875 )",(3.3602616448303104)
11-06 15:28:04.50,(32),"(-101.65   ,   18.05625)",(3.3545311653555845)
11-06 15:28:04.61,(32),"(-102.31875,   18.725  )",(3.3802020412756173)
11-06 15:28:04.73,(32),"(-102.9875,   20.0625)",(3.3865713844761336)
11-06 15:28:04.83,(32),"(-104.325  ,   20.73125)",(3.3602616448303104)
11-06 15:28:04.95,(32),"(-104.325,   21.4  )",(3.3865713844761336)
11-06 15:28:05.06,(32),"(-105.6625 ,   22.06875)",(3.3602616448303104)
11-06 15:28:05.17,(32),"(-106.33125,   22.7375 )",(3.3545311653555845)
11-06 15:28:05.28,(32),"(-107.   ,   24.075)",(3.3865713844761336)
11-06 15:28:05.40,(32),"(-107.66875,   24.075  )",(3.3802020412756173)
11-06 15:28:05.51,(32),"(-109.00625,   25.4125 )",(3.3602616448303104)
11-06 15:28:05.62,(32),"(-109.675  ,   26.08125)",(3.3602616448303104)
11-06 15:28:05.74,(32),"(-110.34375,   26.75   )",(3.3545311653555845)
11-06 15:28:05.85,(32),"(-111.0125 ,   27.41875)",(3.3545311653555845)
11-06 15:28:05.96,(32),"(-111.68125,   28.0875 )",(3.3545311653555845)
11-06 15:28:06.07,(32),"(-112.35   ,   28.75625)",(3.3545311653555845)
11-06 15:28:06.19,(32),"(-113.01875,   29.425  )",(3.3602616448303104)
11-06 15:28:06.30,(32),"(-113.01875,   29.425  )",(3.3545311653555845)
11-06 15:28:06.41,(32),"(-113.6875,   29.425 )",(3.3545311653555845)
11-06 15:28:06.51,(32),"(-114.35625,   29.425  )",(3.3545311653555845)
11-06 15:28:06.62,(32),"(-115.025  ,   30.09375)",(3.366303750902403)
11-06 15:28:06.73,(32),"(-117.03125,   29.425  )",(3.3602616448303104)
11-06 15:28:06.85,(32),"(-117.7    ,   28.75625)",(3.3545311653555845)
11-06 15:28:06.95,(32),"(-118.36875,   28.75625)",(3.3602616448303104)
11-06 15:28:07.08,(32),"(-119.70625,   28.0875 )",(3.3602616448303104)
11-06 15:28:07.18,(32),"(-120.375  ,   27.41875)",(3.3545311653555845)
11-06 15:28:07.29,(32),"(-121.7125,   26.75  )",(3.3602616448303104)
11-06 15:28:07.41,(32),"(-122.38125,   26.08125)",(3.3545311653555845)
11-06 15:28:07.52,(32),"(-123.05  ,   25.4125)",(3.3336404901437455)
11-06 15:28:07.63,(32),"(-124.3875,   24.075 )",(3.3602616448303104)
11-06 15:28:07.75,(32),"(-125.05625,   23.40625)",(3.3545311653555845)
11-06 15:28:07.86,(32),"(-125.725 ,   22.7375)",(3.3545311653555845)
11-06 15:28:07.97,(32),"(-126.39375,   22.06875)",(3.3545311653555845)
11-06 15:28:08.08,(32),"(-127.73125,   21.4    )",(3.3602616448303104)
11-06 15:28:08.19,(32),"(-128.4    ,   20.73125)",(3.3545311653555845)
11-06 15:28:08.31,(32),"(-129.06875,   20.0625 )",(3.3285720027818573)
11-06 15:28:08.42,(32),"(-129.06875,   20.0625 )",(3.3602616448303104)
11-06 15:28:08.53,(32),"(-129.7375,   18.725 )",(3.3865713844761336)
11-06 15:28:08.65,(32),"(-131.075  ,   18.05625)",(3.3285720027818573)
11-06 15:28:08.74,(32),"(-131.075  ,   16.71875)",(3.3545311653555845)
11-06 15:28:08.85,(32),"(-131.075,   16.05 )",(3.3336404901437455)
11-06 15:28:08.97,(32),"(-131.075 ,   14.7125)",(3.3285720027818573)
11-06 15:28:09.08,(32),"(-131.74375,   13.375  )",(3.3545311653555845)
11-06 15:28:09.18,(32),"(-131.74375,   12.70625)",(3.3285720027818573)
11-06 15:28:09.30,(32),"(-132.4125 ,   11.36875)",(3.3285720027818573)
11-06 15:28:09.40,(32),"(-132.4125,   10.7   )",(3.3602616448303104)
11-06 15:28:09.53,(32),"(-132.4125,    9.3625)",(3.3285720027818573)
11-06 15:28:09.64,(32),"(-132.4125,    8.025 )",(3.3285720027818573)
11-06 15:28:09.75,(32),"(-133.08125,    7.35625)",(3.3336404901437455)
11-06 15:28:09.86,(32),"(-133.75   ,    6.01875)",(3.3285720027818573)
11-06 15:28:09.96,(32),"(-133.08125,    5.35   )",(3.3602616448303104)
11-06 15:28:10.08,(32),"(-133.75  ,    4.0125)",(3.3285720027818573)
11-06 15:28:10.19,(32),"(-134.41875,    2.675  )",(3.3602616448303104)
11-06 15:28:10.30,(32),"(-134.41875,    2.00625)",(3.3336404901437455)
11-06 15:28:10.42,(32),"(-134.41875,    0.66875)",(3.3545311653555845)
11-06 15:28:10.52,(32),"(-134.41875,    0.     )",(3.3336404901437455)
11-06 15:28:10.64,(32),"(-134.41875,   -0.66875)",(3.3602616448303104)
11-06 15:28:10.76,(32),"(-134.41875,   -2.00625)",(3.3602616448303104)
11-06 15:28:10.87,(32),"(-133.75 ,   -2.675)",(3.3336404901437455)
11-06 15:28:10.98,(32),"(-133.75  ,   -4.0125)",(3.3285720027818573)
11-06 15:28:11.10,(32),"(-133.75,   -5.35)",(3.3285720027818573)
11-06 15:28:11.21,(32),"(-133.75  ,   -6.6875)",(3.3545311653555845)
11-06 15:28:11.31,(32),"(-133.75   ,   -7.35625)",(3.3285720027818573)
11-06 15:28:11.42,(32),"(-133.08125,   -8.025  )",(3.3336404901437455)
11-06 15:28:11.53,(32),"(-133.75  ,   -9.3625)",(3.3285720027818573)
11-06 15:28:11.64,(32),"(-133.08125,  -10.03125)",(3.3336404901437455)
11-06 15:28:11.76,(32),"(-132.4125 ,  -11.36875)",(3.3602616448303104)
11-06 15:28:11.86,(32),"(-132.4125,  -12.0375)",(3.3336404901437455)
11-06 15:28:11.97,(32),"(-132.4125,  -13.375 )",(3.3336404901437455)
11-06 15:28:12.08,(32),"(-131.74375,  -14.7125 )",(3.3285720027818573)
11-06 15:28:12.19,(32),"(-131.74375,  -15.38125)",(3.3336404901437455)
11-06 15:28:12.30,(32),"(-131.075  ,  -16.71875)",(3.3545311653555845)
11-06 15:28:12.41,(32),"(-131.075 ,  -17.3875)",(3.3336404901437455)
11-06 15:28:12.52,(32),"(-131.075,  -18.725)",(3.3285720027818573)
11-06 15:28:12.63,(32),"(-131.075 ,  -20.0625)",(3.3285720027818573)
11-06 15:28:12.75,(32),"(-131.075 ,  -20.0625)",(3.3285720027818573)
11-06 15:28:12.86,(32),"(-131.075  ,  -20.73125)",(3.3336404901437455)
11-06 15:28:12.97,(32),"(-129.7375 ,  -22.06875)",(3.3545311653555845)
11-06 15:28:13.08,(32),"(-129.7375,  -22.7375)",(3.3336404901437455)
11-06 15:28:13.18,(32),"(-129.7375,  -24.075 )",(3.3023553253114106)
11-06 15:28:13.29,(32),"(-128.4   ,  -25.4125)",(3.3545311653555845)
11-06 15:28:13.41,(32),"(-128.4    ,  -26.08125)",(3.3285720027818573)
11-06 15:28:13.52,(32),"(-128.4 ,  -26.75)",(3.3336404901437455)
11-06 15:28:13.63,(32),"(-128.4   ,  -28.0875)",(3.3023553253114106)
