time,ids,centers,rotation
11-06 15:49:56.22,(32),"(-215.3375,  -72.225 )",(1.935997750212521)
11-06 15:49:56.34,(32),"(-216.00625,  -72.89375)",(1.9513026976430707)
11-06 15:49:56.45,(32),"(-216.00625,  -72.89375)",(1.9513026976430707)
11-06 15:49:56.56,(32),"(-215.3375,  -72.225 )",(1.935997750212521)
11-06 15:49:56.67,(32),"(-215.3375,  -72.225 )",(1.935997750212521)
11-06 15:49:56.78,(32),"(-215.3375,  -72.225 )",(1.935997750212521)
11-06 15:49:56.90,(32),"(-215.3375,  -72.225 )",(1.935997750212521)
11-06 15:49:57.01,(32),"(-215.3375 ,  -72.89375)",(1.9614033560078514)
11-06 15:49:57.10,(32),"(-215.3375 ,  -72.89375)",(1.935997750212521)
11-06 15:49:57.22,(32),"(-215.3375 ,  -72.89375)",(1.9264322355466077)
11-06 15:49:57.34,(32),"(-215.3375 ,  -72.89375)",(1.935997750212521)
11-06 15:49:57.44,(32),"(-215.3375 ,  -72.89375)",(1.9264322355466077)
11-06 15:49:57.54,(32),"(-215.3375 ,  -72.89375)",(1.9264322355466077)
11-06 15:49:57.66,(32),"(-215.3375 ,  -72.89375)",(1.9264322355466077)
11-06 15:49:57.78,(32),"(-215.3375 ,  -72.89375)",(1.9264322355466077)
11-06 15:49:57.89,(32),"(-215.3375 ,  -72.89375)",(1.9264322355466077)
11-06 15:49:58.00,(32),"(-215.3375,  -73.5625)",(1.9264322355466077)
11-06 15:49:58.12,(32),"(-215.3375,  -73.5625)",(1.935997750212521)
11-06 15:49:58.23,(32),"(-215.3375,  -73.5625)",(1.9264322355466077)
11-06 15:49:58.34,(32),"(-215.3375,  -73.5625)",(1.9264322355466077)
11-06 15:49:58.46,(32),"(-215.3375,  -73.5625)",(1.9010936662972417)
11-06 15:49:58.57,(32),"(-215.3375,  -73.5625)",(1.9010936662972417)
11-06 15:49:58.67,(32),"(-215.3375,  -73.5625)",(1.9010936662972417)
11-06 15:49:58.78,(32),"(-215.3375,  -73.5625)",(1.9100889409715947)
11-06 15:49:58.89,(32),"(-215.3375,  -73.5625)",(1.9100889409715947)
11-06 15:49:59.00,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:49:59.12,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:49:59.23,(32),"(-215.3375,  -73.5625)",(1.9100889409715947)
11-06 15:49:59.32,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:49:59.44,(32),"(-215.3375,  -73.5625)",(1.8753072052449447)
11-06 15:49:59.55,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:49:59.65,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:49:59.76,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:49:59.87,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:49:59.98,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:00.09,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:00.20,(32),"(-215.3375 ,  -74.23125)",(1.9100889409715947)
11-06 15:50:00.31,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:00.43,(32),"(-215.3375 ,  -74.23125)",(1.9100889409715947)
11-06 15:50:00.54,(32),"(-215.3375 ,  -74.23125)",(1.9100889409715947)
11-06 15:50:00.65,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:00.76,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:00.88,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:00.99,(32),"(-215.3375 ,  -74.23125)",(1.9100889409715947)
11-06 15:50:01.09,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:01.20,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:01.31,(32),"(-215.3375 ,  -74.23125)",(1.9100889409715947)
11-06 15:50:01.42,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:01.53,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:01.65,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:01.76,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:01.87,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:01.98,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:02.10,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:02.21,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:02.32,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:02.41,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:02.54,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:02.64,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:02.75,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:02.87,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:02.96,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:03.07,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:03.19,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:03.30,(32),"(-215.3375 ,  -74.23125)",(1.9100889409715947)
11-06 15:50:03.40,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:03.51,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:03.63,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:03.74,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:03.84,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:03.95,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:04.06,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:04.18,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:04.28,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:04.39,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:04.50,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:04.61,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:04.72,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:04.84,"(32), (17)","(-215.3375 ,  -74.23125), (  54.8375 , -256.13125)","(1.9010936662972417), (5.1306132922949095)"
11-06 15:50:04.95,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:05.06,(32),"(-215.3375 ,  -74.23125)",(1.9100889409715947)
11-06 15:50:05.17,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:05.29,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:05.38,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:05.50,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:05.61,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:05.73,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:05.84,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:05.95,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:06.07,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:06.18,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:06.29,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:06.39,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:06.50,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:06.61,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:06.73,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:06.84,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:06.95,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:07.06,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:07.18,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:07.29,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:07.40,"(32), (17)","(-215.3375 ,  -74.23125), (123.05   , 166.51875)","(1.9010936662972417), (3.1760623129756174)"
11-06 15:50:07.52,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
11-06 15:50:07.63,(32),"(-215.3375 ,  -74.23125)",(1.9010936662972417)
