time,ids,centers,rotation
11-06 16:58:02.14,(32),"(-60.1875 , -94.29375)",(3.141592653589793)
11-06 16:58:02.25,(32),"(-60.1875, -93.625 )",(3.141592653589793)
11-06 16:58:02.36,(32),"(-60.1875 , -92.95625)",(3.141592653589793)
11-06 16:58:02.46,(32),"(-60.1875 , -91.61875)",(3.141592653589793)
11-06 16:58:02.58,(32),"(-60.1875, -89.6125)",(3.141592653589793)
11-06 16:58:02.68,(32),"(-60.1875 , -88.94375)",(3.141592653589793)
11-06 16:58:02.79,(32),"(-59.51875, -87.60625)",(3.115281281864082)
11-06 16:58:02.90,(32),"(-60.1875 , -86.26875)",(3.141592653589793)
11-06 16:58:03.02,(32),"(-59.51875, -85.6    )",(3.141592653589793)
11-06 16:58:03.12,(32),"(-59.51875, -85.6    )",(3.141592653589793)
11-06 16:58:03.24,(32),"(-59.51875, -84.93125)",(3.141592653589793)
11-06 16:58:03.35,(32),"(-59.51875, -82.925  )",(3.141592653589793)
11-06 16:58:03.47,(32),"(-59.51875, -82.25625)",(3.141592653589793)
11-06 16:58:03.59,(32),"(-59.51875, -80.25   )",(3.114572622012248)
11-06 16:58:03.71,(32),"(-58.85  , -78.9125)",(3.141592653589793)
11-06 16:58:03.81,(32),"(-59.51875, -78.24375)",(3.115281281864082)
11-06 16:58:03.92,(32),"(-59.51875, -76.90625)",(3.114572622012248)
11-06 16:58:04.04,(32),"(-59.51875, -75.56875)",(3.141592653589793)
11-06 16:58:04.14,(32),"(-59.51875, -74.23125)",(3.114572622012248)
11-06 16:58:04.25,(32),"(-59.51875, -72.89375)",(3.114572622012248)
11-06 16:58:04.37,(32),"(-58.85   , -71.55625)",(3.1686126851673384)
11-06 16:58:04.47,(32),"(-58.85   , -70.21875)",(3.141592653589793)
11-06 16:58:04.58,(32),"(-58.85   , -68.88125)",(3.115281281864082)
11-06 16:58:04.68,(32),"(-59.51875, -67.54375)",(3.141592653589793)
11-06 16:58:04.79,(32),"(-58.85 , -66.875)",(3.141592653589793)
11-06 16:58:04.90,(32),"(-58.85  , -65.5375)",(3.141592653589793)
11-06 16:58:05.02,(32),"(-58.85, -64.2 )",(3.115281281864082)
11-06 16:58:05.13,(32),"(-58.85, -64.2 )",(3.1679040253155044)
11-06 16:58:05.23,(32),"(-58.85   , -63.53125)",(3.141592653589793)
11-06 16:58:05.34,(32),"(-58.85   , -62.19375)",(3.141592653589793)
11-06 16:58:05.45,(32),"(-58.85   , -60.85625)",(3.141592653589793)
11-06 16:58:05.57,(32),"(-58.85  , -60.1875)",(3.141592653589793)
11-06 16:58:05.68,(32),"(-58.85, -58.85)",(3.115281281864082)
11-06 16:58:05.79,(32),"(-58.85   , -58.18125)",(3.1679040253155044)
11-06 16:58:05.88,(32),"(-58.85  , -57.5125)",(3.115281281864082)
11-06 16:58:06.00,(32),"(-58.85 , -56.175)",(3.115281281864082)
11-06 16:58:06.11,(32),"(-58.85  , -54.8375)",(3.115281281864082)
11-06 16:58:06.22,(32),"(-58.85, -53.5 )",(3.1679040253155044)
11-06 16:58:06.34,(32),"(-58.85   , -51.49375)",(3.141592653589793)
11-06 16:58:06.45,(32),"(-58.85 , -50.825)",(3.1679040253155044)
11-06 16:58:06.56,(32),"(-58.85  , -49.4875)",(3.115281281864082)
11-06 16:58:06.67,(32),"(-58.85   , -48.81875)",(3.141592653589793)
11-06 16:58:06.78,(32),"(-58.85   , -47.48125)",(3.115281281864082)
11-06 16:58:06.90,(32),"(-58.85   , -46.14375)",(3.115281281864082)
11-06 16:58:07.01,(32),"(-58.85 , -45.475)",(3.115281281864082)
11-06 16:58:07.12,(32),"(-58.85  , -44.1375)",(3.1686126851673384)
11-06 16:58:07.24,(32),"(-58.85   , -43.46875)",(3.1686126851673384)
11-06 16:58:07.34,(32),"(-58.85, -42.8 )",(3.141592653589793)
11-06 16:58:07.46,(32),"(-58.85  , -41.4625)",(3.114572622012248)
11-06 16:58:07.57,(32),"(-58.85   , -40.79375)",(3.141592653589793)
11-06 16:58:07.68,(32),"(-58.85   , -39.45625)",(3.141592653589793)
11-06 16:58:07.80,(32),"(-58.85, -37.45)",(3.141592653589793)
11-06 16:58:07.90,(32),"(-58.18125, -36.78125)",(3.141592653589793)
11-06 16:58:08.01,(32),"(-58.18125, -34.775  )",(3.141592653589793)
11-06 16:58:08.12,(32),"(-58.18125, -33.4375 )",(3.141592653589793)
11-06 16:58:08.23,(32),"(-58.18125, -34.10625)",(3.141592653589793)
11-06 16:58:08.34,(32),"(-58.18125, -32.1    )",(3.141592653589793)
11-06 16:58:08.45,(32),"(-58.18125, -31.43125)",(3.1679040253155044)
11-06 16:58:08.56,(32),"(-58.18125, -30.7625 )",(3.115281281864082)
11-06 16:58:08.67,(32),"(-58.18125, -29.425  )",(3.115281281864082)
11-06 16:58:08.78,(32),"(-58.18125, -27.41875)",(3.141592653589793)
11-06 16:58:08.89,(32),"(-58.18125, -26.75   )",(3.141592653589793)
11-06 16:58:09.01,(32),"(-58.18125, -25.4125 )",(3.1679040253155044)
11-06 16:58:09.12,(32),"(-58.18125, -24.075  )",(3.1679040253155044)
11-06 16:58:09.23,(32),"(-58.18125, -24.075  )",(3.141592653589793)
11-06 16:58:09.35,(32),"(-58.18125, -23.40625)",(3.115281281864082)
11-06 16:58:09.46,(32),"(-58.18125, -21.4    )",(3.141592653589793)
11-06 16:58:09.57,(32),"(-58.18125, -21.4    )",(3.141592653589793)
11-06 16:58:09.68,(32),"(-58.18125, -19.39375)",(3.115281281864082)
11-06 16:58:09.78,(32),"(-58.18125, -18.725  )",(3.115281281864082)
11-06 16:58:09.89,(32),"(-58.18125, -17.3875 )",(3.141592653589793)
11-06 16:58:10.01,(32),"(-57.5125, -16.05  )",(3.141592653589793)
11-06 16:58:10.10,(32),"(-57.5125, -14.7125)",(3.115281281864082)
11-06 16:58:10.22,(32),"(-57.5125, -14.7125)",(3.115281281864082)
11-06 16:58:10.32,(32),"(-57.5125 , -14.04375)",(3.114572622012248)
11-06 16:58:10.44,(32),"(-57.5125 , -12.70625)",(3.115281281864082)
11-06 16:58:10.55,(32),"(-57.5125, -12.0375)",(3.141592653589793)
11-06 16:58:10.66,(32),"(-58.18125, -10.7    )",(3.114572622012248)
11-06 16:58:10.78,(32),"(-58.18125,  -9.3625 )",(3.114572622012248)
11-06 16:58:10.89,(32),"(-58.18125,  -8.025  )",(3.1686126851673384)
11-06 16:58:11.00,(32),"(-58.18125,  -7.35625)",(3.115281281864082)
11-06 16:58:11.11,(32),"(-58.18125,  -6.01875)",(3.114572622012248)
11-06 16:58:11.23,(32),"(-57.5125 ,  -4.68125)",(3.141592653589793)
11-06 16:58:11.35,(32),"(-57.5125,  -4.0125)",(3.141592653589793)
11-06 16:58:11.45,(32),"(-57.5125 ,  -3.34375)",(3.141592653589793)
11-06 16:58:11.56,(32),"(-57.5125 ,  -2.00625)",(3.115281281864082)
11-06 16:58:11.68,(32),"(-57.5125 ,  -0.66875)",(3.115281281864082)
11-06 16:58:11.79,(32),"(-57.5125 ,   0.66875)",(3.141592653589793)
11-06 16:58:11.90,(32),"(-57.5125 ,   2.00625)",(3.115281281864082)
11-06 16:58:12.01,(32),"(-57.5125,   2.675 )",(3.141592653589793)
11-06 16:58:12.12,(32),"(-57.5125,   4.0125)",(3.1679040253155044)
11-06 16:58:12.24,(32),"(-57.5125 ,   4.68125)",(3.115281281864082)
11-06 16:58:12.35,(32),"(-57.5125 ,   6.01875)",(3.141592653589793)
11-06 16:58:12.46,(32),"(-57.5125,   6.6875)",(3.115281281864082)
11-06 16:58:12.58,(32),"(-57.5125,   8.025 )",(3.141592653589793)
11-06 16:58:12.69,(32),"(-58.18125,   9.3625 )",(3.141592653589793)
11-06 16:58:12.80,(32),"(-57.5125,  10.7   )",(3.141592653589793)
11-06 16:58:12.91,(32),"(-57.5125 ,  11.36875)",(3.1679040253155044)
11-06 16:58:13.01,(32),"(-57.5125 ,  12.70625)",(3.141592653589793)
11-06 16:58:13.12,(32),"(-58.18125,  14.04375)",(3.141592653589793)
11-06 16:58:13.24,(32),"(-58.18125,  14.7125 )",(3.114572622012248)
11-06 16:58:13.35,(32),"(-57.5125,  16.05  )",(3.141592653589793)
11-06 16:58:13.46,(32),"(-57.5125,  16.05  )",(3.1686126851673384)
11-06 16:58:13.57,(32),"(-58.18125,  16.71875)",(3.141592653589793)
11-06 16:58:13.69,(32),"(-57.5125 ,  18.05625)",(3.115281281864082)
11-06 16:58:13.80,(32),"(-57.5125 ,  19.39375)",(3.141592653589793)
11-06 16:58:13.91,(32),"(-57.5125,  20.0625)",(3.141592653589793)
11-06 16:58:14.01,(32),"(-57.5125,  21.4   )",(3.114572622012248)
11-06 16:58:14.12,(32),"(-56.84375,  22.7375 )",(3.141592653589793)
11-06 16:58:14.23,(32),"(-56.84375,  23.40625)",(3.115281281864082)
11-06 16:58:14.35,(32),"(-56.84375,  24.74375)",(3.141592653589793)
11-06 16:58:14.46,(32),"(-57.5125 ,  26.08125)",(3.141592653589793)
11-06 16:58:14.57,(32),"(-56.84375,  26.75   )",(3.141592653589793)
11-06 16:58:14.68,(32),"(-57.5125,  26.75  )",(3.114572622012248)
11-06 16:58:14.80,(32),"(-57.5125,  28.0875)",(3.114572622012248)
11-06 16:58:14.91,(32),"(-56.84375,  29.425  )",(3.141592653589793)
11-06 16:58:15.01,(32),"(-56.84375,  30.09375)",(3.1679040253155044)
11-06 16:58:15.13,(32),"(-56.84375,  31.43125)",(3.141592653589793)
11-06 16:58:15.24,(32),"(-56.84375,  31.43125)",(3.115281281864082)
11-06 16:58:15.35,(32),"(-56.175  ,  32.76875)",(3.141592653589793)
11-06 16:58:15.45,(32),"(-56.84375,  34.10625)",(3.113821905361821)
11-06 16:58:15.56,(32),"(-56.175  ,  35.44375)",(3.141592653589793)
11-06 16:58:15.67,(32),"(-56.175  ,  35.44375)",(3.141592653589793)
11-06 16:58:15.78,(32),"(-56.175 ,  36.1125)",(3.115281281864082)
11-06 16:58:15.90,(32),"(-56.175,  37.45 )",(3.114572622012248)
11-06 16:58:16.01,(32),"(-55.50625,  38.11875)",(3.141592653589793)
11-06 16:58:16.13,(32),"(-55.50625,  39.45625)",(3.141592653589793)
11-06 16:58:16.24,(32),"(-54.8375,  40.125 )",(3.114572622012248)
11-06 16:58:16.34,(32),"(-54.16875,  40.79375)",(3.114572622012248)
11-06 16:58:16.45,(32),"(-53.5    ,  42.13125)",(3.141592653589793)
11-06 16:58:16.57,(32),"(-52.83125,  42.13125)",(3.141592653589793)
11-06 16:58:16.68,(32),"(-52.83125,  44.1375 )",(3.113821905361821)
11-06 16:58:16.79,(32),"(-52.1625,  44.1375)",(3.141592653589793)
11-06 16:58:16.91,(32),"(-51.49375,  45.475  )",(3.141592653589793)
11-06 16:58:17.02,(32),"(-51.49375,  45.475  )",(3.089008430534165)
11-06 16:58:17.14,(32),"(-51.49375,  45.475  )",(3.089008430534165)
11-06 16:58:17.25,(32),"(-50.825  ,  46.14375)",(3.114572622012248)
11-06 16:58:17.36,(32),"(-49.4875 ,  46.14375)",(3.141592653589793)
11-06 16:58:17.47,(32),"(-48.15   ,  46.14375)",(3.141592653589793)
11-06 16:58:17.58,(32),"(-47.48125,  46.8125 )",(3.114572622012248)
11-06 16:58:17.69,(32),"(-46.8125 ,  47.48125)",(3.114572622012248)
11-06 16:58:17.80,(32),"(-45.475  ,  47.48125)",(3.115281281864082)
11-06 16:58:17.91,(32),"(-44.80625,  48.81875)",(3.114572622012248)
11-06 16:58:18.01,(32),"(-43.46875,  48.81875)",(3.141592653589793)
11-06 16:58:18.12,(32),"(-42.8   ,  49.4875)",(3.141592653589793)
11-06 16:58:18.24,(32),"(-42.13125,  49.4875 )",(3.141592653589793)
11-06 16:58:18.35,(32),"(-42.13125,  48.81875)",(3.115281281864082)
11-06 16:58:18.45,(32),"(-41.4625,  49.4875)",(3.141592653589793)
11-06 16:58:18.56,(32),"(-40.125  ,  48.81875)",(3.141592653589793)
11-06 16:58:18.68,(32),"(-39.45625,  48.15   )",(3.141592653589793)
11-06 16:58:18.79,(32),"(-38.7875 ,  47.48125)",(3.115281281864082)
11-06 16:58:18.90,(32),"(-38.11875,  46.8125 )",(3.141592653589793)
11-06 16:58:19.01,(32),"(-37.45  ,  46.8125)",(3.114572622012248)
11-06 16:58:19.13,(32),"(-36.78125,  46.14375)",(3.115281281864082)
11-06 16:58:19.24,(32),"(-36.1125,  45.475 )",(3.0875907071820388)
11-06 16:58:19.35,(32),"(-34.775 ,  44.1375)",(3.115281281864082)
11-06 16:58:19.46,(32),"(-34.775 ,  44.1375)",(3.114572622012248)
11-06 16:58:19.58,(32),"(-34.10625,  42.8    )",(3.1679040253155044)
11-06 16:58:19.69,(32),"(-34.10625,  42.13125)",(3.114572622012248)
11-06 16:58:19.80,(32),"(-33.4375,  40.125 )",(3.115281281864082)
11-06 16:58:19.91,(32),"(-33.4375,  40.125 )",(3.114572622012248)
11-06 16:58:20.02,(32),"(-32.76875,  38.7875 )",(3.114572622012248)
11-06 16:58:20.12,(32),"(-32.76875,  38.11875)",(3.114572622012248)
11-06 16:58:20.23,(32),"(-32.1    ,  36.78125)",(3.115281281864082)
11-06 16:58:20.34,(32),"(-32.1    ,  35.44375)",(3.1693634018177654)
11-06 16:58:20.46,(32),"(-32.1    ,  34.10625)",(3.114572622012248)
11-06 16:58:20.57,(32),"(-31.43125,  33.4375 )",(3.1679040253155044)
11-06 16:58:20.67,(32),"(-31.43125,  34.10625)",(3.141592653589793)
11-06 16:58:20.78,(32),"(-31.43125,  32.76875)",(3.114572622012248)
11-06 16:58:20.89,(32),"(-30.7625 ,  31.43125)",(3.115281281864082)
11-06 16:58:21.01,(32),"(-30.09375,  30.7625 )",(3.141592653589793)
11-06 16:58:21.12,(32),"(-29.425,  29.425)",(3.115281281864082)
11-06 16:58:21.23,(32),"(-28.75625,  28.75625)",(3.141592653589793)
11-06 16:58:21.35,(32),"(-28.0875 ,  27.41875)",(3.115281281864082)
11-06 16:58:21.46,(32),"(-27.41875,  26.75   )",(3.114572622012248)
11-06 16:58:21.56,(32),"(-27.41875,  26.08125)",(3.114572622012248)
11-06 16:58:21.67,(32),"(-27.41875,  25.4125 )",(3.114572622012248)
11-06 16:58:21.78,(32),"(-27.41875,  24.74375)",(3.114572622012248)
11-06 16:58:21.90,(32),"(-27.41875,  24.075  )",(3.114572622012248)
11-06 16:58:22.01,(32),"(-26.75  ,  22.7375)",(3.115281281864082)
11-06 16:58:22.11,(32),"(-26.08125,  21.4    )",(3.141592653589793)
11-06 16:58:22.22,(32),"(-26.08125,  20.73125)",(3.115281281864082)
11-06 16:58:22.32,(32),"(-25.4125,  20.0625)",(3.114572622012248)
11-06 16:58:22.44,(32),"(-25.4125 ,  19.39375)",(3.115281281864082)
11-06 16:58:22.55,(32),"(-24.74375,  18.05625)",(3.114572622012248)
11-06 16:58:22.66,(32),"(-24.74375,  17.3875 )",(3.0875907071820388)
11-06 16:58:22.77,(32),"(-24.075,  16.05 )",(3.114572622012248)
11-06 16:58:22.89,(32),"(-22.7375,  14.7125)",(3.141592653589793)
11-06 16:58:23.00,(32),"(-22.7375 ,  15.38125)",(3.114572622012248)
11-06 16:58:23.11,(32),"(-22.7375,  14.7125)",(3.114572622012248)
11-06 16:58:23.22,(32),"(-22.06875,  13.375  )",(3.141592653589793)
11-06 16:58:23.32,(32),"(-21.4  ,  13.375)",(3.141592653589793)
11-06 16:58:23.43,(32),"(-21.4   ,  12.0375)",(3.114572622012248)
11-06 16:58:23.55,(32),"(-20.73125,  10.7    )",(3.114572622012248)
11-06 16:58:23.66,(32),"(-20.0625 ,  10.03125)",(3.141592653589793)
11-06 16:58:23.77,(32),"(-19.39375,   9.3625 )",(3.141592653589793)
11-06 16:58:23.89,(32),"(-19.39375,   8.025  )",(3.115281281864082)
11-06 16:58:24.00,(32),"(-18.725  ,   7.35625)",(3.115281281864082)
11-06 16:58:24.11,(32),"(-18.725  ,   6.01875)",(3.115281281864082)
11-06 16:58:24.22,(32),"(-18.725  ,   6.01875)",(3.114572622012248)
11-06 16:58:24.34,(32),"(-18.05625,   4.68125)",(3.141592653589793)
11-06 16:58:24.45,(32),"(-17.3875,   4.0125)",(3.141592653589793)
11-06 16:58:24.57,(32),"(-17.3875 ,   3.34375)",(3.115281281864082)
11-06 16:58:24.68,(32),"(-16.71875,   2.00625)",(3.141592653589793)
11-06 16:58:24.80,(32),"(-16.05   ,   0.66875)",(3.115281281864082)
11-06 16:58:24.91,(32),"(-16.05,   0.  )",(3.114572622012248)
11-06 16:58:25.02,(32),"(-15.38125,  -1.3375 )",(3.141592653589793)
11-06 16:58:25.14,(32),"(-14.7125 ,  -2.00625)",(3.115281281864082)
11-06 16:58:25.25,(32),"(-14.04375,  -3.34375)",(3.115281281864082)
11-06 16:58:25.36,(32),"(-14.04375,  -3.34375)",(3.141592653589793)
11-06 16:58:25.48,(32),"(-14.04375,  -4.0125 )",(3.115281281864082)
11-06 16:58:25.59,(32),"(-13.375  ,  -4.68125)",(3.141592653589793)
