time,ids,centers,rotation
11-06 16:06:30.71,(32),"( -58.85 , -104.325)",(3.1679040253155044)
11-06 16:06:30.82,(32),"( -58.85 , -104.325)",(3.1679040253155044)
11-06 16:06:30.94,(32),"( -58.85 , -104.325)",(3.1679040253155044)
11-06 16:06:31.05,(32),"( -58.85   , -103.65625)",(3.2224964088268746)
11-06 16:06:31.16,(32),"( -58.85   , -102.31875)",(3.1955945999975475)
11-06 16:06:31.27,(32),"( -58.85, -101.65)",(3.1955945999975475)
11-06 16:06:31.37,(32),"( -58.85   , -100.98125)",(3.197090098432052)
11-06 16:06:31.49,(32),"(-58.85   , -99.64375)",(3.1686126851673384)
11-06 16:06:31.59,(32),"(-58.18125, -98.975  )",(3.1941768766454213)
11-06 16:06:31.70,(32),"(-58.85  , -97.6375)",(3.1941768766454213)
11-06 16:06:31.81,(32),"(-58.85, -96.3 )",(3.1686126851673384)
11-06 16:06:31.93,(32),"(-58.85  , -94.9625)",(3.1941768766454213)
11-06 16:06:32.04,(32),"(-58.85 , -93.625)",(3.1941768766454213)
11-06 16:06:32.13,(32),"(-58.85   , -92.95625)",(3.1955945999975475)
11-06 16:06:32.24,(32),"(-59.51875, -91.61875)",(3.1686126851673384)
11-06 16:06:32.36,(32),"(-59.51875, -90.28125)",(3.1686126851673384)
11-06 16:06:32.47,(32),"(-59.51875, -88.94375)",(3.1941768766454213)
11-06 16:06:32.58,(32),"(-59.51875, -87.60625)",(3.1941768766454213)
11-06 16:06:32.70,(32),"(-59.51875, -86.26875)",(3.1955945999975475)
11-06 16:06:32.81,(32),"(-59.51875, -84.93125)",(3.197090098432052)
11-06 16:06:32.92,(32),"(-59.51875, -84.2625 )",(3.1679040253155044)
11-06 16:06:33.03,(32),"(-59.51875, -84.2625 )",(3.1686126851673384)
11-06 16:06:33.14,(32),"(-58.85   , -83.59375)",(3.1941768766454213)
11-06 16:06:33.26,(32),"(-58.85   , -82.25625)",(3.1941768766454213)
11-06 16:06:33.35,(32),"(-59.51875, -80.91875)",(3.197090098432052)
11-06 16:06:33.46,(32),"(-59.51875, -79.58125)",(3.1955945999975475)
11-06 16:06:33.58,(32),"(-59.51875, -78.24375)",(3.1955945999975475)
11-06 16:06:33.69,(32),"(-60.1875, -77.575 )",(3.1679040253155044)
11-06 16:06:33.80,(32),"(-60.1875, -76.2375)",(3.1686126851673384)
11-06 16:06:33.91,(32),"(-59.51875, -74.9    )",(3.1955945999975475)
11-06 16:06:34.01,(32),"(-60.1875 , -72.89375)",(3.1686126851673384)
11-06 16:06:34.12,(32),"(-59.51875, -72.225  )",(3.197090098432052)
11-06 16:06:34.24,(32),"(-59.51875, -70.8875 )",(3.197090098432052)
11-06 16:06:34.35,(32),"(-59.51875, -69.55   )",(3.1955945999975475)
11-06 16:06:34.46,(32),"(-59.51875, -68.88125)",(3.1679040253155044)
11-06 16:06:34.56,(32),"(-59.51875, -66.875  )",(3.1686126851673384)
11-06 16:06:34.67,(32),"(-59.51875, -65.5375 )",(3.1686126851673384)
11-06 16:06:34.78,(32),"(-59.51875, -64.86875)",(3.1686126851673384)
11-06 16:06:34.90,(32),"(-59.51875, -63.53125)",(3.1686126851673384)
11-06 16:06:35.01,(32),"(-58.85   , -63.53125)",(3.1679040253155044)
11-06 16:06:35.10,(32),"(-58.85   , -63.53125)",(3.1941768766454213)
11-06 16:06:35.21,(32),"(-58.85   , -62.19375)",(3.1955945999975475)
11-06 16:06:35.33,(32),"(-59.51875, -60.85625)",(3.1686126851673384)
11-06 16:06:35.44,(32),"(-59.51875, -59.51875)",(3.1686126851673384)
11-06 16:06:35.55,(32),"(-59.51875, -58.18125)",(3.1679040253155044)
11-06 16:06:35.67,(32),"(-59.51875, -57.5125 )",(3.1955945999975475)
11-06 16:06:35.78,(32),"(-60.1875 , -55.50625)",(3.1686126851673384)
11-06 16:06:35.89,(32),"(-59.51875, -54.16875)",(3.1693634018177654)
11-06 16:06:36.00,(32),"(-59.51875, -53.5    )",(3.1679040253155044)
11-06 16:06:36.12,(32),"(-60.1875, -52.1625)",(3.1686126851673384)
11-06 16:06:36.23,(32),"(-60.1875, -50.825 )",(3.1686126851673384)
11-06 16:06:36.34,(32),"(-60.1875, -49.4875)",(3.1686126851673384)
11-06 16:06:36.45,(32),"(-60.1875, -48.15  )",(3.1686126851673384)
11-06 16:06:36.57,(32),"(-60.1875 , -47.48125)",(3.1679040253155044)
11-06 16:06:36.68,(32),"(-60.1875, -45.475 )",(3.1686126851673384)
11-06 16:06:36.79,(32),"(-60.1875 , -44.80625)",(3.1679040253155044)
11-06 16:06:36.91,(32),"(-60.1875 , -43.46875)",(3.1679040253155044)
11-06 16:06:37.01,(32),"(-60.1875 , -43.46875)",(3.1679040253155044)
11-06 16:06:37.13,(32),"(-60.1875 , -43.46875)",(3.1679040253155044)
11-06 16:06:37.24,(32),"(-60.1875 , -40.79375)",(3.1679040253155044)
11-06 16:06:37.34,(32),"(-60.1875 , -39.45625)",(3.1679040253155044)
11-06 16:06:37.45,(32),"(-60.1875, -38.7875)",(3.1679040253155044)
11-06 16:06:37.57,(32),"(-60.1875 , -36.78125)",(3.1679040253155044)
11-06 16:06:37.68,(32),"(-60.1875, -36.1125)",(3.1679040253155044)
11-06 16:06:37.80,(32),"(-60.1875, -34.775 )",(3.1679040253155044)
11-06 16:06:37.90,(32),"(-60.1875 , -32.76875)",(3.1693634018177654)
11-06 16:06:38.02,(32),"(-60.85625, -32.1    )",(3.1686126851673384)
11-06 16:06:38.13,(32),"(-60.1875, -30.7625)",(3.1679040253155044)
11-06 16:06:38.23,(32),"(-60.1875, -29.425 )",(3.1679040253155044)
11-06 16:06:38.34,(32),"(-60.1875 , -28.75625)",(3.1679040253155044)
11-06 16:06:38.45,(32),"(-60.1875 , -27.41875)",(3.1679040253155044)
11-06 16:06:38.56,(32),"(-60.1875, -26.75  )",(3.1679040253155044)
11-06 16:06:38.68,(32),"(-60.1875, -25.4125)",(3.1679040253155044)
11-06 16:06:38.79,(32),"(-60.1875, -24.075 )",(3.141592653589793)
11-06 16:06:38.90,(32),"(-60.85625, -23.40625)",(3.1686126851673384)
11-06 16:06:39.01,(32),"(-60.85625, -22.06875)",(3.1686126851673384)
11-06 16:06:39.13,(32),"(-60.85625, -22.06875)",(3.1686126851673384)
11-06 16:06:39.24,(32),"(-60.85625, -20.73125)",(3.1686126851673384)
11-06 16:06:39.34,(32),"(-60.85625, -19.39375)",(3.1686126851673384)
11-06 16:06:39.45,(32),"(-60.85625, -18.725  )",(3.1679040253155044)
11-06 16:06:39.56,(32),"(-60.85625, -17.3875 )",(3.1679040253155044)
11-06 16:06:39.67,(32),"(-60.85625, -16.05   )",(3.1686126851673384)
11-06 16:06:39.78,(32),"(-60.85625, -14.7125 )",(3.141592653589793)
11-06 16:06:39.90,(32),"(-60.85625, -13.375  )",(3.141592653589793)
11-06 16:06:40.01,(32),"(-60.85625, -12.70625)",(3.1679040253155044)
11-06 16:06:40.12,(32),"(-60.85625, -11.36875)",(3.1679040253155044)
11-06 16:06:40.23,(32),"(-60.85625, -10.03125)",(3.1686126851673384)
11-06 16:06:40.34,(32),"(-60.85625,  -8.69375)",(3.141592653589793)
11-06 16:06:40.46,(32),"(-60.85625,  -7.35625)",(3.141592653589793)
11-06 16:06:40.57,(32),"(-60.85625,  -6.01875)",(3.141592653589793)
11-06 16:06:40.68,(32),"(-60.85625,  -5.35   )",(3.1679040253155044)
11-06 16:06:40.79,(32),"(-60.85625,  -3.34375)",(3.141592653589793)
11-06 16:06:40.91,(32),"(-60.85625,  -2.00625)",(3.141592653589793)
11-06 16:06:41.02,(32),"(-60.85625,  -1.3375 )",(3.141592653589793)
11-06 16:06:41.13,(32),"(-60.85625,  -1.3375 )",(3.141592653589793)
11-06 16:06:41.25,(32),"(-60.85625,  -0.66875)",(3.1679040253155044)
11-06 16:06:41.34,(32),"(-60.85625,   0.66875)",(3.1686126851673384)
11-06 16:06:41.45,(32),"(-60.85625,   2.00625)",(3.1686126851673384)
11-06 16:06:41.56,(32),"(-60.85625,   3.34375)",(3.1686126851673384)
11-06 16:06:41.67,(32),"(-60.1875,   4.0125)",(3.1941768766454213)
11-06 16:06:41.79,(32),"(-60.1875,   5.35  )",(3.1955945999975475)
11-06 16:06:41.90,(32),"(-60.85625,   7.35625)",(3.141592653589793)
11-06 16:06:42.02,(32),"(-60.1875,   8.025 )",(3.141592653589793)
11-06 16:06:42.13,(32),"(-60.1875,   9.3625)",(3.141592653589793)
11-06 16:06:42.24,(32),"(-60.1875 ,  10.03125)",(3.141592653589793)
11-06 16:06:42.34,(32),"(-60.85625,  11.36875)",(3.141592653589793)
11-06 16:06:42.45,(32),"(-60.85625,  12.70625)",(3.141592653589793)
11-06 16:06:42.57,(32),"(-60.85625,  14.04375)",(3.141592653589793)
11-06 16:06:42.67,(32),"(-60.85625,  14.7125 )",(3.1686126851673384)
11-06 16:06:42.78,(32),"(-60.85625,  16.05   )",(3.114572622012248)
11-06 16:06:42.89,(32),"(-60.1875,  17.3875)",(3.115281281864082)
11-06 16:06:43.00,(32),"(-60.1875,  18.725 )",(3.141592653589793)
11-06 16:06:43.12,(32),"(-60.1875,  18.725 )",(3.141592653589793)
11-06 16:06:43.23,(32),"(-60.1875 ,  19.39375)",(3.114572622012248)
11-06 16:06:43.34,(32),"(-60.1875 ,  20.73125)",(3.113821905361821)
11-06 16:06:43.45,(32),"(-60.1875,  21.4   )",(3.114572622012248)
11-06 16:06:43.56,(32),"(-60.1875 ,  22.06875)",(3.115281281864082)
11-06 16:06:43.68,(32),"(-60.1875 ,  23.40625)",(3.141592653589793)
11-06 16:06:43.79,(32),"(-60.85625,  25.4125 )",(3.141592653589793)
11-06 16:06:43.91,(32),"(-60.1875,  25.4125)",(3.115281281864082)
11-06 16:06:44.02,(32),"(-60.1875,  26.75  )",(3.141592653589793)
11-06 16:06:44.12,(32),"(-60.1875 ,  28.75625)",(3.141592653589793)
11-06 16:06:44.23,(32),"(-60.1875,  29.425 )",(3.141592653589793)
11-06 16:06:44.34,(32),"(-60.1875,  30.7625)",(3.141592653589793)
11-06 16:06:44.45,(32),"(-60.85625,  31.43125)",(3.089008430534165)
11-06 16:06:44.57,(32),"(-60.85625,  32.76875)",(3.089008430534165)
11-06 16:06:44.68,(32),"(-60.85625,  34.775  )",(3.141592653589793)
11-06 16:06:44.79,(32),"(-60.85625,  35.44375)",(3.114572622012248)
11-06 16:06:44.90,(32),"(-60.1875 ,  36.78125)",(3.1679040253155044)
11-06 16:06:45.02,(32),"(-60.1875 ,  38.11875)",(3.141592653589793)
11-06 16:06:45.13,(32),"(-60.85625,  39.45625)",(3.141592653589793)
11-06 16:06:45.24,(32),"(-60.1875 ,  39.45625)",(3.1679040253155044)
11-06 16:06:45.36,(32),"(-60.1875 ,  39.45625)",(3.1679040253155044)
11-06 16:06:45.47,(32),"(-60.1875 ,  40.79375)",(3.115281281864082)
11-06 16:06:45.58,(32),"(-60.1875,  41.4625)",(3.1686126851673384)
