time,ids,centers,rotation
11-06 15:43:38.46,(32),"(-61.525 , -12.0375)",(3.1686126851673384)
11-06 15:43:38.56,(32),"(-61.525, -10.7  )",(3.1693634018177654)
11-06 15:43:38.67,(32),"(-60.85625, -10.03125)",(3.1941768766454213)
11-06 15:43:38.79,(32),"(-61.525  ,  -8.69375)",(3.1686126851673384)
11-06 15:43:38.89,(32),"(-61.525  ,  -7.35625)",(3.1686126851673384)
11-06 15:43:39.00,(32),"(-61.525  ,  -6.01875)",(3.1686126851673384)
11-06 15:43:39.12,(32),"(-61.525  ,  -4.68125)",(3.1686126851673384)
11-06 15:43:39.23,(32),"(-61.525  ,  -3.34375)",(3.1686126851673384)
11-06 15:43:39.34,(32),"(-61.525  ,  -2.00625)",(3.1686126851673384)
11-06 15:43:39.46,(32),"(-61.525  ,  -2.00625)",(3.1686126851673384)
11-06 15:43:39.57,(32),"(-60.85625,  -1.3375 )",(3.1686126851673384)
11-06 15:43:39.68,(32),"(-60.1875 ,  -0.66875)",(3.1679040253155044)
11-06 15:43:39.77,(32),"(-60.1875 ,   0.66875)",(3.1686126851673384)
11-06 15:43:39.89,(32),"(-59.51875,   2.00625)",(3.141592653589793)
11-06 15:43:40.01,(32),"(-59.51875,   2.675  )",(3.1679040253155044)
11-06 15:43:40.12,(32),"(-59.51875,   4.0125 )",(3.1679040253155044)
11-06 15:43:40.23,(32),"(-59.51875,   5.35   )",(3.1679040253155044)
11-06 15:43:40.35,(32),"(-59.51875,   6.6875 )",(3.1686126851673384)
11-06 15:43:40.46,(32),"(-58.85   ,   7.35625)",(3.1679040253155044)
11-06 15:43:40.56,(32),"(-58.85   ,   8.69375)",(3.141592653589793)
11-06 15:43:40.67,(32),"(-58.85   ,  10.03125)",(3.141592653589793)
11-06 15:43:40.79,(32),"(-58.85   ,  11.36875)",(3.141592653589793)
11-06 15:43:40.88,(32),"(-58.85  ,  12.0375)",(3.141592653589793)
11-06 15:43:41.00,(32),"(-58.18125,  12.70625)",(3.141592653589793)
11-06 15:43:41.11,(32),"(-58.18125,  14.04375)",(3.141592653589793)
