height of setup:,56
time,value of sensor0,value of sensor1,value of sensor2
33,28432,4433,1763
34,28579,4406,1773
35,28679,4458,1873
36,28757,4625,2057
37,28823,4793,2193
38,28881,5096,2330
39,28925,5709,2527
40,28961,6252,2717
41,28990,6492,2783
42,29018,6705,2927
43,29042,6873,3096
44,29061,6950,3337
45,29082,7001,3661
46,29095,7195,4176
47,29105,7576,4774
48,29107,8102,5327
49,29114,8917,6075
50,29121,9991,6973
51,29125,11150,7994
52,29127,12239,9191
53,29120,13195,10374
55,29086,14457,11926
56,29021,15658,12725
57,29016,16518,13346
58,29025,17299,14343
59,29024,18029,15538
60,29014,18653,16826
61,28992,19140,17931
62,28922,19583,18552
63,28817,19957,18866
64,28680,20187,19190
65,28550,20178,19332
66,28485,19911,19053
67,28484,19368,18379
68,28487,18643,17428
69,28481,17882,16518
70,28475,17145,15951
71,28464,16437,15528
72,28449,15766,15070
73,28427,15158,14377
74,28402,14602,13570
75,28355,14078,12753
76,28299,13554,11789
77,28232,13079,10832
79,28145,12694,10150
80,28044,12365,9678
81,27921,12032,9299
82,27769,11725,9086
83,27565,11408,8988
84,27303,11034,8798
85,26983,10617,8541
86,26608,10176,8359
87,26166,9718,8315
88,25660,9290,8418
89,25085,8930,8511
90,24446,8643,8553
91,23762,8422,8625
92,23054,8255,8740
93,22335,8108,8821
94,21618,7960,8769
95,20906,7835,8612
96,20197,7722,8432
97,19475,7612,8266
98,18702,7487,8119
99,17900,7373,7998
100,17091,7227,7854
102,16230,7114,7662
103,15326,7032,7439
104,14392,6981,7227
105,13527,6997,7107
106,12822,7043,7012
107,12240,7078,6872
108,11723,7054,6658
109,11226,6996,6426
110,10752,6946,6219
111,10294,6910,6041
112,9863,6825,5891
113,9457,6710,5731
114,9068,6597,5550
115,8699,6520,5357
116,8353,6450,5139
117,8016,6357,4923
118,7715,6221,4719
119,7446,6030,4520
120,7213,5836,4357
121,7011,5642,4225
