height of setup:,110
time,value of sensor0,value of sensor1,value of sensor2
0,725,1000,1101
1,717,999,1097
2,709,997,1093
3,702,995,1091
4,702,995,1087
5,718,996,1087
6,742,999,1086
7,769,1001,1089
8,797,1003,1102
9,828,1009,1120
10,848,1015,1133
11,858,1020,1145
12,862,1029,1162
14,864,1041,1186
15,883,1060,1220
16,938,1083,1262
17,1030,1109,1292
18,1133,1136,1309
19,1187,1162,1325
20,1190,1191,1344
21,1170,1220,1368
22,1149,1246,1393
23,1137,1264,1407
24,1132,1278,1405
25,1143,1284,1389
26,1210,1284,1365
27,1619,1279,1338
28,2569,1271,1311
29,4071,1265,1291
30,6013,1263,1273
31,8170,1264,1257
32,10114,1262,1243
33,11588,1256,1231
34,12777,1244,1220
35,13658,1244,1210
36,14207,1288,1201
38,14499,1378,1195
39,14641,1474,1187
40,14639,1535,1179
41,14454,1555,1174
42,14073,1551,1174
43,13506,1532,1178
44,12852,1504,1183
45,12164,1474,1192
46,11681,1447,1203
47,11725,1430,1215
48,12102,1412,1233
49,12458,1397,1258
50,12643,1392,1287
51,12602,1400,1325
52,12341,1417,1361
53,11939,1436,1388
54,11481,1450,1406
55,11030,1461,1417
56,10615,1466,1427
57,10249,1466,1442
58,9970,1463,1462
59,9876,1454,1480
61,9952,1444,1491
62,10068,1436,1489
63,10102,1428,1483
64,10073,1426,1471
65,10000,1426,1455
66,9845,1432,1441
67,9606,1439,1421
68,9303,1449,1404
69,8937,1458,1390
70,8533,1465,1378
71,8142,1469,1368
72,7782,1467,1356
73,7400,1462,1341
74,6968,1459,1322
75,6481,1453,1308
76,5970,1443,1294
77,5461,1434,1287
78,4980,1426,1281
79,4538,1417,1277
80,4133,1406,1273
81,3768,1392,1268
82,3453,1376,1261
83,3188,1359,1251
85,2992,1342,1239
86,2864,1325,1227
87,2790,1310,1216
88,2733,1291,1208
89,2667,1277,1199
90,2587,1260,1193
91,2496,1241,1186
92,2392,1222,1177
93,2277,1209,1169
94,2154,1193,1163
95,2028,1181,1161
96,1911,1173,1159
97,1836,1166,1157
98,1829,1160,1156
99,1855,1156,1153
100,1861,1155,1151
101,1833,1155,1148
102,1797,1160,1144
103,1794,1165,1144
104,1823,1173,1145
105,1856,1183,1148
106,1864,1193,1151
108,1830,1206,1155
109,1769,1218,1160
110,1693,1226,1162
111,1619,1235,1164
112,1547,1236,1163
113,1481,1232,1161
114,1421,1224,1159
115,1366,1216,1157
116,1313,1209,1158
117,1266,1203,1160
118,1221,1197,1161
119,1186,1193,1162
120,1158,1190,1161
121,1142,1187,1159
122,1155,1183,1159
123,1210,1179,1156
124,1271,1175,1153
125,1325,1171,1151
126,1360,1168,1150
127,1369,1164,1148
128,1354,1161,1145
129,1331,1159,1141
130,1308,1155,1139
132,1286,1152,1136
133,1254,1147,1132
134,1218,1141,1129
135,1191,1136,1127
136,1177,1130,1125
137,1165,1126,1124
138,1154,1123,1124
139,1139,1119,1123
140,1119,1117,1123
141,1102,1114,1122
142,1101,1111,1123
143,1120,1108,1122
144,1145,1103,1122
145,1164,1097,1121
146,1171,1091,1120
147,1162,1087,1118
148,1141,1083,1116
149,1111,1076,1116
150,1077,1073,1115
151,1043,1069,1113
152,1032,1066,1114
153,1075,1063,1114
155,1155,1060,1115
156,1231,1059,1116
157,1286,1057,1117
158,1308,1056,1118
159,1311,1055,1118
160,1317,1053,1117
161,1347,1053,1116
162,1409,1053,1115
163,1465,1053,1115
164,1492,1052,1114
165,1485,1051,1112
166,1457,1051,1114
167,1416,1052,1114
168,1363,1055,1114
169,1303,1056,1114
170,1242,1058,1113
171,1177,1059,1114
172,1118,1060,1114
173,1070,1061,1114
174,1031,1062,1115
175,999,1063,1116
176,980,1064,1116
177,981,1065,1117
179,992,1065,1117
180,1001,1065,1118
181,1002,1066,1118
