height of setup:,85
time,value of sensor0,value of sensor1,value of sensor2
1,636,891,945
2,631,885,929
3,631,876,914
4,635,868,901
6,647,861,889
7,672,853,879
8,699,848,870
9,719,844,863
10,728,841,858
11,729,838,854
12,718,838,852
13,707,838,850
14,695,837,847
15,688,837,844
16,692,839,843
17,708,844,841
18,737,851,839
19,770,859,837
20,828,867,837
21,958,878,837
22,1236,900,837
23,1670,966,838
24,2362,1131,838
25,3698,1467,838
26,5448,1971,840
27,7391,2396,859
28,9297,2770,897
30,11050,3163,934
31,12489,3445,955
32,13647,3646,967
33,14592,3825,979
34,15307,3962,994
35,15751,4011,1011
36,15995,3998,1026
37,16114,3995,1048
38,16212,4016,1069
39,16332,4037,1078
40,16361,4048,1078
41,16250,4046,1073
42,16080,4024,1065
43,15890,3965,1055
44,15626,3852,1043
45,15249,3734,1028
46,14649,3651,1015
47,13869,3610,1007
48,13028,3560,1001
49,12330,3495,997
50,11805,3422,993
51,11264,3317,988
53,10605,3194,981
54,9865,3058,973
55,9097,2928,961
56,8348,2822,948
57,7652,2726,937
58,7020,2639,927
59,6451,2559,924
60,5964,2485,922
61,5537,2405,922
62,5143,2334,923
63,4760,2265,927
64,4377,2207,931
65,4014,2162,935
66,3672,2131,942
67,3375,2113,951
68,3126,2104,963
69,2952,2103,975
70,2853,2096,990
71,2797,2083,1008
72,2759,2061,1023
73,2722,2037,1032
74,2694,2006,1038
75,2683,1976,1057
77,2682,1952,1125
78,2672,1933,1251
79,2636,1916,1360
80,2600,1897,1416
81,2617,1874,1432
82,2634,1844,1419
83,2613,1810,1387
84,2565,1770,1346
85,2509,1722,1304
86,2447,1673,1265
87,2377,1626,1231
88,2293,1584,1195
89,2198,1545,1160
90,2101,1502,1124
91,2020,1459,1093
92,1965,1423,1061
93,1927,1395,1035
94,1895,1369,1012
95,1865,1345,992
96,1828,1322,976
97,1781,1301,960
98,1729,1287,949
100,1670,1273,941
101,1604,1260,934
102,1536,1247,929
103,1467,1233,926
104,1403,1216,923
105,1339,1202,921
106,1281,1184,920
107,1237,1167,917
108,1202,1150,915
109,1175,1133,910
110,1151,1119,908
111,1124,1108,906
112,1097,1101,905
113,1067,1099,905
114,1039,1097,905
115,1012,1095,908
116,987,1096,910
117,969,1095,912
118,958,1096,914
119,958,1097,918
120,963,1101,923
121,967,1107,931
122,968,1113,937
124,968,1120,944
125,962,1127,946
126,954,1128,946
127,943,1125,940
128,930,1119,933
129,917,1110,924
130,903,1104,918
131,889,1099,914
132,876,1098,910
133,863,1098,907
134,850,1099,905
135,841,1104,904
136,834,1105,903
137,828,1107,908
138,824,1105,917
139,823,1102,927
140,822,1099,932
141,821,1094,933
142,821,1092,930
143,823,1088,926
144,823,1082,916
145,823,1075,907
147,822,1067,897
148,819,1057,888
149,815,1048,879
150,809,1038,870
151,801,1027,863
152,795,1020,857
153,789,1012,852
154,786,1005,848
155,784,999,846
