height of setup:,82
time,value of sensor0,value of sensor1,value of sensor2
2,796,841,831
3,812,838,834
4,846,833,835
5,872,828,836
6,882,825,834
7,880,823,833
8,881,821,829
9,908,818,827
10,948,816,823
11,975,813,820
12,986,811,817
13,990,809,813
14,999,805,811
16,1030,803,810
17,1104,801,807
18,1183,800,806
19,1212,801,805
20,1282,805,804
21,1670,822,803
22,2711,863,802
23,4508,931,800
24,6615,1001,800
25,8988,1083,799
26,11272,1185,798
27,13001,1282,796
28,14165,1377,796
29,15042,1458,796
30,15841,1534,796
31,16608,1598,796
32,17188,1670,797
33,17546,1723,798
34,17839,1739,799
35,18100,1725,799
36,18326,1707,799
37,18426,1692,799
39,18315,1680,799
40,18021,1674,799
41,17636,1654,799
42,17160,1627,799
43,16557,1632,799
44,15906,1675,800
45,15408,1723,801
46,15111,1760,802
47,14865,1812,802
48,14574,1899,804
49,14241,1990,806
50,13871,2060,810
51,13418,2097,812
52,12856,2118,814
53,12188,2119,815
54,11438,2093,814
55,10639,2074,814
56,9832,2082,815
57,9030,2109,818
58,8247,2137,823
59,7518,2168,831
60,6843,2192,850
61,6211,2193,888
63,5624,2175,927
64,5095,2141,954
65,4644,2098,973
66,4391,2053,983
67,4273,2015,989
68,4178,1980,992
69,4158,1943,997
70,4190,1903,1000
71,4157,1859,1000
72,4039,1816,1000
73,3907,1780,998
74,3821,1747,997
75,3788,1719,995
76,3849,1696,992
77,4005,1675,991
78,4227,1654,992
79,4490,1634,994
80,4769,1613,994
81,4983,1593,992
82,5155,1576,989
83,5255,1559,985
84,5290,1544,980
86,5275,1532,975
87,5231,1520,972
88,5196,1506,970
89,5110,1494,969
90,4835,1484,965
91,4451,1473,961
92,4092,1459,959
93,3846,1442,958
94,3654,1425,955
95,3457,1406,958
96,3253,1387,979
97,3070,1368,1008
98,2918,1350,1029
99,2786,1336,1043
100,2668,1323,1052
101,2560,1308,1064
102,2462,1293,1087
103,2372,1276,1125
104,2273,1260,1165
105,2171,1246,1191
106,2072,1232,1202
107,1977,1220,1205
108,1894,1210,1201
110,1853,1201,1189
111,1880,1192,1175
112,2014,1187,1160
113,2243,1184,1147
114,2495,1182,1135
115,2687,1178,1124
116,2781,1176,1115
117,2821,1175,1106
118,2882,1176,1096
119,2961,1180,1084
120,3029,1188,1071
121,3080,1197,1056
122,3146,1206,1042
123,3219,1208,1029
124,3283,1206,1016
125,3315,1199,1004
126,3304,1191,993
127,3261,1182,986
128,3211,1173,980
129,3214,1164,975
130,3268,1156,970
131,3312,1147,966
133,3304,1139,961
134,3239,1133,958
135,3123,1126,953
136,2973,1119,951
137,2807,1109,946
138,2634,1103,940
139,2459,1096,934
140,2286,1086,927
141,2120,1074,919
142,1964,1061,908
143,1825,1047,897
144,1710,1031,888
145,1612,1016,879
146,1535,1004,870
147,1485,996,864
148,1459,989,857
149,1438,987,851
150,1417,986,845
151,1385,984,840
152,1345,981,836
153,1296,976,834
154,1242,969,830
155,1188,966,828
157,1141,965,826
158,1097,963,825
159,1052,962,824
160,1016,960,822
161,991,959,822
