height of setup:,72.5
time,value of sensor0,value of sensor1,value of sensor2
333,725,1568,1624
334,747,1576,1607
335,763,1578,1620
336,775,1576,1662
337,782,1565,1699
338,794,1549,1720
339,814,1532,1722
340,825,1516,1704
341,825,1497,1674
342,823,1477,1641
343,824,1460,1608
344,833,1456,1586
345,846,1476,1589
346,856,1495,1622
347,854,1505,1677
348,839,1515,1745
349,824,1524,1811
350,813,1535,1863
351,805,1545,1901
352,792,1550,1933
354,771,1550,1962
355,750,1549,1988
356,728,1548,1998
357,710,1550,1969
358,707,1551,1913
359,716,1548,1855
360,714,1540,1809
361,707,1530,1781
362,703,1521,1756
363,701,1511,1717
364,702,1499,1677
365,707,1484,1650
366,714,1466,1631
367,726,1450,1616
368,737,1437,1609
369,742,1424,1595
370,748,1408,1565
371,753,1387,1532
372,764,1366,1512
373,781,1349,1502
374,801,1333,1510
375,818,1316,1540
376,830,1301,1568
378,838,1299,1581
379,849,1303,1597
380,858,1313,1662
381,860,1323,1757
382,859,1331,1838
383,858,1342,1883
384,853,1355,1906
385,842,1365,1919
386,825,1366,1929
387,808,1357,1933
388,791,1347,1917
389,776,1337,1887
390,754,1331,1848
391,732,1327,1803
392,707,1325,1758
393,683,1326,1721
394,662,1328,1690
395,643,1329,1661
396,628,1329,1630
397,615,1327,1599
398,609,1324,1571
399,625,1320,1548
400,650,1315,1523
401,670,1310,1500
403,685,1307,1494
404,698,1306,1519
405,709,1303,1551
406,715,1298,1572
407,716,1296,1607
408,716,1292,1667
409,714,1280,1729
410,712,1262,1783
411,709,1242,1816
412,705,1223,1825
413,697,1206,1830
414,690,1192,1850
415,685,1182,1880
416,676,1182,1886
417,664,1195,1864
418,648,1222,1837
419,633,1254,1816
420,619,1283,1798
421,608,1302,1780
422,599,1311,1758
423,592,1313,1725
424,588,1311,1677
425,591,1307,1629
426,595,1301,1610
427,604,1296,1631
429,610,1292,1668
430,612,1293,1683
431,612,1298,1672
432,608,1297,1647
433,603,1296,1614
434,598,1296,1578
435,592,1297,1541
436,588,1298,1505
437,585,1298,1476
438,582,1292,1449
439,582,1284,1427
440,580,1272,1409
441,579,1257,1388
442,577,1240,1370
443,575,1224,1354
444,575,1210,1340
445,576,1198,1323
446,576,1190,1305
447,576,1191,1289
448,578,1198,1266
449,580,1205,1245
450,582,1211,1225
451,588,1215,1210
453,600,1215,1198
454,627,1210,1189
455,667,1204,1179
456,704,1196,1171
457,724,1193,1163
458,729,1195,1158
459,725,1210,1172
460,719,1231,1195
461,714,1260,1217
462,707,1287,1232
463,695,1308,1239
464,682,1318,1245
465,669,1322,1252
466,653,1319,1269
467,639,1313,1306
468,627,1301,1348
469,623,1292,1369
470,630,1281,1373
471,643,1269,1368
472,654,1254,1372
473,662,1241,1388
474,671,1231,1409
476,676,1228,1429
477,679,1231,1454
478,681,1236,1487
479,689,1237,1530
480,696,1233,1573
481,697,1231,1604
