height of setup:,170
time,value of sensor0,value of sensor1,value of sensor2
0,493,866,880
1,495,862,877
2,496,858,875
3,495,854,874
4,496,849,872
5,497,845,869
6,499,842,869
7,502,838,867
9,502,838,864
10,501,834,862
11,496,832,860
12,492,829,856
13,488,827,853
14,484,824,850
15,480,822,849
16,476,820,848
17,473,818,848
18,471,816,848
19,469,815,848
20,466,814,850
21,464,814,850
22,463,814,852
23,462,815,852
24,463,816,853
25,461,817,854
26,460,816,855
27,457,817,855
28,456,817,856
29,455,817,857
30,460,818,857
32,482,818,857
33,511,821,858
34,542,836,858
35,587,874,858
36,648,940,859
37,757,1023,858
38,959,1099,859
39,1154,1148,859
40,1249,1162,860
41,1268,1158,861
42,1257,1139,861
43,1235,1116,862
44,1211,1093,862
45,1201,1074,863
46,1235,1056,863
47,1326,1037,864
48,1533,1019,863
49,1833,1005,863
50,2156,998,863
51,2463,993,863
52,2654,988,863
53,2691,986,863
54,2612,984,861
56,2476,984,861
57,2343,984,861
58,2297,986,861
59,2304,991,862
60,2301,1000,862
61,2268,1004,861
62,2213,1001,861
63,2145,989,862
64,2060,975,861
65,1954,963,860
66,1835,952,860
67,1716,941,858
68,1602,932,858
69,1498,927,857
70,1406,922,858
71,1324,917,858
72,1258,914,858
73,1196,910,858
74,1140,904,858
75,1099,900,858
76,1078,898,859
77,1067,900,859
79,1054,902,859
80,1030,904,859
81,995,906,859
82,955,905,858
83,914,904,857
84,877,902,856
85,864,900,856
86,901,899,856
87,968,899,856
88,1026,901,855
89,1063,904,856
90,1075,911,855
91,1057,921,855
92,1025,932,855
93,986,943,856
94,944,951,856
95,907,956,857
96,873,956,858
97,844,954,860
98,815,949,862
99,787,944,864
100,767,939,865
101,753,933,867
