height of setup:,74
time,value of sensor0,value of sensor1,value of sensor2
1,644,923,871
2,640,922,869
3,636,923,868
4,630,923,868
5,625,923,867
6,622,924,870
7,620,924,875
8,621,924,879
9,626,924,882
10,633,927,886
11,641,930,886
13,648,937,887
14,654,943,887
15,661,950,886
16,665,956,885
17,670,961,885
18,684,973,884
19,729,1025,883
20,917,1146,882
21,1588,1357,880
22,3328,1617,879
23,6418,1878,877
24,10448,2120,876
25,14414,2336,874
26,17383,2507,873
27,19277,2639,873
28,20440,2823,874
29,21158,3217,875
30,21616,3689,876
31,21872,4095,877
32,21993,4483,878
33,22021,4890,878
34,21994,5250,879
36,21939,5593,880
37,21887,5892,882
38,21882,6053,884
39,21872,6053,886
40,21865,5924,887
41,21861,5864,888
42,21857,5915,890
43,21817,6040,894
44,21721,6251,900
45,21611,6478,911
46,21551,6693,926
47,21554,6921,950
48,21583,7131,987
49,21613,7319,1039
50,21625,7470,1101
51,21604,7595,1167
52,21542,7675,1220
53,21418,7714,1252
54,21225,7703,1275
55,20961,7650,1298
56,20618,7584,1328
57,20217,7495,1369
59,19778,7401,1420
60,19301,7285,1480
61,18779,7170,1542
62,18190,7040,1599
63,17531,6905,1650
64,16816,6765,1701
65,16080,6625,1755
66,15359,6476,1817
67,14669,6319,1888
68,13994,6163,1959
69,13321,6003,2022
70,12656,5842,2081
71,11999,5682,2128
72,11344,5525,2163
73,10701,5367,2186
74,10093,5218,2203
75,9538,5083,2209
76,9060,4964,2208
77,8649,4856,2203
78,8324,4786,2195
79,8164,4722,2184
80,8126,4670,2169
81,8124,4610,2146
83,8084,4529,2122
84,7967,4437,2098
85,7742,4344,2081
86,7452,4256,2072
87,7124,4165,2063
88,6762,4075,2052
89,6387,3993,2038
90,6033,3899,2022
91,5727,3814,2001
92,5488,3733,1978
93,5332,3660,1954
94,5248,3582,1928
95,5190,3499,1906
96,5107,3423,1887
97,4989,3355,1872
98,4837,3293,1862
99,4664,3236,1855
100,4478,3182,1849
101,4298,3132,1844
102,4119,3083,1835
103,3934,3027,1825
104,3757,2965,1814
106,3589,2897,1807
107,3422,2827,1806
108,3258,2758,1809
109,3109,2697,1819
110,2979,2643,1809
111,2877,2590,1769
112,2791,2544,1723
113,2717,2501,1681
114,2650,2455,1642
115,2582,2410,1603
116,2515,2363,1564
117,2455,2319,1531
118,2401,2279,1505
119,2337,2241,1479
120,2267,2205,1449
121,2194,2175,1419
122,2127,2144,1392
123,2070,2112,1369
124,2020,2084,1349
125,1974,2058,1330
126,1926,2034,1309
127,1883,2006,1283
129,1845,1984,1260
130,1816,1968,1237
131,1794,1952,1219
132,1775,1935,1204
133,1755,1921,1190
134,1727,1905,1176
135,1696,1887,1162
136,1671,1868,1150
137,1658,1847,1136
138,1654,1822,1125
139,1651,1797,1113
140,1647,1774,1107
141,1648,1756,1100
142,1654,1742,1096
143,1666,1727,1093
144,1681,1710,1093
145,1694,1693,1094
146,1698,1676,1092
147,1689,1658,1091
148,1662,1640,1087
149,1621,1621,1082
150,1574,1601,1078
151,1530,1576,1072
153,1491,1547,1067
154,1453,1518,1063
155,1416,1491,1060
156,1382,1464,1058
157,1349,1440,1055
158,1322,1415,1051
159,1300,1390,1044
160,1281,1368,1038
161,1265,1348,1031
162,1248,1334,1023
163,1233,1326,1017
164,1220,1327,1009
165,1206,1330,1004
166,1194,1335,999
167,1179,1342,995
168,1162,1349,991
169,1145,1354,988
170,1126,1361,986
171,1107,1367,985
172,1102,1371,986
173,1115,1372,988
174,1131,1371,990
176,1143,1367,991
177,1146,1359,993
178,1148,1350,994
179,1145,1340,996
180,1138,1331,999
181,1127,1322,1000
182,1118,1313,1003
183,1116,1307,1005
184,1120,1301,1010
185,1124,1295,1014
186,1124,1288,1018
187,1117,1281,1021
188,1108,1273,1021
189,1100,1264,1020
190,1090,1252,1017
191,1081,1240,1013
192,1073,1228,1010
193,1063,1219,1005
194,1050,1212,1002
195,1035,1209,1001
196,1021,1210,1000
197,1006,1215,1000
198,995,1220,1000
200,989,1228,999
201,986,1233,997
202,987,1237,995
203,998,1242,991
204,1017,1247,988
205,1044,1253,983
206,1070,1258,980
207,1092,1261,975
208,1107,1260,971
209,1105,1253,966
210,1093,1245,962
211,1080,1239,958
212,1076,1234,953
213,1081,1228,950
214,1095,1219,949
215,1108,1209,947
216,1107,1201,946
217,1092,1197,945
218,1073,1192,943
219,1053,1186,942
220,1033,1183,941
221,1015,1181,940
223,999,1179,939
224,987,1180,939
225,976,1178,938
226,968,1176,937
227,967,1177,936
228,969,1179,936
229,976,1180,936
230,980,1183,937
231,974,1184,938
232,962,1184,938
233,954,1182,939
234,951,1180,940
235,953,1181,940
236,952,1179,940
237,945,1177,940
238,935,1173,939
239,926,1169,937
240,919,1163,935
241,909,1152,931
242,896,1137,926
243,884,1122,920
244,870,1109,916
245,860,1099,912
247,853,1088,908
248,847,1076,905
249,843,1066,901
250,838,1061,900
251,833,1059,899
252,827,1061,899
253,823,1065,899
254,817,1070,899
255,813,1073,899
256,809,1073,899
257,806,1074,899
258,803,1075,899
259,801,1076,900
260,799,1076,901
261,795,1080,904
262,789,1085,906
263,784,1090,911
264,781,1095,915
265,779,1100,921
266,776,1113,931
267,773,1135,942
268,769,1167,951
270,767,1198,958
271,771,1226,966
272,778,1250,978
273,784,1276,996
274,787,1307,1021
275,788,1345,1054
276,783,1390,1101
277,775,1434,1152
278,767,1477,1202
279,760,1515,1262
280,756,1550,1326
281,752,1578,1379
282,749,1600,1414
283,752,1612,1434
284,760,1617,1438
285,762,1614,1440
286,751,1604,1437
287,737,1585,1437
288,728,1554,1435
289,726,1518,1437
290,732,1483,1434
291,740,1453,1432
293,742,1430,1425
294,740,1412,1418
295,736,1395,1411
296,730,1381,1403
297,725,1368,1408
298,722,1354,1460
299,720,1343,1509
300,717,1331,1527
301,717,1319,1524
302,719,1306,1509
303,722,1297,1487
304,728,1292,1465
305,734,1288,1439
306,738,1283,1409
307,740,1279,1378
308,738,1275,1345
309,736,1270,1315
310,735,1263,1288
311,734,1255,1263
312,732,1246,1238
313,733,1238,1215
314,735,1231,1196
315,738,1226,1176
317,743,1225,1160
318,748,1227,1146
319,754,1233,1133
320,764,1246,1120
321,770,1257,1105
322,772,1261,1090
323,771,1254,1074
324,770,1237,1057
325,767,1217,1042
326,766,1196,1029
327,772,1177,1019
328,784,1164,1010
329,799,1156,1004
330,811,1150,999
331,820,1141,993
332,821,1126,987
333,819,1106,981
334,815,1087,975
335,809,1070,970
336,803,1056,966
