height of setup:,175
time,value of sensor0,value of sensor1,value of sensor2
0,504,867,911
1,506,858,903
3,507,850,897
4,507,843,893
5,506,839,889
6,506,833,886
7,501,829,886
8,499,826,888
9,493,825,888
10,491,826,891
11,487,826,892
12,485,827,895
13,487,829,896
14,490,830,897
15,494,830,898
16,498,829,900
17,499,829,902
18,502,829,906
19,505,831,909
20,508,832,913
21,515,834,916
22,521,836,921
23,526,839,923
24,527,842,924
25,528,843,925
27,527,846,923
28,525,847,922
29,524,850,919
30,525,851,915
31,526,853,908
32,527,854,905
33,536,871,901
34,566,977,900
35,604,1209,899
36,641,1401,897
37,676,1496,896
38,718,1518,895
39,766,1496,895
40,798,1448,891
41,805,1395,890
42,796,1340,890
43,789,1294,889
44,830,1256,889
45,989,1224,889
46,1264,1198,889
47,1567,1171,890
48,1791,1146,889
50,1916,1123,888
51,2003,1101,885
52,2103,1080,882
53,2230,1062,880
54,2360,1048,880
55,2431,1041,880
56,2428,1036,879
57,2375,1032,879
58,2293,1028,879
59,2214,1019,878
60,2184,1011,876
61,2181,1001,876
62,2151,993,876
63,2079,988,875
64,1969,985,876
65,1843,984,875
66,1713,984,874
67,1587,982,871
68,1474,980,868
69,1376,976,866
70,1295,973,864
71,1226,969,862
72,1175,967,860
74,1131,967,859
75,1095,963,859
76,1064,960,860
77,1037,955,860
78,1013,951,861
79,1004,947,861
80,1013,944,861
81,1027,940,862
82,1037,937,863
83,1040,930,863
84,1031,927,863
85,1016,921,864
86,996,917,863
87,972,914,864
88,946,910,866
89,921,906,864
90,895,902,864
91,871,899,866
92,849,894,865
93,829,891,866
94,813,888,865
95,796,884,867
97,778,882,868
98,757,880,868
99,742,880,868
100,726,877,867
101,712,877,868
