height of setup:,62
time,value of sensor0,value of sensor1,value of sensor2
31,26527,2410,1364
32,26710,2395,1388
33,26903,2473,1544
34,27066,2669,1774
35,27181,2935,1930
36,27305,3752,2133
38,27400,4726,2382
39,27478,5469,2689
40,27552,6164,3041
41,27594,6694,3313
42,27603,6980,3463
43,27596,7122,3543
44,27595,7338,3924
45,27592,7705,4319
46,27588,8275,4825
47,27553,8821,5242
48,27523,9353,5804
49,27500,9762,6427
50,27482,10101,6984
51,27476,10514,7648
52,27465,11017,8549
53,27434,11520,9469
54,27378,12073,10315
55,27296,12769,11223
56,27188,13600,12186
57,27045,14481,13011
58,26830,15338,13954
59,26568,15954,14952
61,26266,16239,15689
62,26001,16248,16002
63,25851,16063,16055
64,25749,15807,16114
65,25637,15539,16191
66,25535,15297,16245
67,25448,15071,16237
68,25257,14859,16112
69,24939,14645,15859
70,24484,14407,15516
71,23901,14153,15144
72,23217,13886,14776
73,22525,13568,14419
74,21860,13209,14041
75,21203,12848,13580
76,20540,12538,12989
77,19903,12262,12496
78,19289,12011,12098
79,18683,11750,11694
80,18065,11508,11343
81,17381,11265,11096
82,16598,11028,10926
83,15721,10782,10751
85,14780,10528,10544
86,13772,10270,10346
87,12756,10009,10205
88,11799,9742,10027
89,10948,9453,9732
90,10223,9152,9363
91,9626,8841,8995
92,9167,8515,8657
93,8801,8187,8326
94,8489,7868,7977
95,8194,7564,7627
96,7884,7261,7268
97,7533,7013,6942
98,7165,6772,6688
99,6789,6564,6471
100,6455,6359,6261
101,6214,6131,6021
102,6030,5906,5796
103,5876,5694,5586
104,5729,5506,5396
105,5582,5373,5243
106,5429,5293,5122
108,5280,5234,5011
109,5143,5176,4915
110,5020,5123,4841
111,4906,5079,4813
112,4808,5047,4808
113,4671,5027,4811
114,4524,5048,4836
115,4374,5095,4862
116,4206,5152,4868
117,4051,5174,4846
118,3955,5141,4801
119,3943,5065,4691
120,3987,4970,4578
121,4036,4883,4470
