height of setup:,79
time,value of sensor0,value of sensor1,value of sensor2
1,553,835,786
2,554,837,786
3,555,838,785
4,558,839,784
5,560,841,784
6,562,842,784
7,564,841,784
9,567,840,784
10,569,840,786
11,572,840,788
12,575,843,791
13,577,845,792
14,577,848,796
15,578,853,800
16,579,859,805
17,586,868,810
18,598,890,814
19,640,931,821
20,897,979,827
21,1710,1029,830
22,3268,1100,832
23,5420,1295,832
24,8248,1613,832
25,11378,1933,831
26,13986,2212,831
27,15748,2469,832
28,16775,2712,832
29,17398,3024,833
30,17909,3461,833
31,18357,3958,835
33,18730,4326,833
34,19050,4571,833
35,19264,4788,832
36,19334,5016,830
37,19324,5224,828
38,19360,5456,826
39,19474,5677,825
40,19566,5885,825
41,19496,5985,828
42,19303,6019,831
43,19058,6016,836
44,18773,6028,839
45,18486,6081,842
46,18258,6139,843
47,18079,6180,844
48,17879,6144,846
49,17626,6017,847
50,17263,5812,846
51,16812,5579,846
52,16330,5269,844
53,15797,4955,843
54,15110,4661,841
55,14254,4424,838
57,13280,4241,836
58,12247,4096,834
59,11198,3978,835
60,10181,3874,836
61,9217,3796,838
62,8291,3748,841
63,7417,3702,844
64,6643,3657,849
65,6023,3616,853
66,5595,3594,860
67,5392,3560,866
68,5295,3514,874
69,5134,3434,881
70,4830,3317,888
71,4458,3195,901
72,4065,3087,938
73,3704,2987,988
74,3391,2884,1036
75,3174,2788,1067
76,3024,2703,1085
77,2883,2640,1089
78,2730,2591,1094
80,2566,2540,1097
81,2410,2487,1097
82,2273,2434,1092
83,2158,2380,1086
84,2080,2325,1082
85,2046,2279,1078
86,2027,2240,1070
87,2003,2207,1059
88,1989,2171,1049
89,2018,2134,1039
90,2092,2095,1029
91,2185,2056,1023
92,2276,2020,1016
93,2329,1986,1010
94,2321,1958,1004
95,2267,1929,1000
96,2208,1898,995
97,2162,1860,992
98,2105,1822,988
99,2032,1780,985
100,1950,1745,988
101,1865,1716,996
102,1789,1692,1009
103,1717,1674,1022
105,1651,1656,1031
106,1586,1636,1035
107,1529,1614,1037
108,1474,1590,1037
109,1424,1568,1032
110,1382,1549,1024
111,1343,1532,1016
112,1306,1515,1007
113,1271,1497,997
114,1237,1478,988
115,1205,1461,978
116,1176,1446,968
117,1152,1431,958
118,1128,1418,949
119,1109,1405,942
120,1095,1392,936
121,1086,1384,930
122,1087,1389,925
123,1088,1402,921
124,1084,1414,918
125,1072,1418,913
126,1054,1418,910
128,1038,1409,906
129,1026,1393,903
130,1016,1374,903
131,1004,1355,904
132,992,1335,907
133,982,1309,908
134,976,1286,907
135,972,1267,904
136,965,1259,901
137,960,1254,897
138,953,1251,893
139,943,1248,891
140,934,1244,889
141,931,1239,887
142,933,1232,883
143,935,1221,881
144,936,1209,881
145,936,1196,880
146,937,1184,878
147,937,1168,875
148,936,1152,871
149,934,1134,867
150,928,1117,864
152,920,1100,860
153,911,1087,858
154,900,1073,856
155,891,1060,855
156,881,1052,854
157,870,1046,853
158,858,1045,852
159,847,1049,852
160,841,1056,853
161,841,1064,853
162,844,1073,854
163,850,1081,857
164,859,1087,860
165,863,1090,862
166,864,1092,868
167,860,1093,874
168,853,1095,883
169,842,1098,890
170,836,1099,894
171,831,1097,896
172,827,1092,892
173,824,1084,888
175,821,1074,882
176,819,1066,875
177,818,1059,869
178,817,1052,866
179,815,1045,864
180,813,1041,860
181,809,1038,857
182,804,1036,855
183,797,1036,853
184,790,1039,852
185,782,1045,852
186,771,1050,851
187,761,1053,851
188,755,1053,850
189,749,1049,850
190,744,1044,849
191,738,1041,849
192,732,1036,848
193,726,1034,847
194,723,1031,847
195,719,1030,846
196,715,1027,845
197,711,1024,845
199,710,1020,844
200,713,1017,844
201,723,1015,844
202,736,1013,845
203,744,1010,844
204,746,1007,846
205,744,1003,846
206,740,999,847
