height of setup:,130
time,value of sensor0,value of sensor1,value of sensor2
0,895,978,1058
1,869,974,1053
3,844,970,1050
4,818,966,1046
5,798,964,1042
6,778,962,1039
7,760,962,1040
8,744,961,1038
9,729,961,1036
10,717,961,1034
11,704,962,1034
12,694,963,1036
13,685,964,1037
14,679,965,1038
15,690,965,1037
16,803,965,1035
17,1069,964,1033
18,1346,962,1031
19,1534,960,1029
20,1717,958,1026
21,2477,956,1024
22,3628,955,1022
23,4637,954,1020
24,5414,954,1018
25,5955,954,1017
27,6316,957,1014
28,6568,971,1013
29,6770,1005,1011
30,7086,1060,1011
31,7625,1135,1010
32,8328,1236,1009
33,9135,1323,1009
34,9850,1376,1009
35,10315,1422,1010
36,10501,1477,1011
37,10487,1536,1013
38,10551,1602,1015
39,10848,1660,1017
40,11286,1678,1018
41,11677,1670,1020
42,11927,1649,1022
43,12080,1610,1024
44,12177,1563,1024
45,12205,1522,1026
46,12173,1491,1026
47,12134,1472,1027
48,12011,1456,1029
50,11727,1448,1031
51,11262,1442,1037
52,10639,1439,1042
53,9899,1440,1047
54,9090,1446,1052
55,8392,1454,1056
56,7977,1456,1058
57,7788,1453,1060
58,7660,1439,1061
59,7554,1424,1062
60,7405,1404,1060
61,7177,1384,1058
62,6887,1358,1055
63,6570,1334,1052
64,6290,1311,1050
65,6121,1289,1049
66,6029,1269,1048
67,5966,1253,1048
68,5874,1242,1046
69,5711,1232,1043
70,5453,1225,1043
71,5123,1220,1040
72,4759,1222,1042
74,4369,1228,1045
75,3986,1234,1050
76,3638,1241,1055
77,3328,1249,1055
78,3122,1261,1057
79,2989,1276,1058
80,2895,1289,1060
81,2833,1302,1063
82,2821,1316,1067
83,2943,1326,1072
84,3164,1341,1076
85,3378,1357,1081
86,3433,1375,1086
87,3347,1389,1092
88,3169,1396,1096
89,2954,1402,1100
90,2740,1400,1104
91,2541,1398,1109
92,2359,1400,1115
93,2198,1408,1121
94,2059,1426,1128
95,1936,1448,1136
97,1829,1463,1143
98,1738,1475,1154
99,1666,1480,1169
100,1659,1479,1194
101,1746,1471,1218
102,1833,1458,1248
103,1869,1444,1287
104,1877,1426,1330
105,1871,1407,1368
106,1855,1388,1395
107,1828,1367,1405
108,1786,1345,1402
109,1735,1327,1394
110,1689,1314,1380
111,1653,1296,1364
112,1619,1281,1350
113,1577,1265,1334
114,1526,1251,1319
115,1468,1237,1301
116,1411,1223,1280
117,1355,1209,1258
118,1311,1196,1235
119,1271,1186,1214
121,1236,1175,1196
122,1201,1165,1181
123,1177,1157,1167
124,1161,1149,1155
125,1154,1144,1144
126,1153,1139,1135
127,1156,1135,1128
128,1161,1129,1121
129,1167,1123,1117
130,1167,1116,1113
131,1159,1108,1108
132,1146,1101,1104
133,1130,1093,1101
134,1113,1087,1098
135,1096,1082,1095
136,1081,1077,1092
137,1065,1073,1091
138,1054,1069,1088
139,1057,1066,1088
140,1078,1065,1090
141,1103,1066,1092
142,1115,1068,1096
144,1113,1068,1099
145,1095,1070,1101
146,1074,1071,1101
147,1053,1070,1102
148,1034,1068,1103
149,1011,1065,1103
150,990,1060,1105
151,974,1056,1107
152,965,1053,1105
153,959,1050,1104
154,950,1047,1102
155,940,1046,1100
156,930,1045,1099
157,917,1046,1098
158,900,1047,1096
159,884,1048,1097
160,866,1050,1098
161,850,1053,1099
162,834,1055,1101
163,820,1057,1102
164,809,1061,1105
165,799,1063,1106
166,792,1066,1106
168,784,1068,1106
169,775,1071,1105
170,766,1072,1104
171,759,1075,1101
172,754,1077,1099
173,748,1079,1098
174,745,1078,1095
175,743,1077,1094
176,741,1075,1092
177,741,1073,1091
178,738,1069,1091
179,741,1066,1089
180,745,1062,1086
181,749,1058,1086
