height of setup:,65
time,value of sensor0,value of sensor1,value of sensor2
34,23337,3389,1456
35,23307,3536,1631
36,23348,3808,2446
37,23363,4128,3197
38,23301,4496,3618
39,23207,4910,3877
40,23127,5396,4071
41,23058,5857,4181
42,23016,6299,4214
43,22997,6718,4172
44,23011,7148,4194
45,23026,7423,4204
46,23043,7593,4120
47,23090,7758,4097
48,23103,7943,4178
50,23084,8289,4416
51,23065,8842,4810
52,23053,9483,5308
53,22996,10012,5796
54,22870,10416,6222
55,22664,10718,6577
56,22374,10940,6829
57,22013,11096,6968
58,21606,11171,7105
59,21154,11157,7239
60,20673,11060,7389
61,20176,10925,7527
62,19667,10782,7680
63,19158,10616,7801
64,18646,10411,7904
65,18120,10176,8011
66,17574,9907,8103
67,17014,9611,8163
68,16457,9290,8164
69,15918,8947,8078
70,15406,8594,7894
71,14914,8247,7606
73,14425,7925,7316
74,13926,7616,7029
75,13419,7332,6765
76,12894,7051,6516
77,12351,6792,6257
78,11791,6563,6014
79,11206,6376,5811
80,10600,6234,5648
81,10001,6128,5512
82,9401,6050,5407
83,8817,6002,5340
84,8249,5980,5295
85,7722,5963,5245
86,7227,5938,5194
87,6785,5898,5131
88,6384,5844,5059
89,6021,5778,4988
90,5712,5713,4927
91,5429,5670,4895
92,5067,5691,5012
93,5414,5420,4752
94,5705,5224,4467
95,5782,5089,4170
97,5738,4921,3850
98,5630,4741,3574
99,5451,4581,3349
100,5193,4442,3162
101,4890,4316,3001
102,4583,4184,2871
103,4292,4045,2768
104,4029,3923,2666
105,3789,3807,2567
106,3594,3693,2470
107,3437,3576,2382
108,3302,3464,2301
109,3183,3332,2228
110,3076,3203,2171
111,2979,3091,2133
112,2895,2993,2111
113,2821,2906,2101
114,2742,2836,2097
115,2658,2764,2092
116,2563,2701,2088
117,2460,2654,2089
118,2356,2618,2093
120,2269,2598,2099
121,2208,2594,2105
122,2159,2596,2108
123,2108,2603,2108
124,2052,2611,2110
125,1994,2614,2113
126,1938,2611,2117
127,1887,2602,2120
128,1839,2587,2122
129,1792,2573,2128
130,1746,2571,2137
131,1707,2576,2146
132,1685,2583,2156
133,1676,2588,2169
134,1666,2595,2192
135,1650,2608,2227
136,1627,2641,2281
137,1595,2690,2368
138,1551,2746,2503
139,1510,2818,2663
140,1470,2899,2809
141,1433,2985,2930
143,1396,3058,3031
144,1359,3117,3098
145,1324,3172,3142
146,1293,3231,3167
147,1272,3278,3180
148,1256,3300,3177
149,1241,3298,3164
150,1231,3271,3146
151,1225,3232,3148
152,1223,3189,3206
153,1223,3150,3289
154,1222,3113,3371
155,1221,3077,3462
156,1220,3039,3548
157,1218,3003,3636
158,1218,2964,3708
159,1221,2927,3684
160,1235,2893,3601
161,1264,2875,3490
162,1300,2869,3362
163,1328,2860,3234
164,1341,2839,3110
165,1347,2809,2999
167,1345,2769,2894
168,1343,2721,2789
169,1342,2670,2683
170,1344,2616,2580
171,1344,2561,2485
172,1340,2506,2401
173,1333,2451,2328
174,1331,2397,2270
175,1338,2341,2222
176,1353,2286,2184
177,1371,2235,2153
178,1389,2195,2131
179,1418,2168,2116
180,1496,2145,2102
181,1574,2122,2084
