height of setup:,160
time,value of sensor0,value of sensor1,value of sensor2
0,908,984,1004
1,893,971,999
2,875,960,996
3,856,950,992
4,844,943,990
5,841,935,986
6,843,931,983
7,842,927,980
9,834,923,978
10,821,921,976
11,812,919,974
12,804,917,972
13,793,915,971
14,781,913,970
15,766,912,968
16,754,912,968
17,743,910,967
18,733,910,966
19,722,911,965
20,710,914,966
21,697,915,966
22,685,918,966
23,675,919,966
24,681,921,966
25,775,930,968
26,881,956,994
27,951,1011,1138
28,1013,1111,1392
29,1055,1226,1609
30,1072,1312,1786
31,1073,1358,1943
33,1099,1380,2086
34,1170,1376,2211
35,1252,1361,2341
36,1310,1369,2475
37,1328,1431,2549
38,1313,1514,2518
39,1281,1579,2421
40,1251,1611,2299
41,1233,1608,2166
42,1226,1577,2037
43,1219,1531,1920
44,1207,1481,1815
45,1182,1431,1721
46,1148,1387,1639
47,1107,1348,1568
48,1066,1312,1509
49,1077,1283,1458
50,1420,1256,1414
51,2099,1235,1375
52,2875,1214,1342
53,3681,1196,1312
54,4465,1181,1285
56,5181,1172,1258
57,5783,1165,1233
58,6225,1159,1210
59,6480,1154,1189
60,6561,1151,1171
61,6511,1153,1155
62,6362,1159,1143
63,6133,1170,1130
64,5843,1178,1118
65,5501,1187,1109
66,5130,1195,1099
67,4758,1202,1090
68,4428,1213,1081
69,4169,1221,1074
70,3977,1219,1070
71,3846,1212,1064
72,3737,1207,1058
73,3628,1201,1052
74,3515,1194,1047
75,3378,1184,1042
76,3217,1173,1038
77,3038,1161,1034
78,2859,1149,1031
80,2685,1137,1027
81,2513,1122,1025
82,2352,1109,1022
83,2221,1095,1020
84,2140,1082,1018
85,2118,1070,1016
86,2116,1063,1013
87,2085,1056,1017
88,2016,1054,1021
89,1957,1053,1025
90,1956,1052,1030
91,1989,1048,1035
92,2020,1044,1036
93,2020,1036,1036
94,1982,1029,1033
95,1922,1022,1029
96,1852,1017,1027
97,1782,1012,1026
98,1720,1010,1026
99,1673,1009,1025
100,1640,1008,1025
101,1612,1010,1024
103,1585,1011,1022
104,1555,1013,1020
105,1523,1015,1017
106,1488,1017,1013
107,1444,1018,1009
108,1391,1018,1005
109,1336,1017,1000
110,1280,1017,999
111,1229,1016,999
112,1180,1015,997
113,1139,1015,994
114,1105,1015,994
115,1076,1014,993
116,1051,1014,993
117,1027,1013,993
118,1007,1012,993
119,992,1010,1002
120,988,1008,1021
121,999,1005,1052
122,1026,1005,1091
123,1048,1010,1143
124,1065,1020,1207
125,1080,1032,1279
127,1113,1042,1349
128,1186,1047,1403
129,1283,1046,1436
130,1370,1043,1452
131,1437,1037,1454
132,1485,1029,1443
133,1520,1022,1416
134,1541,1014,1380
135,1553,1006,1345
136,1553,998,1315
137,1541,991,1291
138,1523,983,1269
139,1503,977,1248
140,1490,971,1231
141,1500,967,1214
142,1518,964,1196
143,1524,962,1180
144,1510,961,1165
145,1477,961,1153
146,1432,960,1142
147,1383,960,1133
148,1335,958,1123
150,1294,956,1113
151,1264,953,1104
152,1243,951,1096
153,1224,950,1089
154,1201,948,1083
155,1172,948,1075
156,1140,947,1070
157,1106,946,1065
158,1076,946,1058
159,1056,945,1053
160,1039,945,1048
161,1026,947,1043
162,1016,949,1039
163,1004,951,1036
164,992,952,1033
165,979,954,1029
166,993,957,1027
167,1071,959,1024
168,1210,961,1020
169,1371,962,1017
170,1541,964,1012
171,1698,964,1009
172,1807,964,1005
174,1855,966,1002
175,1845,965,1000
176,1810,966,999
177,1770,964,998
178,1721,963,996
179,1664,961,995
180,1599,958,995
181,1531,956,993
