height of setup:,145
time,value of sensor0,value of sensor1,value of sensor2
1,624,1034,1088
3,626,1032,1081
4,625,1029,1075
5,622,1023,1069
6,618,1016,1064
7,613,1010,1059
8,609,1002,1055
9,604,995,1051
10,599,991,1048
11,594,987,1046
12,587,983,1045
13,581,980,1042
14,574,977,1041
15,570,976,1040
16,564,975,1039
17,560,973,1037
18,556,973,1037
19,553,972,1036
20,552,972,1036
21,550,973,1036
22,551,975,1037
23,559,977,1042
24,589,980,1064
25,630,982,1112
27,662,984,1176
28,676,985,1235
29,681,994,1286
30,677,1040,1328
31,672,1148,1359
32,668,1301,1387
33,665,1443,1390
34,669,1557,1374
35,685,1660,1349
36,705,1733,1326
37,719,1778,1305
38,735,1789,1288
39,785,1769,1267
40,1124,1745,1243
41,1823,1723,1219
42,2605,1701,1196
43,3205,1675,1177
44,3598,1645,1160
45,4098,1620,1145
46,4669,1615,1132
47,5174,1634,1120
48,5550,1665,1111
50,5770,1703,1102
51,5846,1729,1095
52,5791,1737,1090
53,5640,1727,1084
54,5416,1704,1079
55,5112,1678,1075
56,4734,1654,1072
57,4330,1630,1069
58,3963,1605,1066
59,3645,1579,1063
60,3361,1551,1060
61,3088,1522,1057
62,2840,1494,1055
63,2621,1465,1052
64,2428,1437,1051
65,2265,1414,1049
66,2134,1390,1048
67,2026,1365,1046
68,1930,1341,1046
69,1840,1316,1042
70,1754,1292,1040
71,1666,1271,1038
73,1573,1253,1036
74,1484,1237,1035
75,1402,1223,1034
76,1328,1213,1033
77,1272,1204,1033
78,1234,1193,1032
79,1210,1184,1031
80,1196,1175,1031
81,1187,1165,1030
82,1190,1158,1029
83,1199,1152,1028
84,1209,1148,1027
85,1214,1143,1026
86,1209,1140,1025
87,1197,1135,1025
88,1174,1130,1024
89,1145,1123,1023
90,1110,1115,1023
91,1071,1104,1022
92,1031,1096,1023
93,996,1085,1025
94,968,1075,1029
95,945,1065,1034
97,926,1057,1037
98,909,1052,1038
99,893,1049,1039
100,884,1045,1040
101,879,1041,1039
102,875,1037,1037
103,868,1031,1034
104,856,1028,1031
105,842,1022,1030
106,828,1018,1028
107,820,1015,1028
108,817,1012,1027
109,809,1008,1026
110,798,1006,1025
111,784,1003,1024
112,767,1002,1025
113,748,999,1025
114,737,998,1024
115,750,995,1023
116,802,994,1022
117,855,993,1021
118,888,991,1019
120,904,991,1019
121,910,990,1018
122,907,990,1017
123,891,990,1018
124,868,989,1018
125,838,989,1020
126,811,989,1021
127,790,989,1022
128,770,989,1023
129,755,987,1023
130,743,986,1021
131,735,985,1019
132,728,983,1016
133,723,980,1014
134,716,976,1011
135,709,973,1009
136,699,969,1009
137,689,966,1008
138,677,965,1008
139,664,964,1007
140,653,963,1008
141,643,963,1006
142,635,963,1006
144,627,962,1003
145,621,960,1001
146,615,959,999
