height of setup:,100
time,value of sensor0,value of sensor1,value of sensor2
1,797,1080,1239
2,792,1077,1224
3,787,1075,1209
4,781,1072,1196
5,770,1071,1184
6,759,1069,1175
7,748,1067,1167
8,741,1064,1161
9,736,1063,1155
10,732,1061,1149
11,728,1058,1142
12,727,1056,1135
13,727,1055,1129
14,725,1052,1126
15,723,1051,1122
16,723,1053,1120
17,863,1054,1120
18,1744,1058,1120
19,3391,1061,1120
20,5349,1061,1121
21,7221,1063,1120
22,8874,1064,1118
23,10284,1083,1116
25,11375,1159,1114
26,12062,1355,1113
27,12369,1687,1111
28,12308,2090,1110
29,12010,2448,1111
30,11660,2719,1112
31,11540,2905,1118
32,12010,3038,1133
33,12638,3112,1157
34,13218,3096,1178
35,13755,3003,1188
36,14258,2880,1194
37,14674,2739,1191
38,15048,2598,1185
39,15458,2465,1178
40,15914,2381,1174
41,16378,2354,1174
42,16477,2360,1180
43,16081,2357,1189
44,15384,2331,1200
45,14551,2293,1215
46,13653,2253,1251
48,12765,2218,1311
49,11990,2187,1391
50,11347,2160,1479
51,10928,2132,1586
52,10836,2109,1880
53,11036,2096,2505
54,11293,2089,3154
55,11528,2083,3672
56,11805,2079,4091
57,12093,2073,4406
58,12312,2060,4604
59,12416,2042,4677
60,12405,2012,4630
61,12291,1977,4493
62,12090,1940,4307
63,11796,1907,4104
64,11440,1878,3897
65,11058,1853,3680
66,10587,1824,3454
67,10026,1789,3240
68,9386,1748,3043
69,8712,1707,2858
70,8041,1668,2696
72,7379,1631,2559
73,6750,1599,2441
74,6160,1574,2333
75,5621,1550,2237
76,5131,1534,2156
77,4699,1525,2083
78,4313,1519,2011
79,3975,1510,1943
80,3674,1505,1887
81,3410,1501,1840
82,3185,1498,1800
83,3013,1497,1767
84,2885,1496,1737
85,2794,1493,1716
86,2713,1491,1699
87,2632,1486,1685
88,2539,1481,1673
89,2439,1475,1662
90,2354,1469,1653
91,2310,1463,1651
92,2307,1459,1649
93,2327,1454,1642
95,2350,1453,1632
96,2352,1454,1623
97,2313,1457,1615
98,2256,1463,1598
99,2207,1465,1574
100,2173,1463,1545
101,2138,1459,1518
102,2088,1458,1494
103,2021,1461,1469
104,1943,1463,1444
105,1861,1461,1418
106,1784,1453,1397
107,1718,1446,1381
108,1662,1436,1368
109,1613,1426,1365
110,1565,1414,1367
111,1516,1401,1368
112,1468,1389,1368
113,1427,1376,1368
114,1388,1362,1363
115,1356,1350,1358
116,1326,1341,1351
117,1290,1334,1344
119,1259,1327,1335
120,1226,1318,1324
121,1201,1308,1310
122,1187,1297,1295
123,1180,1287,1284
124,1175,1284,1274
125,1167,1278,1263
126,1157,1271,1255
127,1147,1263,1249
128,1139,1257,1244
129,1129,1250,1242
130,1112,1243,1240
131,1091,1237,1240
132,1074,1232,1240
133,1060,1228,1239
134,1052,1225,1238
135,1050,1221,1236
136,1068,1220,1235
137,1102,1220,1234
138,1140,1222,1234
139,1175,1224,1233
140,1215,1226,1231
141,1265,1229,1227
143,1304,1233,1223
144,1320,1238,1220
145,1320,1247,1216
146,1309,1265,1213
147,1290,1288,1210
148,1266,1322,1203
149,1238,1347,1197
150,1210,1357,1191
151,1182,1355,1185
152,1160,1344,1179
153,1142,1332,1176
154,1128,1316,1173
155,1115,1301,1171
156,1105,1284,1170
157,1109,1269,1170
158,1140,1252,1169
159,1192,1241,1170
160,1234,1231,1171
161,1247,1224,1173
162,1231,1218,1176
163,1199,1212,1178
164,1173,1203,1179
166,1161,1199,1183
167,1154,1190,1183
168,1151,1184,1184
169,1150,1180,1181
170,1147,1175,1179
171,1146,1173,1176
172,1151,1171,1171
173,1167,1167,1166
174,1182,1164,1163
175,1184,1161,1160
176,1179,1158,1158
177,1174,1155,1157
178,1167,1153,1157
179,1156,1153,1156
180,1140,1152,1156
181,1121,1154,1156
