height of setup:,71.41
time,value of sensor0,value of sensor1,value of sensor2,value of sensor3
7,1012,1579,1494,1451
8,1009,1591,1474,1414
9,1008,1599,1462,1381
10,1006,1602,1535,3497
11,1023,3773,7498,7119
12,1770,8502,10013,8466
13,3535,11838,12043,10025
14,5210,14424,13511,11311
15,6095,15312,15234,13691
17,6204,14650,14755,14193
18,5922,13447,13817,14181
19,5462,12374,16417,14606
20,5023,13474,20299,14274
21,4665,15034,22819,16722
22,4177,14465,23631,19629
23,3669,15381,24469,19277
24,3312,18789,24823,19735
25,3683,20063,24071,20294
26,4664,20818,23986,21311
27,5588,22519,24790,21350
28,8905,24241,24640,20894
29,13249,23862,23364,19801
30,14907,22814,21929,18539
31,16866,22286,20950,17695
32,19141,21798,20047,17738
33,21339,22228,20749,18119
34,22007,23097,21517,17389
35,21754,24209,21028,16451
36,21632,23475,19362,14998
37,20619,22055,17358,13433
38,19827,20787,15723,11955
40,19505,20241,15859,11272
41,18623,21422,19566,13422
42,17184,21778,22221,13183
43,16171,22790,22257,12318
44,17400,23872,21123,11503
45,19005,23847,19879,10714
46,18666,22699,18466,10280
47,17602,21157,16679,9595
48,15890,19382,14710,8831
49,14280,17509,12751,7899
50,12729,15612,10919,7014
51,11373,13762,9273,6206
52,11787,12131,7839,5540
53,12659,11600,6730,4983
54,14261,10974,5787,4509
55,16267,11009,5236,4181
56,17080,11146,5051,3834
57,16833,10803,4748,3514
58,15890,10048,4358,3239
59,14247,9049,3933,2995
60,12495,7989,3539,2821
61,10679,6934,3165,2633
62,8968,5970,2815,2434
64,7739,5407,2636,2301
65,6977,6118,2806,2229
66,6838,7537,2909,2216
67,6500,8866,3003,2341
68,6278,9149,3312,2958
69,6582,9520,4300,3731
70,7335,10356,5236,4836
71,7899,10863,5986,5814
72,7866,10782,6617,6460
73,7801,10523,7079,7207
74,7307,9887,7023,7285
75,6519,8824,6298,6661
76,5647,7694,5510,5976
77,5558,7546,4799,5343
78,5555,8503,4493,4786
79,5875,9205,5777,4373
80,5558,9425,5740,4148
81,5417,9012,5180,3775
82,4990,8119,4667,3502
83,4475,7389,4454,3478
84,3926,6541,4072,3526
85,3398,5689,3568,3245
86,3211,5028,3136,2938
87,3763,6015,4141,3104
89,4327,6988,5853,4153
90,5084,8015,6340,4545
91,5708,8266,6260,4591
92,5536,7796,5829,4484
93,5056,7102,5291,4234
94,4416,6278,4651,3877
95,3795,5458,4014,3488
96,3264,4733,3461,3146
97,2824,4135,3028,2845
98,2495,3670,2707,2594
99,2260,3305,2468,2376
100,2092,3045,2292,2198
101,2069,2835,2159,2070
102,2265,2875,2128,2005
103,2590,3626,2452,2067
104,2731,4688,3450,2407
105,2906,4848,3672,2708
106,2704,4490,3452,2722
107,2439,4042,3116,2590
108,2201,3609,2782,2381
109,2022,3234,2507,2178
110,2147,3060,2313,2003
112,2681,3727,2264,1894
113,2878,3988,2260,2007
114,2726,3784,2302,2085
115,2457,3455,2193,2029
116,2178,3104,2059,1916
117,1948,2787,1918,1795
118,1756,2559,2369,2558
119,1723,3192,3446,2965
120,1965,3789,3836,3154
121,2042,3770,3776,3142
122,1962,3541,3498,2941
123,1946,3398,3236,2706
124,1995,3439,3310,2746
125,2074,3580,3529,3096
126,2055,3713,3689,3329
127,2125,3817,3708,3273
128,2138,3686,3471,3058
129,2058,3449,3206,2853
130,2006,3231,2972,2672
131,2002,3033,2776,2516
132,2076,2919,2643,2378
133,2085,3125,2587,2276
135,2080,3303,2696,2268
136,2068,3417,2839,2454
137,2070,3488,3008,2726
138,2000,3523,3217,2955
139,1927,3550,3337,2956
140,1892,3552,3293,2934
141,1879,3525,3304,3050
142,1895,3509,3318,3062
143,2016,3433,3163,2941
144,1950,3363,3012,2815
145,1860,3256,3016,2860
146,1751,3213,3327,3142
147,1782,3233,3373,3154
148,2199,3342,3274,3068
149,2238,3470,3131,2916
150,2189,3551,3063,2718
151,2216,3671,2994,2567
152,2266,3604,2842,2468
153,2241,3486,2762,2429
154,2172,3391,2752,2415
155,2014,3298,2741,2409
156,1837,3108,2707,2419
158,1766,2929,2598,2435
159,2332,2983,2594,2407
160,2782,3766,3190,2587
161,3259,4566,3774,2943
162,3485,4760,3825,2968
163,3570,4669,3714,2861
164,3636,4558,3536,2726
