height of setup:,54
time,value of sensor0,value of sensor1,value of sensor2
33,28239,6655,2673
34,28338,6435,2595
35,28415,6465,2741
36,28484,6540,2826
37,28543,6586,2844
38,28584,6590,2801
39,28616,6566,2723
40,28635,6390,2649
41,28643,6185,2571
42,28652,6270,2571
43,28666,6597,2821
44,28677,7086,3275
45,28683,7680,4045
46,28690,8177,4761
47,28701,8685,5346
48,28712,9195,5898
49,28722,9521,6333
50,28727,9783,6703
51,28726,10130,7250
52,28712,10700,8158
53,28688,11435,9379
55,28664,12207,10580
56,28647,13035,11676
57,28630,13873,12805
58,28597,14610,13731
59,28560,15264,14385
60,28503,15865,14737
61,28375,16339,14776
62,28326,16301,14490
63,28275,15991,14228
64,28232,15543,13778
65,28222,15006,13139
66,28210,14443,12834
67,28186,13851,12574
68,28139,13229,12342
69,28078,12622,12109
70,27987,12018,11855
71,27852,11493,11671
72,27693,10945,11435
73,27516,10335,11104
74,27338,9747,10915
75,27091,9235,11056
76,26757,8813,11602
77,26356,8498,11968
79,25841,8226,12102
80,25248,7996,12098
81,24586,7789,12003
82,23869,7620,11828
83,23106,7511,11615
84,22310,7438,11277
85,21514,7396,10934
86,20726,7392,10532
87,19929,7372,10070
88,19095,7378,9635
89,18202,7376,9269
90,17240,7404,8991
91,16211,7438,8783
92,15133,7502,8611
93,14015,7596,8518
94,12924,7674,8470
95,11950,7721,8347
96,11135,7717,8131
97,10453,7707,7901
98,9853,7714,7694
99,9313,7691,7559
100,8831,7610,7476
102,8397,7519,7417
103,7956,7469,7389
104,7506,7471,7433
105,7066,7535,7579
106,6569,7615,7803
107,6088,7638,8013
108,5673,7548,8180
109,5294,7343,8269
110,4984,7092,8270
111,4808,6830,8163
112,4681,6590,7967
113,4553,6392,7766
114,4407,6252,7609
115,4254,6182,7552
116,4149,6158,7555
117,4095,6140,7495
118,4030,6112,7306
119,3986,6088,7011
120,3962,6062,6645
121,3957,6042,6254
