height of setup:,95
time,value of sensor0,value of sensor1,value of sensor2
1,562,806,853
2,562,802,851
3,560,800,849
4,556,799,846
5,552,797,844
6,547,795,843
7,542,794,841
8,537,791,839
9,532,790,836
10,528,788,834
11,524,788,832
12,522,786,831
13,520,786,830
14,517,786,828
15,513,788,829
16,513,789,829
17,531,791,831
19,574,792,832
20,612,793,833
21,669,794,832
22,820,795,832
23,1235,798,831
24,2160,804,829
25,3290,825,828
26,4568,884,827
27,6094,991,825
28,7842,1117,824
29,9564,1235,824
30,10991,1347,822
31,12007,1445,822
32,12685,1528,822
33,13175,1613,823
34,13471,1686,824
35,13593,1730,824
36,13680,1738,824
37,13773,1724,824
38,13973,1699,825
39,14275,1657,827
40,14511,1628,828
41,14700,1621,829
43,14792,1637,830
44,14827,1696,832
45,14778,1921,857
46,14745,2107,950
47,14855,2169,2405
48,14755,2069,4062
49,14370,2153,4270
50,13717,2315,4059
51,12967,2325,3734
52,12164,2230,3383
53,11298,2094,3044
54,10403,1952,2739
55,9521,1829,2477
56,8690,1729,2256
57,7932,1645,2066
58,7246,1573,1904
59,6653,1515,1766
60,6101,1473,1652
61,5597,1440,1557
62,5152,1404,1477
63,4763,1360,1410
64,4408,1317,1352
66,4096,1277,1303
67,3816,1247,1266
68,3545,1229,1236
69,3261,1221,1212
70,2985,1220,1192
71,2737,1217,1178
72,2523,1216,1166
73,2347,1223,1155
74,2237,1237,1149
75,2180,1254,1146
76,2153,1273,1146
77,2116,1281,1145
78,2046,1281,1143
79,1969,1278,1141
80,1887,1268,1137
81,1797,1257,1135
82,1704,1250,1134
83,1614,1242,1137
84,1531,1233,1139
85,1459,1220,1140
86,1398,1209,1140
87,1347,1191,1141
88,1303,1176,1144
90,1268,1162,1148
91,1237,1148,1148
92,1211,1134,1145
93,1192,1119,1137
94,1180,1104,1126
95,1170,1089,1112
96,1162,1074,1097
97,1153,1060,1084
98,1139,1050,1069
99,1123,1038,1054
100,1110,1026,1038
101,1113,1015,1023
102,1129,1004,1010
103,1143,995,999
104,1147,987,990
105,1144,980,980
106,1136,975,971
107,1131,971,964
108,1122,968,957
109,1115,964,952
110,1108,961,948
111,1099,960,947
113,1085,961,945
114,1072,963,944
115,1068,967,943
116,1071,971,943
117,1075,977,942
118,1079,983,942
119,1084,989,942
120,1082,994,944
121,1065,995,947
122,1037,996,951
123,1008,997,955
124,980,1000,959
125,960,1002,959
126,945,1000,957
127,930,995,955
