height of setup:,220
time,value of sensor0,value of sensor1,value of sensor2
0,593,986,1067
1,591,983,1067
2,587,981,1067
3,584,978,1067
4,581,976,1066
5,577,974,1065
6,573,971,1064
7,570,969,1061
9,567,966,1059
10,565,964,1058
11,563,961,1057
12,562,959,1056
13,560,957,1055
14,558,955,1054
15,557,953,1054
16,556,953,1054
17,553,952,1052
18,550,952,1052
19,549,950,1051
20,547,949,1050
21,545,949,1048
22,543,950,1046
23,542,949,1046
24,540,947,1045
25,542,947,1045
26,548,947,1045
27,556,947,1045
28,565,949,1045
29,572,950,1045
30,576,951,1046
32,576,956,1047
33,572,964,1047
34,570,973,1048
35,568,984,1048
36,567,994,1049
37,566,1005,1050
38,566,1013,1051
39,568,1020,1051
40,576,1026,1054
41,586,1032,1054
42,596,1036,1053
43,609,1041,1054
44,635,1045,1054
45,695,1051,1054
46,785,1060,1055
47,880,1071,1055
48,962,1084,1054
49,1025,1097,1054
50,1071,1102,1054
51,1098,1100,1055
52,1108,1094,1054
53,1103,1088,1054
54,1089,1084,1055
56,1056,1079,1055
57,1013,1075,1055
58,965,1070,1055
59,919,1067,1055
60,886,1064,1056
61,911,1058,1056
62,981,1053,1055
63,1040,1048,1055
64,1072,1044,1054
65,1080,1041,1054
66,1071,1037,1053
67,1052,1035,1052
68,1022,1032,1051
69,989,1028,1049
70,955,1025,1048
71,923,1021,1048
72,893,1020,1046
73,863,1018,1046
74,832,1014,1046
75,802,1012,1045
76,777,1013,1045
77,754,1012,1045
78,765,1009,1045
80,844,1006,1046
81,974,1006,1046
82,1115,1005,1046
83,1235,1005,1047
84,1322,1005,1046
85,1364,1007,1047
86,1364,1008,1047
87,1336,1008,1048
88,1295,1010,1051
89,1259,1012,1054
90,1232,1016,1061
91,1215,1023,1069
92,1194,1030,1076
93,1167,1035,1084
94,1138,1038,1087
95,1113,1038,1092
96,1091,1037,1093
97,1071,1034,1094
98,1049,1031,1095
99,1022,1028,1093
100,994,1025,1091
101,965,1019,1088
102,934,1014,1084
104,903,1011,1080
105,873,1005,1077
106,850,1004,1073
107,845,1002,1072
108,858,1001,1070
109,870,1002,1069
110,875,1001,1071
111,872,1000,1078
112,866,999,1091
113,855,997,1105
114,842,995,1120
115,826,993,1131
116,811,991,1140
117,796,988,1145
118,783,985,1147
119,769,983,1148
120,754,981,1145
121,742,980,1141
122,728,979,1138
123,717,980,1134
124,706,981,1131
125,697,982,1127
126,688,983,1124
128,679,984,1118
129,672,986,1115
130,665,988,1110
131,660,990,1107
132,657,992,1102
133,653,993,1097
