height of setup:,74
time,value of sensor0,value of sensor1,value of sensor2
1,1590,2293,1830
3,1590,2251,1769
4,1596,2204,1714
5,1616,2151,1664
6,1646,2091,1616
7,1684,2027,1574
8,1723,1973,1533
9,1754,1936,1499
10,1779,1902,1467
11,1799,1864,1443
12,1800,1830,1422
13,1806,1802,1415
14,1823,1768,1412
15,1874,1725,1413
16,2321,1676,1419
17,3486,1641,1425
18,5109,1657,1431
19,7150,1741,1440
20,9421,1861,1451
21,12138,2007,1458
22,14820,2638,1466
23,17114,4121,1476
24,18808,5744,1501
26,19949,7065,1543
27,20819,8106,1600
28,21461,8670,1657
29,22042,8734,1723
30,22603,8531,1848
31,22948,8260,2040
32,23079,7933,2180
33,23110,7605,2352
34,23098,7320,2631
35,23045,7076,2894
36,22991,6887,3073
37,22969,6770,3161
38,23008,6754,3218
39,23090,6806,3241
40,23183,6983,3301
41,23214,7212,3359
42,23116,7464,3449
43,22904,7769,3538
44,22682,7988,3663
45,22458,8147,3779
46,22186,8315,3920
47,21895,8463,4049
48,21572,8706,4205
50,21111,9044,4423
51,20458,9423,4719
52,19633,9867,5344
53,18659,10372,6989
54,17595,10808,8402
55,16565,11109,9261
56,15564,11370,9904
57,14523,11584,10550
58,13434,11709,11203
59,12396,11715,11954
60,11469,11608,12800
61,10667,11405,13590
62,9990,11119,14172
63,9443,10815,14622
64,8932,10502,14779
65,8420,10179,14563
66,7944,9859,14143
67,7530,9540,13623
68,7175,9234,13017
69,6893,8931,12377
70,6657,8673,11743
71,6430,8521,11176
72,6156,8452,10632
74,5867,8369,10047
75,5596,8263,9452
76,5370,8159,8892
77,5149,8088,8386
78,4904,8056,7957
79,4599,8082,7627
80,4285,8122,7425
81,3967,8150,7318
82,3703,8148,7310
83,3465,8140,7409
84,3242,8146,7584
85,3048,8162,7818
86,2877,8157,7970
87,2718,8101,7974
88,2589,7988,7894
89,2498,7814,7853
90,2427,7634,7903
91,2384,7473,7933
92,2376,7315,7830
93,2402,7144,7597
94,2449,6943,7274
95,2516,6715,6914
97,2577,6477,6552
98,2605,6249,6237
99,2605,6039,5957
100,2590,5873,5692
101,2595,5730,5473
102,2691,5619,5342
103,2831,5546,5264
104,2904,5504,5243
105,2899,5495,5376
106,2847,5501,5661
107,2744,5494,5948
108,2662,5462,6183
109,2600,5404,6336
110,2543,5333,6444
111,2485,5263,6590
112,2419,5201,6745
113,2348,5137,6839
114,2282,5068,6844
115,2265,4999,6807
116,2246,4935,6785
117,2194,4867,6820
118,2152,4800,6934
119,2129,4710,7066
121,2127,4607,7082
