height of setup:,66
time,value of sensor0,value of sensor1,value of sensor2
33,26242,2650,1471
34,26393,3241,1599
35,26464,4325,1893
36,26341,5548,2089
37,26169,6579,2180
38,26074,7419,2301
39,26000,7946,2424
40,26004,8411,2727
41,26062,8849,3169
42,26098,9176,3483
43,26134,9511,4108
44,26179,9883,5095
45,26189,10227,6105
47,26139,10453,6784
48,26072,10570,7203
49,25963,10511,7446
50,25824,10362,7629
51,25709,10136,7840
52,25647,9807,8018
53,25619,9528,8308
54,25572,9508,8838
55,25437,9811,9660
56,25157,10309,10560
57,24909,10732,11187
58,24721,10898,11444
59,24429,10967,11502
60,24012,11087,11544
61,23592,11076,11580
62,23204,10901,11460
63,22896,10695,11305
64,22566,10582,11297
65,22119,10610,11469
66,21536,10712,11774
67,20806,10809,12238
68,20000,10856,12848
69,19154,10852,13492
71,18258,10773,13892
72,17293,10637,13993
73,16259,10440,13900
74,15080,10237,13704
75,13766,10000,13521
76,12437,9693,13333
77,11167,9423,13200
78,9976,9254,13193
79,8955,9188,13319
80,8105,9189,13535
81,7358,9205,13766
82,6707,9178,13947
83,6237,9088,14004
84,5911,8959,13878
85,5624,8841,13616
86,5329,8730,13352
87,4958,8613,13195
88,4552,8475,13075
89,4198,8316,12889
90,3962,8125,12613
91,3835,7899,12239
92,3797,7638,11809
94,3827,7360,11360
95,3903,7087,10918
96,4004,6814,10496
97,4109,6557,10060
98,4220,6290,9569
99,4339,6024,9012
100,4422,5825,8470
101,4480,5716,7968
102,4506,5699,7487
103,4494,5703,7080
104,4478,5673,6721
105,4462,5615,6363
106,4452,5569,6028
107,4459,5576,5747
108,4469,5640,5548
109,4451,5715,5574
110,4342,5762,5808
111,4205,5767,6071
112,4102,5726,6295
113,4002,5651,6465
114,3920,5556,6547
115,3846,5464,6546
116,3804,5395,6489
118,3797,5376,6385
119,3817,5381,6219
120,3826,5381,5984
121,3807,5375,5742
