start next to table end on table (leave puddle)
height of setup:,57.77
time,value of sensor0,value of sensor1,value of sensor2,value of sensor3
312,8108,7495,5694,3859
313,7597,7140,5549,3827
314,7121,6801,5405,3779
315,6659,6477,5262,3725
316,6208,6164,5111,3668
317,5770,5855,4956,3610
318,5360,5563,4808,3553
319,4969,5288,4669,3497
320,4612,5037,4548,3480
321,4289,4806,4461,3543
322,4008,4604,4420,3664
323,3766,4432,4397,3775
324,3566,4282,4373,3852
325,3399,4147,4346,3902
326,3255,4026,4318,3951
327,3128,3922,4297,4043
328,3011,3832,4295,4158
329,2906,3753,4307,4274
330,2809,3684,4356,4401
331,2723,3632,4434,4509
332,2643,3601,4496,4557
334,2570,3576,4515,4545
335,2496,3542,4488,4473
336,2424,3499,4468,4401
337,2350,3438,4425,4306
338,2270,3353,4378,4206
339,2188,3238,4322,4111
340,2110,3105,4250,4022
341,2042,2969,4152,3943
342,1987,2845,4037,3874
343,1936,2730,3898,3819
344,1903,2658,3787,3799
345,1871,2608,3687,3774
346,1844,2577,3618,3744
347,1820,2557,3578,3711
348,1797,2539,3565,3676
349,1777,2526,3572,3651
350,1759,2520,3600,3667
351,1744,2526,3649,3721
352,1732,2550,3712,3780
353,1723,2587,3767,3826
354,1716,2629,3807,3853
355,1709,2666,3830,3869
357,1705,2692,3846,3873
358,1704,2712,3859,3864
359,1707,2727,3867,3843
360,1712,2744,3875,3831
361,1720,2769,3890,3888
362,1729,2796,3904,3966
363,1740,2808,3882,4019
364,1751,2803,3844,4031
365,1759,2787,3789,4008
366,1766,2761,3726,3960
367,1770,2733,3667,3900
368,1772,2715,3631,3855
369,1774,2718,3637,3845
370,1778,2741,3699,3882
371,1779,2785,3796,3946
372,1785,2842,3898,4039
373,1790,2897,4007,4179
374,1793,2954,4125,4350
375,1796,3006,4212,4507
376,1763,2971,4189,4561
377,1781,3068,4293,4681
378,1779,3092,4313,4692
380,1777,3108,4314,4666
381,1776,3120,4364,4735
382,1782,3162,4436,4790
383,1790,3224,4515,4825
384,1795,3258,4536,4810
385,1796,3251,4504,4753
386,1800,3249,4476,4719
387,1807,3236,4438,4676
388,1807,3213,4397,4610
389,1792,3176,4321,4506
390,1807,3150,4301,4471
391,1814,3164,4349,4498
392,1817,3167,4386,4486
393,1787,3156,4367,4431
394,1802,3185,4392,4420
395,1799,3202,4396,4469
396,1788,3203,4395,4524
397,1764,3178,4366,4507
