height of setup:,110
time,value of sensor0,value of sensor1,value of sensor2
1,585,851,857
2,580,847,855
3,575,845,854
4,569,843,854
5,565,841,853
6,570,839,854
7,589,837,852
8,608,836,852
9,621,833,851
10,625,831,849
11,628,830,848
12,630,828,847
13,630,827,845
14,629,826,842
15,627,825,841
16,626,824,840
17,623,824,838
19,621,824,837
20,622,825,835
21,717,827,835
22,1316,829,833
23,2354,832,831
24,3642,837,831
25,5075,844,829
26,6604,855,830
27,8076,867,828
28,9271,878,829
29,10072,889,829
30,10509,905,829
31,10684,931,828
32,10739,989,827
33,10783,1132,827
34,10901,1377,827
35,11101,1710,827
36,11304,2051,828
37,11434,2270,830
38,11487,2529,831
39,11393,2802,832
40,11108,3042,832
42,10735,3234,832
43,10339,3392,832
44,9956,3516,831
45,9765,3630,831
46,10008,3739,832
47,10619,3816,833
48,11397,3852,835
49,12000,3825,838
50,12208,3776,852
51,12042,3701,877
52,11650,3600,908
53,11187,3477,952
54,10759,3366,1011
55,10310,3261,1064
56,9797,3149,1094
57,9257,3040,1108
58,8698,2941,1111
59,8097,2849,1112
60,7452,2761,1109
61,6794,2658,1103
62,6188,2569,1096
63,5683,2492,1086
64,5368,2422,1076
66,5347,2347,1063
67,5513,2260,1052
68,5716,2176,1042
69,5843,2098,1033
70,5845,2027,1023
71,5712,1961,1013
72,5457,1895,1000
73,5121,1833,987
74,4748,1776,975
75,4358,1725,965
76,3980,1680,957
77,3611,1643,951
78,3264,1614,948
79,2944,1593,947
80,2662,1577,949
81,2414,1568,951
82,2213,1561,954
83,2061,1555,956
84,1944,1545,959
85,1849,1533,961
86,1783,1519,960
87,1753,1509,960
89,1740,1498,958
90,1728,1490,958
91,1720,1483,962
92,1714,1474,964
93,1708,1465,966
94,1698,1454,968
95,1682,1443,968
96,1657,1424,967
97,1636,1406,966
98,1641,1387,965
99,1670,1368,965
100,1688,1348,965
101,1695,1325,965
102,1702,1305,962
103,1726,1282,957
104,1744,1259,951
105,1746,1241,944
106,1725,1224,936
107,1679,1212,929
108,1622,1204,924
109,1560,1197,918
110,1500,1190,915
111,1441,1184,911
113,1383,1178,909
114,1325,1171,906
115,1273,1164,905
116,1226,1158,904
117,1183,1150,903
118,1142,1145,901
119,1102,1139,899
120,1065,1132,898
121,1032,1127,896
122,1004,1122,894
123,981,1117,893
124,960,1112,893
125,938,1104,893
126,916,1097,893
127,898,1089,895
128,886,1081,897
129,880,1074,900
130,877,1066,902
131,878,1058,905
132,879,1051,912
133,884,1047,926
134,902,1043,942
136,942,1040,955
137,995,1041,965
138,1036,1039,970
139,1053,1039,970
140,1051,1034,967
141,1038,1030,962
142,1016,1026,953
143,994,1023,945
144,972,1017,936
145,950,1013,929
146,930,1008,924
147,908,1003,917
148,888,998,911
