height of setup:,88.03
time,value of sensor0,value of sensor1,value of sensor2,value of sensor3
1,836,1254,1289,1242
2,820,1226,1258,1212
3,809,1202,1234,1188
4,813,1201,1229,1185
5,807,1195,1225,1179
6,795,1181,1213,1168
7,785,1162,1198,1156
8,779,1149,1184,1148
9,775,1136,1171,1182
10,773,1129,1161,1174
11,773,1127,1154,1157
12,772,1126,1148,1136
13,770,1123,1141,1118
14,767,1117,1135,1134
15,789,1204,1319,2431
16,974,2003,3439,4702
17,1219,3183,7073,6437
18,1356,3878,10444,8736
19,1547,6477,12523,10050
20,2379,8568,12443,9526
21,2296,8925,12420,9498
23,2084,8266,11367,9624
24,2073,7727,10356,9197
25,2367,7437,9535,8521
26,3152,7511,9295,8740
27,4469,9388,10443,9702
28,6216,12855,11702,9876
29,6272,13603,12687,9992
30,5821,12816,12215,10488
31,5210,11767,11289,10111
32,4634,11087,11075,10119
33,4167,11278,11501,10408
34,3905,11439,12224,11042
35,4448,11115,12191,11165
36,5216,10991,11742,10736
37,5446,10369,10605,9624
38,5002,9171,9268,8511
39,4477,7932,7912,7444
40,4793,6989,6970,6447
41,5221,6601,6256,5669
42,5264,6040,5484,4970
43,4848,5362,4814,4412
44,4335,4900,4508,4010
45,3917,4627,4169,3571
47,3534,4298,3874,3669
48,3298,4294,4211,4260
49,3219,4321,4177,4173
50,3129,4381,4006,3809
51,3641,4534,3983,3416
52,3625,4532,4185,3199
53,4136,5164,5340,4507
54,4049,5933,6633,7030
55,3804,6007,7030,8289
56,3587,6142,7872,9274
57,3455,6330,9506,9699
58,4336,8611,10463,9649
59,5234,9953,10521,9735
60,5440,10161,10457,10314
61,6110,10285,10130,10489
62,6233,10168,9522,9997
63,5861,9502,8524,8969
64,5320,8742,7737,8014
65,4803,7883,7009,7244
66,4488,7018,6288,6549
67,4900,6781,5700,5835
68,4888,7636,5691,5269
70,4477,8317,6084,5062
71,4440,8290,6520,4699
72,5080,8189,6957,4386
73,4739,7696,6520,4304
74,4129,6785,5869,4076
75,4062,6292,5420,3818
76,3767,6059,5619,4637
77,3624,5832,5601,5053
78,3617,5816,5777,5329
79,3695,5995,5757,5506
80,3498,6479,5736,5517
81,3297,6455,5964,5469
82,3412,6681,6696,6035
83,4179,6510,6883,6215
84,5146,7406,6694,5994
85,5815,8198,6771,5988
86,6085,8836,6948,5994
87,5641,8627,7103,6206
88,5020,7795,6482,5982
89,4546,7038,5801,5466
90,4347,6268,5153,4983
91,4052,5571,4599,4549
92,3773,5007,4088,4132
93,3357,4423,3640,3752
95,2931,3859,3185,3329
96,2568,3378,2812,2957
97,2270,2997,2506,2670
98,2027,2684,2259,2406
99,1835,2442,2066,2192
100,1693,2253,1922,2032
101,1579,2100,1808,1901
102,1496,1997,1738,1810
103,1429,1887,1670,1753
104,1496,1869,1656,1739
105,1475,1814,1606,1672
106,1378,1717,1528,1577
107,1478,1667,1458,1492
108,1745,2039,1654,1539
109,1725,2240,1899,1793
110,1665,2265,2003,1903
111,1678,2366,2210,1935
112,1814,2584,2374,2041
113,1980,2858,2634,2251
114,2507,3085,2850,2482
115,2737,3408,3207,2725
116,2715,3461,3331,2840
117,2528,3267,3228,2893
118,2385,3035,3039,2792
120,2426,2918,2841,2635
121,2576,2971,2745,2518
122,2929,3540,2978,2625
123,3149,3639,3045,2872
124,3146,3611,2968,2839
