height of setup:,190
time,value of sensor0,value of sensor1,value of sensor2
1,523,1079,1135
2,522,1085,1115
3,522,1080,1093
4,522,1067,1071
5,522,1053,1050
6,522,1036,1030
7,523,1019,1014
8,524,1000,999
9,524,983,986
10,523,966,975
11,522,952,966
12,522,939,959
13,522,928,953
14,520,919,947
15,520,911,942
16,518,905,938
17,517,899,934
18,514,895,931
19,512,892,927
20,509,888,924
21,514,886,922
23,538,887,920
24,571,904,922
25,592,937,924
26,600,977,927
27,599,1015,931
28,593,1045,935
29,586,1066,939
30,583,1079,942
31,584,1086,945
32,593,1092,962
33,610,1094,1037
34,630,1099,1183
35,647,1110,1324
36,661,1128,1386
37,668,1156,1387
38,670,1183,1357
39,674,1198,1318
40,681,1195,1274
41,695,1181,1232
42,703,1163,1197
43,701,1145,1167
44,693,1125,1143
45,681,1108,1121
47,684,1093,1104
48,749,1078,1089
49,898,1065,1074
50,1120,1054,1058
51,1351,1044,1046
52,1521,1035,1034
53,1618,1028,1027
54,1651,1021,1019
55,1632,1015,1014
56,1633,1012,1008
57,1706,1014,1001
58,1810,1021,993
59,1897,1029,984
60,1945,1041,974
61,1947,1054,967
62,1923,1066,959
63,1874,1077,953
64,1798,1089,949
65,1700,1100,945
66,1596,1112,941
67,1495,1121,937
68,1403,1127,934
69,1319,1126,932
71,1245,1122,929
72,1178,1113,927
73,1119,1102,926
74,1078,1091,924
75,1058,1082,923
76,1127,1073,921
77,1395,1064,919
78,1736,1058,917
79,2027,1055,915
80,2255,1050,914
81,2445,1051,913
82,2617,1055,911
83,2800,1061,911
84,3003,1067,911
85,3159,1070,911
86,3235,1069,913
87,3225,1065,915
88,3129,1058,918
89,2973,1051,924
90,2782,1044,928
91,2578,1037,934
92,2379,1033,938
93,2190,1032,943
95,2018,1037,948
96,1865,1044,952
97,1730,1048,956
98,1612,1053,959
99,1512,1055,964
100,1427,1057,968
101,1356,1061,971
102,1291,1069,982
103,1230,1078,1000
104,1174,1086,1016
105,1118,1091,1030
106,1068,1091,1041
107,1023,1090,1048
108,984,1085,1053
109,951,1077,1055
110,920,1066,1056
111,895,1055,1054
112,871,1045,1052
113,848,1035,1048
114,830,1025,1042
115,810,1017,1037
116,795,1009,1033
118,781,1003,1028
119,770,1000,1023
120,760,996,1020
121,752,991,1016
122,745,987,1013
123,736,983,1011
124,728,980,1008
125,718,977,1006
126,714,974,1005
127,716,972,1004
128,727,972,1005
129,722,971,1011
130,710,970,1020
131,687,976,1026
132,665,990,1027
133,651,1012,1025
134,641,1033,1023
135,633,1049,1021
136,626,1056,1015
137,618,1060,1007
138,613,1061,999
139,608,1058,991
141,603,1049,983
142,598,1038,977
143,595,1027,971
144,590,1017,966
145,588,1009,962
146,583,1001,958
147,580,994,955
