height of setup:,150
time,value of sensor0,value of sensor1,value of sensor2
1,1085,962,1083
2,1067,961,1067
3,1042,957,1052
4,1014,953,1040
5,981,949,1029
6,951,945,1020
7,920,941,1012
8,889,939,1006
9,862,936,1001
10,837,934,997
11,814,934,993
12,797,933,991
13,794,933,989
14,832,933,987
15,916,934,984
16,993,939,981
17,1036,942,979
18,1054,945,979
19,1057,946,977
20,1051,946,974
21,1046,945,973
22,1065,945,972
24,1123,944,970
25,1202,949,968
26,1260,954,968
27,1277,965,966
28,1266,976,965
29,1240,989,964
30,1219,1002,964
31,1223,1020,963
32,1190,1042,963
33,1168,1061,964
34,1262,1078,964
35,1682,1102,965
36,2191,1146,967
37,2585,1197,969
38,2853,1244,971
39,3004,1291,973
40,3136,1352,975
41,3266,1397,978
42,3301,1421,979
43,3283,1431,979
44,3278,1432,980
45,3291,1419,981
47,3216,1407,981
48,3075,1395,981
49,2889,1393,981
50,2680,1401,983
51,2473,1421,984
52,2278,1441,985
53,2136,1453,987
54,2051,1447,1007
55,1985,1431,1223
56,1934,1420,1824
57,1897,1424,2459
58,1866,1439,2826
59,1849,1455,2948
60,1876,1466,2939
61,1981,1477,2868
62,2154,1484,2764
63,2293,1484,2653
64,2353,1478,2545
65,2380,1468,2438
66,2419,1456,2334
67,2448,1437,2224
68,2452,1422,2108
69,2460,1403,2001
71,2495,1385,1903
72,2525,1364,1813
73,2526,1347,1727
74,2482,1331,1653
75,2402,1324,1588
76,2296,1319,1531
77,2173,1311,1479
78,2046,1302,1431
79,1924,1289,1389
80,1816,1270,1350
81,1717,1253,1321
82,1629,1235,1292
83,1545,1221,1266
84,1478,1209,1247
85,1582,1197,1229
86,2014,1186,1214
87,2525,1178,1202
88,2899,1171,1191
89,3081,1163,1184
90,3125,1157,1174
91,3079,1154,1168
92,2981,1150,1160
94,2862,1152,1153
95,2782,1156,1147
96,2795,1161,1145
97,2849,1167,1187
98,2874,1171,1400
99,2838,1173,1811
100,2749,1172,2231
101,2621,1170,2555
102,2470,1166,2764
103,2311,1162,2886
104,2152,1158,2939
105,2002,1154,2947
106,1866,1149,2921
107,1744,1142,2870
108,1634,1133,2803
109,1537,1124,2732
110,1451,1117,2659
111,1379,1106,2588
112,1318,1095,2502
113,1263,1085,2413
114,1218,1074,2321
115,1180,1065,2228
116,1156,1053,2132
118,1177,1044,2033
119,1277,1034,1931
120,1413,1025,1834
121,1540,1015,1744
122,1644,1006,1664
123,1703,999,1593
124,1715,993,1531
125,1690,986,1476
126,1639,981,1428
127,1575,977,1388
128,1505,975,1351
129,1432,972,1323
130,1364,970,1294
131,1305,968,1270
132,1259,967,1250
133,1236,966,1234
134,1224,966,1219
135,1215,965,1206
136,1206,964,1193
137,1193,962,1183
138,1171,959,1172
139,1146,958,1162
141,1118,954,1154
142,1090,953,1146
143,1063,951,1138
144,1036,949,1131
145,1008,948,1127
146,980,949,1123
147,954,948,1120
148,937,949,1118
149,926,949,1113
150,917,949,1109
151,904,952,1108
152,892,957,1102
153,884,963,1097
154,880,969,1093
155,876,971,1089
156,872,973,1082
157,867,972,1077
158,861,971,1073
159,852,971,1068
160,845,970,1064
161,837,968,1059
162,830,965,1055
163,824,962,1051
165,820,959,1047
166,827,955,1043
167,842,951,1041
168,859,949,1037
169,870,945,1036
170,873,944,1033
171,869,942,1030
172,863,940,1029
173,864,939,1028
174,887,939,1028
175,931,939,1026
176,992,938,1025
177,1061,937,1024
178,1127,936,1023
179,1185,933,1022
180,1231,934,1022
181,1253,932,1021
