height of setup:,100.55
time,value of sensor0,value of sensor1,value of sensor2,value of sensor3
1,942,1385,1263,1116
2,1193,1869,1417,1120
3,1377,2105,1525,1107
4,1466,2124,1503,1077
5,1361,1945,1414,1046
6,1247,1779,1352,1039
7,1181,1691,1373,1087
8,1257,1932,1752,1512
9,1707,2437,2087,1669
10,1747,2387,2015,1632
12,1796,2184,1853,1828
13,1909,2305,2364,2564
14,1909,2372,2512,2534
15,1840,2343,2414,2335
16,1690,2156,2175,2098
17,1529,1957,1959,1886
18,1394,1821,1893,1727
19,1382,1972,2062,1603
20,1426,2016,2166,1787
21,1677,2358,2139,1833
22,3007,2468,2014,1797
23,2946,2387,1933,1729
24,3359,2984,2291,2194
25,3216,3395,3076,3055
26,2938,3172,3049,3020
27,2666,3037,3001,2970
28,2773,3135,2917,2753
29,3121,4013,3637,3220
30,3807,4696,4273,3725
31,3925,4630,4203,3760
32,3523,4167,3758,3381
33,3070,3647,3276,3003
35,2703,3320,2931,2844
36,3185,3365,2746,2617
37,3957,4239,2603,2391
38,4480,4837,2623,2481
39,4848,5737,3839,3063
40,4980,6435,5111,4284
41,5130,6886,5831,4757
42,5438,6980,6396,5369
43,5848,7455,7522,6508
44,6013,7990,8294,6909
45,5835,7802,8384,6542
46,5418,7058,8047,6236
47,6044,8035,8537,6657
48,5828,8236,8582,7733
49,5453,7981,8008,7518
50,5013,7307,7170,6939
51,5201,6731,6502,6486
52,6446,8312,7869,6804
53,6317,8680,8890,8723
54,5855,8157,8621,9020
55,5579,7674,7994,8634
56,5502,7708,7352,7992
58,5114,8208,6594,7243
59,5572,8106,6158,6404
60,5651,7942,5954,5908
61,5364,7679,5896,5657
62,4928,7348,5893,5679
63,4325,6778,5932,5607
64,4500,6577,5834,5666
65,4991,6878,6149,5640
66,5077,6928,6342,5580
67,4732,6508,6080,5532
68,4196,5797,5467,5267
69,3656,5072,5029,5052
70,3159,4470,5469,5103
71,2766,4299,6231,5521
72,2457,4061,6417,5971
73,2257,3789,5932,5902
74,2070,4380,5648,5606
75,1902,4288,5682,5823
76,1757,4496,5329,6264
77,1641,4274,5718,6572
78,1558,4499,6405,6724
79,2376,5089,6620,6844
81,2921,5898,6737,6908
82,3607,7156,6888,6814
83,4509,7718,6799,6518
84,4724,7433,6273,5918
85,4406,6679,5503,5230
86,3961,5905,4789,4555
87,3485,5113,4149,3957
88,3036,4372,3648,3435
89,2711,3819,3218,3003
90,2578,3580,2911,2686
91,2554,3345,2590,2440
92,2375,3041,2311,2224
93,2334,2818,2184,2425
94,2226,3027,2882,3080
95,2473,3452,3129,3132
96,2619,3485,3078,3066
97,2942,4058,3565,2896
98,3458,4894,4529,3240
99,3209,5094,5213,3670
100,3127,5076,5992,3846
101,3523,5614,6256,3773
102,3955,5968,6241,3944
104,3924,5946,6014,3952
105,3696,5676,5659,3719
106,3395,5177,5085,3400
107,3013,4504,4367,3026
108,2777,3993,3728,2689
109,2566,3775,3410,2433
110,2500,3901,3209,2226
111,2574,3735,2918,2111
112,2542,3418,2661,2100
113,2380,3328,2622,2052
114,2174,3232,2874,2269
115,2045,3128,2958,2465
116,2002,3012,3019,2658
117,2093,3003,3051,2740
118,2091,2969,2957,2655
119,1973,2938,2917,2583
120,1829,2731,2834,2500
121,1668,2483,2604,2345
122,1554,2288,2404,2207
123,1432,2093,2223,2046
124,1366,2026,2160,1960
125,1360,2011,2087,1937
126,1367,2037,2082,1979
128,1477,2499,2464,2371
129,1458,2652,2924,2924
130,1546,2706,2998,3024
131,1569,2743,3139,3345
132,1538,2603,2968,3274
133,1461,2478,2769,3114
134,1393,2485,2846,3090
135,1377,2430,2829,3048
136,1317,2280,2631,2842
137,1258,2100,2361,2577
138,1191,1912,2110,2308
139,1310,1764,1919,2079
140,1517,1874,1786,1901
141,1671,2277,1975,1931
142,1674,2747,2556,2286
143,1599,2821,2870,2708
144,1626,2808,3095,3024
145,1752,2866,3122,3038
146,1676,2745,2982,2965
147,1547,2496,2683,2712
148,1425,2248,2385,2444
149,1314,2031,2133,2211
151,1222,1853,1936,2015
152,1149,1710,1774,1843
153,1086,1584,1629,1687
154,1031,1478,1507,1556
155,986,1390,1409,1448
156,956,1328,1340,1366
157,933,1291,1298,1303
158,913,1250,1253,1248
159,891,1211,1212,1202
160,871,1176,1177,1161
161,855,1144,1145,1124
162,848,1129,1119,1097
163,1019,1242,1139,1075
164,1182,1528,1494,1429
165,1303,1851,1956,1909
166,1298,1916,2458,2266
167,1366,2016,2668,2636
168,1445,2071,2609,2648
169,1518,2147,2520,2538
170,1532,2116,2336,2335
171,1452,1978,2117,2113
172,1326,1795,1895,1900
174,1215,1634,1707,1720
175,1158,1551,1566,1572
176,1221,1550,1538,1492
177,1459,1793,1754,1541
178,1751,2300,2381,2025
179,1914,2787,3073,2420
180,1805,2720,3126,2599
181,1718,2637,2925,2574
182,1772,2703,2620,2384
183,1798,2721,2332,2132
184,1860,2679,2232,1986
185,1877,2520,2109,1901
186,1856,2367,1985,1804
187,1790,2196,1857,1690
188,1671,2046,1739,1586
189,1528,1890,1635,1507
190,1405,1751,1553,1460
191,1302,1624,1470,1402
192,1220,1531,1404,1350
193,1156,1462,1363,1470
194,1128,1486,1475,1571
195,1210,1608,1565,1500
196,1406,2000,1509,1397
198,1602,2100,1407,1302
199,1520,1915,1315,1225
200,1367,1722,1240,1163
201,1244,1563,1181,1114
202,1144,1439,1135,1075
203,1098,1353,1098,1042
204,1105,1292,1071,1016
205,1054,1256,1050,994
206,1069,1210,1033,977
207,1341,1216,1027,969
208,1687,1843,1136,966
209,1760,2223,1434,958
210,1895,2588,1611,946
211,2073,2784,1802,942
212,2039,2811,1942,1161
213,2088,2836,2189,1583
214,2089,2879,2625,1990
215,1996,2856,2871,2393
216,1847,2786,3000,2540
217,2251,2911,2980,2688
218,2681,3764,3721,2931
220,2570,3984,4475,3679
221,2357,3710,4388,4107
222,2384,3509,4079,4006
223,2370,3657,3955,3820
224,2328,3653,3999,3948
225,2471,3932,4015,3866
226,2321,3860,4055,3824
227,2095,3538,3751,3586
228,1870,3166,3413,3322
229,1689,2804,3019,3024
230,1582,2551,2724,2748
231,1559,2361,2495,2574
232,1729,2367,2395,2433
233,1647,2349,2416,2313
234,1729,2226,2330,2171
235,1721,2162,2234,2039
236,1729,2307,2213,1947
237,1904,2422,2277,1991
238,1878,2389,2304,2069
239,1917,2388,2255,2039
240,2072,2531,2388,2215
241,2194,2752,2552,2398
243,2363,3032,2624,2465
244,2338,3045,2650,2555
245,2199,2965,2729,2624
246,2047,2903,2690,2484
247,1986,2822,2571,2354
248,1850,2675,2501,2323
249,1673,2423,2299,2170
250,1519,2166,2063,1976
251,1511,2076,1982,1873
252,1600,2198,2195,2060
253,1518,2117,2215,2208
254,1425,1981,2088,2154
255,1370,1890,1992,2018
256,1345,1842,1867,1849
257,1471,1778,1732,1687
258,1551,1877,1694,1565
259,1658,2026,1926,1785
260,1701,2088,2214,2163
261,1654,2083,2289,2250
262,1532,2033,2243,2230
263,1561,2006,2178,2176
265,1563,2020,2134,2146
266,1657,2255,2285,2207
267,1729,2446,2464,2263
268,1708,2496,2500,2177
269,1735,2477,2430,2063
270,1739,2517,2397,1960
271,1674,2477,2238,1882
272,1596,2336,2049,1791
273,1510,2193,1911,1680
274,1581,2132,1783,1605
275,1691,2444,1851,1570
276,1625,2474,2000,1549
277,1553,2368,2008,1549
278,1464,2247,1972,1555
279,1373,2117,1924,1587
280,1282,1982,1860,1614
281,1198,1828,1752,1588
282,1130,1687,1622,1515
