height of setup:,220
time,value of sensor0,value of sensor1,value of sensor2
0,560,941,1023
1,558,942,1024
2,555,943,1025
3,554,944,1024
4,552,944,1025
5,551,943,1027
6,551,941,1028
7,550,940,1030
8,550,940,1032
9,550,940,1033
10,550,940,1035
11,550,940,1035
12,551,940,1035
13,551,939,1035
14,551,939,1035
15,550,939,1034
16,551,938,1034
17,550,938,1033
19,550,937,1032
20,551,938,1031
21,551,938,1029
22,550,939,1029
23,550,940,1029
24,557,941,1029
25,567,943,1028
26,576,945,1028
27,584,946,1029
28,590,948,1030
29,592,948,1031
30,592,950,1031
31,591,950,1031
32,588,950,1031
33,584,950,1030
34,580,949,1029
35,575,948,1028
36,570,947,1028
37,566,946,1027
38,562,944,1027
39,559,944,1028
40,556,944,1029
42,553,944,1029
43,550,945,1030
44,548,946,1030
45,546,946,1030
46,543,946,1031
47,541,946,1030
48,539,946,1031
49,537,946,1031
50,537,945,1031
51,539,945,1030
52,543,944,1029
53,548,944,1029
54,554,944,1029
55,560,943,1028
56,564,944,1028
57,565,944,1027
58,567,942,1025
59,568,942,1023
60,571,942,1022
61,580,942,1021
62,602,942,1021
63,647,943,1020
64,695,946,1021
66,730,950,1020
67,745,957,1021
68,745,964,1021
69,738,973,1022
70,729,984,1022
71,719,993,1023
72,715,1000,1024
73,720,1005,1024
74,728,1008,1025
75,734,1009,1026
76,741,1010,1026
77,752,1009,1027
78,774,1006,1027
79,805,1003,1027
80,838,1000,1028
81,867,996,1028
82,890,994,1027
83,908,992,1026
84,918,991,1025
85,920,990,1023
86,913,990,1020
87,898,990,1019
89,877,989,1018
90,850,991,1017
91,820,992,1019
92,789,996,1018
93,760,1001,1017
94,733,1004,1017
95,713,1005,1014
96,698,1008,1015
97,691,1008,1014
98,701,1008,1015
99,720,1008,1014
100,739,1009,1015
101,749,1007,1016
102,760,1007,1018
103,775,1005,1021
104,783,1003,1026
105,783,1001,1032
106,773,999,1037
107,757,997,1041
108,741,993,1043
109,729,991,1045
110,718,988,1046
111,706,985,1046
113,697,983,1045
