height of setup:,71.41
time,value of sensor0,value of sensor1,value of sensor2,value of sensor3
241,1585,2730,2360,1914
242,1542,2690,2342,1938
243,1532,2670,2360,1963
244,1527,2657,2403,1971
245,1544,2633,2426,1979
246,1544,2617,2412,1947
247,1551,2587,2329,1859
248,1586,2523,2199,1762
249,1616,2497,2077,1671
250,1648,2507,1974,1589
251,1708,2555,1909,1519
252,1750,2519,1860,1467
253,1739,2428,1800,1424
254,1719,2336,1753,1398
255,1680,2263,1742,1381
256,1615,2201,1721,1386
258,1544,2141,1709,1399
259,1481,2076,1700,1395
260,1422,2010,1685,1372
261,1368,1949,1713,1398
262,1310,1913,1724,1444
263,1245,1861,1733,1494
264,1227,1802,1747,1549
265,1203,1811,1821,1621
266,1196,1835,1846,1632
267,1178,1804,1810,1605
268,1148,1747,1721,1525
269,1112,1674,1626,1441
270,1092,1631,1559,1368
271,1065,1622,1535,1314
272,1046,1601,1544,1284
273,1045,1583,1565,1286
274,1051,1581,1648,1427
275,1051,1591,1723,1574
276,1055,1623,1788,1669
277,1058,1673,1869,1691
278,1058,1707,1921,1620
279,1057,1706,1901,1533
281,1054,1697,1867,1501
282,1066,1705,1878,1574
283,1078,1723,1877,1640
284,1085,1737,1869,1665
285,1108,1742,1842,1658
286,1138,1751,1818,1632
287,1226,1806,1823,1601
288,1401,2050,2059,1717
289,1486,2324,2358,1952
290,1449,2400,2534,2162
291,1376,2381,2604,2275
292,1283,2331,2627,2273
293,1188,2217,2590,2217
294,1108,2061,2507,2130
295,1059,1929,2400,2011
296,1063,1834,2283,1891
297,1084,1836,2178,1820
298,1098,1856,2125,1794
299,1102,1871,2079,1790
300,1109,1877,2026,1759
301,1135,1889,1996,1727
302,1166,1948,2091,1785
304,1340,1973,2045,1721
305,1645,2038,1935,1615
306,1833,2431,1863,1584
307,1832,2709,1892,1641
308,1830,2841,2113,1735
309,1812,2906,2359,1907
310,1750,2889,2523,2082
311,1796,2949,2672,2254
312,1783,2990,2787,2340
313,1712,3009,2888,2371
314,1595,2897,2917,2366
315,1484,2761,2909,2324
316,1386,2654,2811,2237
317,1345,2603,2671,2152
318,1349,2533,2549,2099
319,1370,2470,2477,2100
320,1436,2434,2448,2110
321,1546,2599,2446,2153
322,1610,2714,2445,2152
323,1638,2742,2467,2127
324,1651,2720,2439,2062
325,1634,2661,2357,1996
327,1641,2674,2311,1960
328,1631,2717,2329,1971
329,1586,2746,2392,1997
330,1559,2695,2354,1960
331,1549,2625,2269,1893
332,1573,2572,2197,1816
333,1570,2553,2134,1735
334,1511,2554,2066,1655
335,1512,2505,1961,1576
336,1640,2397,1849,1513
337,1753,2479,1770,1458
338,1822,2695,1805,1462
339,1862,2850,1915,1524
340,1877,2976,2187,1640
341,1815,2968,2400,1822
