height of setup:,44
time,value of sensor0,value of sensor1,value of sensor2
33,24071,7643,6368
34,24002,10026,8443
35,23831,12159,10413
36,23779,13365,11462
37,23935,13758,11816
38,24046,13776,11973
39,24117,13569,12000
41,24166,13204,11949
42,24201,12808,12067
43,24183,12599,12419
44,24146,12463,12702
45,24112,12344,12880
46,24100,12187,12864
47,24114,12014,12843
48,24107,11998,12981
49,24066,12157,13230
50,24015,12385,13324
51,23945,12641,13332
52,23881,12964,13431
53,23818,13297,13736
54,23747,13730,14248
55,23581,14602,15136
56,23315,15627,16106
57,23035,16455,16948
58,22859,17171,17956
59,22723,17728,19013
60,22660,18010,19672
61,22608,17979,19832
62,22510,17734,19767
63,22435,17322,19641
64,22427,16821,19504
66,22414,16319,19376
67,22356,15872,19252
68,22331,15465,19131
69,22275,15097,18968
70,22069,14760,18727
71,21668,14481,18437
72,21278,14267,18134
73,21244,14083,17786
74,21455,13898,17371
75,21686,13688,16955
76,21785,13467,16598
77,21928,13246,16313
78,22122,13041,16070
79,22279,12889,15742
80,22319,12771,15267
81,22282,12642,14768
82,22184,12477,14255
83,22034,12288,13741
84,21862,12067,13241
85,21626,11817,12753
86,21319,11565,12295
87,20962,11323,11926
88,20543,11126,11695
90,20069,10959,11579
91,19521,10809,11509
92,18902,10668,11432
93,18263,10514,11326
94,17579,10393,11225
95,16829,10283,11169
96,16004,10192,11099
97,15106,10105,11023
98,14151,10020,10905
99,13180,9858,10763
100,12268,9643,10610
101,11450,9386,10434
102,10735,9087,10222
103,10124,8754,9962
104,9599,8395,9663
105,9117,8009,9323
106,8691,7627,8969
107,8315,7266,8643
108,7953,6982,8372
109,7577,6707,8146
110,7220,6440,7912
111,6869,6201,7655
113,6597,6010,7393
114,6367,5832,7193
115,6143,5667,6991
116,5928,5511,6802
117,5728,5376,6613
118,5548,5273,6418
119,5372,5198,6228
120,5209,5150,6037
121,5089,5129,5878
