height of setup:,90
time,value of sensor0,value of sensor1,value of sensor2
2,618,884,917
3,616,873,905
4,618,866,895
5,621,859,885
6,621,854,877
7,619,849,870
8,616,846,865
9,616,843,860
10,621,841,855
11,627,839,849
12,632,838,844
13,639,835,841
14,650,835,837
15,664,835,835
16,712,842,834
17,1043,864,835
18,1810,911,835
19,3015,979,837
20,4486,1055,837
21,6001,1127,837
22,7580,1193,837
23,9254,1249,836
24,10832,1297,836
26,12117,1344,835
27,13074,1416,835
28,13792,1574,835
29,14318,1868,834
30,14665,2272,834
31,14923,2667,835
32,15130,3069,836
33,15361,3428,840
34,15609,3610,842
35,15883,3664,843
36,16186,3713,843
37,16444,3761,843
38,16635,3832,844
39,16682,3849,844
40,16563,3839,846
41,16364,3798,850
42,16236,3751,852
43,16152,3707,855
44,16090,3675,857
45,16029,3639,858
46,15920,3610,859
47,15756,3583,860
49,15538,3569,863
50,15294,3548,863
51,15106,3528,866
52,15031,3532,870
53,14982,3562,874
54,14871,3606,879
55,14664,3639,887
56,14342,3657,897
57,13912,3660,906
58,13381,3643,917
59,12739,3638,929
60,12005,3649,943
61,11228,3675,960
62,10464,3682,978
63,9764,3675,997
64,9143,3664,1014
65,8583,3644,1036
66,8126,3606,1052
67,7797,3552,1067
68,7462,3481,1073
69,7080,3387,1079
70,6640,3262,1089
72,6176,3110,1095
73,5718,2972,1098
74,5299,2865,1094
75,4912,2765,1089
76,4544,2679,1081
77,4228,2586,1070
78,4038,2497,1055
79,3936,2430,1039
80,3831,2389,1026
81,3705,2369,1018
82,3542,2362,1017
83,3329,2361,1016
84,3080,2352,1013
85,2822,2337,1011
86,2576,2320,1009
87,2360,2298,1014
88,2172,2274,1026
89,2004,2258,1052
90,1863,2241,1154
91,1765,2216,1336
92,1686,2181,1506
93,1601,2136,1657
94,1520,2098,1801
96,1452,2076,1916
97,1397,2068,1988
98,1349,2070,2026
99,1307,2077,2053
100,1273,2088,2093
101,1237,2099,2147
102,1208,2098,2193
103,1181,2081,2207
104,1158,2051,2175
105,1139,2010,2108
106,1123,1965,2025
107,1106,1917,1934
108,1092,1870,1839
109,1080,1826,1744
110,1069,1781,1649
111,1058,1737,1563
112,1049,1694,1485
113,1039,1655,1420
114,1030,1621,1361
115,1023,1591,1313
116,1018,1564,1271
117,1016,1536,1232
118,1014,1514,1201
120,1009,1488,1171
121,1002,1462,1146
122,991,1438,1124
123,981,1418,1105
124,975,1397,1090
125,975,1378,1074
126,979,1359,1061
127,982,1346,1049
128,980,1335,1039
129,974,1325,1029
130,968,1317,1020
131,966,1308,1013
132,992,1298,1007
133,1098,1291,1001
134,1257,1281,997
135,1369,1271,993
136,1405,1259,990
137,1384,1248,988
138,1338,1237,997
139,1279,1225,1018
140,1218,1216,1039
141,1163,1208,1050
143,1116,1199,1048
144,1083,1190,1041
145,1071,1184,1030
146,1081,1176,1016
147,1092,1170,1002
148,1095,1161,987
149,1092,1154,975
150,1082,1147,964
151,1064,1139,954
152,1049,1130,945
153,1031,1122,938
154,1011,1114,931
155,986,1106,925
156,956,1099,922
157,925,1096,919
158,899,1096,917
159,874,1096,915
160,853,1097,914
161,836,1097,912
162,820,1099,912
163,806,1100,913
164,793,1098,913
165,781,1097,914
167,774,1095,912
168,782,1092,910
169,807,1090,907
170,833,1088,902
171,853,1089,898
172,866,1089,892
173,869,1091,889
174,861,1091,886
175,850,1090,884
176,840,1089,881
177,832,1085,879
178,819,1081,877
179,804,1078,876
180,794,1074,874
181,793,1069,873
182,800,1063,872
183,804,1055,870
184,804,1045,869
185,802,1034,867
186,799,1022,865
187,798,1011,864
188,794,999,862
