height of setup:,66.18
time,value of sensor0,value of sensor1,value of sensor2,value of sensor3
36,24481,27982,27485,20842
37,24211,27735,27515,20753
38,24182,27795,27423,21589
39,24371,27719,27003,21087
40,24630,27606,26648,20059
41,24794,27580,26399,19187
42,24702,27427,25978,18705
43,24614,27198,25182,19451
45,24834,26913,23931,19000
46,25087,26693,22742,18408
47,25156,26513,21599,17712
48,24864,25914,20332,16621
49,24411,25046,18898,15219
50,24441,24808,17744,13725
51,24490,25087,17902,12355
52,24568,24926,18404,11317
53,24724,24457,18251,10523
54,24804,24404,18148,9790
55,24811,24597,18188,9768
56,24756,24666,18533,10337
57,23086,23404,17679,10370
58,21897,22025,16757,11094
59,21504,21532,15997,11487
60,20718,21446,15289,11111
61,20161,21982,14716,10625
62,19623,21798,14081,10221
63,18334,21357,13190,9898
64,16879,21027,12385,9429
65,15997,20333,12950,9196
66,15297,19389,12943,9232
68,14319,18759,12869,9129
69,12920,18201,12671,8982
70,11901,17559,12658,9176
71,10845,16837,12644,9294
72,10015,15957,12132,9148
73,10052,14878,11241,8751
74,10562,13844,10298,8261
75,11168,13302,9423,7772
76,10951,13928,9477,7395
77,9734,14329,9876,7399
78,8929,13742,9832,6996
79,8118,12986,9331,6585
80,7309,12176,9127,6510
81,6979,11502,8826,6544
82,6405,11271,8233,5977
83,5438,10264,8053,5436
84,4631,9091,7339,5277
85,4346,8043,6573,5111
86,5423,7279,5904,4909
87,6184,6796,5330,4697
88,6164,6152,4800,4547
89,6189,5540,4372,4496
91,6958,5151,4132,4574
92,7803,4978,4102,4913
93,8121,5340,4194,5245
94,8160,5756,4408,5403
95,7856,6062,4711,5514
96,7572,6424,5054,5711
97,7254,6685,5383,5798
98,7269,6724,5469,5774
99,7836,6621,5463,5949
100,7864,6493,5684,6450
101,7734,6475,6011,6979
102,7352,6324,6129,7467
103,6953,6094,5966,8061
104,6484,5779,5757,8747
105,5957,5454,5655,9346
106,5498,5185,5917,9839
107,5100,5013,6069,9742
108,4740,4901,5846,9353
109,4390,4839,5836,9158
110,4063,4863,5842,9155
111,3773,4767,5512,9076
113,3515,4541,5102,9010
114,3263,4213,4768,9043
115,3022,3913,4578,9115
116,2867,3677,4517,9077
117,2884,3503,4616,8721
118,2980,3567,4886,8294
119,2999,3793,5209,7943
120,2927,3900,5434,7630
121,3021,3946,5413,7384
122,3276,4013,5140,7140
123,3348,4199,4852,6855
124,3343,4902,5339,6510
125,3472,5761,5831,6285
126,3752,6136,5748,6003
127,3899,6135,5523,5609
128,3908,6047,5291,5241
129,3796,5820,5078,4931
130,3581,5372,4677,4617
131,3345,4852,4192,4271
132,3016,4288,3717,3867
133,2687,3820,3335,3459
134,2385,3382,2948,3072
136,2151,3005,2615,2732
137,1960,2694,2336,2446
138,1751,2420,2113,2217
139,1577,2204,1960,2041
140,1453,2045,1845,1889
141,1352,1913,1745,1770
142,1338,1812,1663,1673
143,1454,1833,1613,1599
144,1585,1866,1627,1571
145,1632,1923,1719,1600
146,1675,2005,1803,1682
147,1748,2072,1938,1775
148,1733,2202,2106,1878
149,1623,2136,2050,1848
150,1482,2002,1926,1747
151,1371,1890,1824,1647
152,1295,1804,1745,1577
153,1236,1724,1680,1525
154,1198,1665,1624,1476
155,1156,1612,1572,1428
156,1120,1562,1521,1378
157,1090,1529,1494,1345
159,1068,1505,1473,1320
160,1053,1485,1452,1296
161,1028,1448,1422,1274
162,1004,1415,1394,1263
163,986,1386,1371,1263
164,969,1356,1343,1257
165,958,1331,1318,1243
166,982,1317,1299,1222
167,1080,1341,1291,1197
168,1569,1465,1413,1237
169,2031,1799,2223,1925
170,2338,3068,3663,2920
171,2602,4012,4343,3459
172,2612,4190,4369,3478
173,2545,4049,4092,3276
174,2430,3803,3749,3027
175,2219,3518,3464,2833
176,1999,3222,3188,2644
177,1822,2965,2907,2462
178,1716,2803,2729,2300
179,1654,2685,2595,2192
180,1725,2501,2434,2080
182,2180,2406,2296,1988
183,2383,2576,2324,1904
184,2464,2764,2494,1880
185,2431,2868,2578,1817
186,2499,3018,2622,1765
187,2549,3347,2767,1725
188,2521,3446,2951,1857
189,2481,3569,3160,2177
190,2483,3680,3130,2220
191,2375,3472,2880,2080
192,2205,3243,2739,1965
193,2144,3327,2890,2092
194,2368,3956,3364,2460
195,2567,4238,3635,2830
196,2635,4286,3729,2994
197,2624,4179,3653,2998
198,2610,4020,3516,2899
199,2558,3928,3464,2871
200,2323,3889,3531,2903
201,2438,3750,3609,3045
202,2481,3876,3810,3253
203,2565,3959,3872,3375
205,2455,3695,3592,3183
206,2227,3318,3187,2849
207,2020,3050,2828,2545
208,1826,2915,2561,2297
209,1673,2788,2367,2121
210,1543,2613,2252,2006
211,1419,2434,2152,1904
212,1338,2276,2038,1800
213,1291,2133,1914,1677
214,1217,1970,1773,1553
215,1160,1851,1674,1459
216,1120,1754,1590,1381
217,1106,1677,1523,1315
218,1130,1611,1467,1260
219,1224,1572,1466,1245
220,1717,1569,1517,1294
221,2074,1686,1658,1394
222,2042,2185,2146,1851
223,2010,2537,2541,2246
224,1996,2894,3030,2552
225,1984,3095,3460,2815
226,2086,3343,3837,3133
228,2220,3736,4027,3292
229,2127,3667,3989,3357
230,1911,3361,3660,3289
231,1738,3104,3314,3135
232,1579,2905,3031,2912
233,1482,2715,2822,2696
234,1456,2619,2714,2549
235,1385,2595,2694,2490
236,1342,2637,2765,2527
237,1396,2706,2877,2600
238,1488,2838,2961,2615
239,1443,2786,2962,2605
240,1356,2594,2784,2522
241,1343,2429,2578,2364
242,1343,2364,2445,2242
243,1338,2320,2357,2137
244,1387,2374,2408,2130
245,1426,2448,2472,2138
246,1437,2559,2564,2152
247,1373,2615,2615,2190
248,1312,2589,2551,2122
250,1315,2576,2584,2152
251,1369,2599,2689,2225
252,1379,2635,2742,2256
253,1390,2686,2757,2249
254,1413,2648,2605,2123
255,1407,2494,2401,1962
256,1349,2349,2245,1823
257,1293,2240,2148,1715
258,1224,2104,2049,1629
259,1145,1948,1922,1562
260,1076,1803,1783,1495
261,1015,1677,1655,1423
262,970,1583,1559,1365
263,936,1506,1480,1304
264,911,1442,1416,1249
265,887,1385,1361,1198
266,865,1338,1313,1151
267,845,1295,1272,1110
268,831,1263,1240,1078
269,835,1249,1224,1054
270,845,1261,1239,1051
271,860,1277,1254,1051
273,883,1288,1253,1044
274,899,1332,1276,1043
275,886,1367,1297,1049
276,876,1386,1313,1072
277,926,1441,1376,1141
278,975,1495,1456,1219
279,991,1510,1479,1253
280,993,1506,1495,1260
281,971,1462,1463,1241
282,953,1422,1419,1204
283,944,1390,1373,1165
284,961,1358,1331,1128
285,971,1327,1304,1107
286,969,1310,1314,1120
287,1023,1335,1357,1170
288,1099,1389,1415,1218
289,1123,1480,1460,1254
290,1098,1492,1457,1265
291,1052,1448,1407,1228
292,1005,1392,1349,1170
293,970,1347,1332,1144
294,933,1326,1321,1130
296,905,1298,1299,1109
297,908,1302,1302,1104
298,946,1369,1369,1156
299,991,1445,1411,1191
300,986,1474,1434,1195
301,946,1431,1421,1192
302,904,1365,1360,1148
303,864,1299,1293,1096
304,833,1247,1241,1055
305,815,1215,1214,1041
306,862,1205,1214,1042
307,963,1209,1229,1043
308,1000,1229,1253,1040
309,1001,1314,1308,1059
310,1019,1402,1352,1082
311,1053,1464,1399,1100
312,1100,1494,1405,1110
313,1120,1549,1398,1109
314,1111,1531,1370,1093
315,1071,1471,1325,1069
316,1004,1395,1270,1035
317,948,1331,1225,1003
319,911,1287,1192,978
320,889,1271,1174,966
321,930,1286,1192,983
322,992,1375,1258,1030
323,1033,1468,1330,1075
324,1104,1541,1375,1098
325,1192,1662,1448,1126
326,1204,1810,1582,1199
