height of setup:,65.37
time,value of sensor0,value of sensor1,value of sensor2,value of sensor3
34,23935,29502,28430,23939
35,23807,29640,28453,23482
36,24507,29629,28283,23125
37,25258,29256,27888,21943
38,25075,28979,27551,20297
39,25296,28953,26705,18526
40,25601,28803,25876,16801
41,25966,28912,25139,14910
42,26187,28944,24987,12972
43,25540,28790,24975,11256
44,24913,28872,25244,9991
46,25128,28794,25666,9530
47,25512,28587,25346,8979
48,25823,28355,24851,8366
49,26194,27947,24114,7942
50,26448,27227,23122,7590
51,26651,26459,21947,7165
52,26405,25636,20752,6777
53,26234,24659,19421,6415
54,25881,23654,18125,5970
55,25610,22874,17037,5551
56,25272,22251,16134,5213
57,24743,21683,15424,4850
58,24064,21224,14869,4561
59,23093,20637,14229,4238
60,21426,19596,13225,3894
61,19868,18488,11986,3754
62,18756,17703,11056,3913
63,17850,17298,10407,4056
64,17049,16969,9812,4131
65,16199,16839,9710,4013
66,15399,16711,10988,3910
68,14698,16312,11634,3957
69,14146,15903,11923,4103
70,13744,15701,11890,4418
71,13650,16029,12285,5313
72,12679,15480,12350,6194
73,10939,14423,12961,7186
74,9984,13765,13354,7889
75,9517,13771,13051,8187
76,8679,14031,12716,8270
77,7915,14069,12647,8244
78,7693,13935,11974,8159
79,7877,13753,11562,8253
80,7768,13749,11489,8430
81,7141,13131,11645,8228
82,6182,11931,11409,7832
83,5306,10631,10423,7811
84,4621,9438,9250,7554
85,4206,8469,8295,7107
86,4056,7715,7560,6733
87,3784,7060,6922,6854
88,3518,6444,6275,6955
89,3777,5963,5703,6675
91,4267,5720,5259,6175
92,4605,5635,4970,5818
93,4884,5554,4759,5868
94,5040,5490,4672,6118
95,4989,5397,4573,5965
96,4681,5132,4359,5551
97,4237,4762,4069,5082
98,3851,4414,3776,4567
99,3746,4120,3549,4126
100,4466,3958,3396,3757
101,5064,4006,3365,3473
102,5302,3992,3248,3150
103,5520,3855,3054,2838
104,6095,3719,2906,2624
105,6585,3784,2888,2556
106,6921,4004,2900,2489
107,7336,4145,2849,2381
108,7726,4426,2810,2302
109,7852,4950,2850,2241
110,7728,5460,3111,2240
111,7523,5756,3264,2265
112,7384,5767,3313,2238
114,7313,5649,3315,2236
115,7117,5681,3341,2288
116,6525,5943,3413,2313
117,5778,6122,3462,2287
118,5080,5973,3506,2300
119,4447,5784,3586,2369
120,3930,5550,3658,2679
121,3591,5236,3606,2868
122,3516,4961,3517,2824
123,3559,4937,3618,2795
124,3623,4865,3607,2801
125,3476,4667,3650,2831
126,3232,4318,3533,2768
127,3056,3962,3376,2747
128,3040,3700,3204,2729
129,3481,3708,3108,2620
130,3975,4005,3099,2454
131,4221,4218,3049,2311
132,4248,4097,2948,2226
133,3962,3838,2885,2239
134,3695,3628,2839,2228
135,3547,3510,2812,2257
137,3389,3476,2754,2444
138,3188,3364,2671,2697
139,2930,3195,2591,2600
140,2689,3066,2516,2427
141,2510,2931,2418,2254
142,2552,2818,2331,2119
143,2878,2707,2253,2049
144,2941,2600,2170,1999
145,2915,2499,2082,1935
146,3432,2430,2007,1848
