height of setup:,120
time,value of sensor0,value of sensor1,value of sensor2
0,882,1005,1090
1,855,1002,1087
2,833,1000,1084
3,811,998,1081
4,791,996,1079
5,777,994,1075
6,764,992,1073
7,752,990,1070
9,739,989,1069
10,729,989,1066
11,718,989,1065
12,713,988,1063
13,715,988,1061
14,722,987,1061
15,745,985,1060
16,818,985,1059
17,953,985,1059
18,1089,984,1059
19,1216,986,1058
20,1366,988,1057
21,1565,992,1058
22,1814,1002,1058
23,2096,1040,1058
24,2439,1106,1058
25,2858,1206,1057
26,3432,1323,1057
27,4205,1466,1058
28,5068,1654,1058
29,5851,1898,1060
30,6453,2161,1063
31,6847,2442,1071
33,6919,2887,1121
34,6660,3158,1189
35,6354,3227,1244
36,5951,3167,1282
37,5485,3104,1308
38,5116,3066,1321
39,4896,2988,1326
40,4667,2867,1321
41,4406,2718,1306
42,4197,2581,1287
43,4343,2456,1267
44,5050,2348,1250
45,5919,2257,1233
46,6666,2176,1217
47,7228,2103,1202
48,7666,2041,1190
49,8107,1996,1180
50,8506,1964,1172
51,8752,1942,1166
52,8871,1929,1162
53,8978,1927,1159
54,9138,1936,1157
55,9288,1952,1155
57,9399,1972,1153
58,9533,1991,1149
59,9672,2008,1146
60,9746,2028,1144
61,9699,2046,1139
62,9520,2051,1136
63,9199,2034,1132
64,8771,1993,1127
65,8273,1934,1125
66,7725,1868,1124
67,7142,1803,1127
68,6545,1748,1129
69,5969,1707,1134
70,5426,1676,1139
71,4926,1654,1143
72,4474,1635,1144
73,4067,1615,1144
74,3699,1599,1149
75,3369,1586,1152
76,3075,1573,1157
77,2833,1561,1161
78,2651,1551,1164
79,2523,1539,1166
81,2438,1526,1167
82,2397,1510,1170
83,2406,1494,1171
84,2458,1476,1172
85,2529,1458,1171
86,2599,1439,1171
87,2656,1422,1170
88,2698,1401,1168
89,2722,1382,1165
90,2715,1359,1163
91,2678,1341,1159
92,2610,1322,1152
93,2510,1304,1146
94,2388,1292,1141
95,2248,1275,1137
96,2107,1261,1133
97,1972,1248,1130
98,1847,1237,1127
99,1733,1227,1124
100,1633,1214,1122
101,1553,1204,1119
102,1490,1191,1117
104,1431,1183,1115
105,1396,1174,1113
106,1385,1167,1112
107,1399,1160,1111
108,1426,1155,1109
109,1460,1155,1109
110,1518,1152,1107
111,1594,1151,1107
112,1661,1147,1105
113,1715,1145,1105
114,1751,1143,1104
115,1767,1140,1103
116,1757,1137,1102
117,1721,1135,1101
118,1677,1131,1098
119,1642,1128,1097
120,1601,1125,1098
121,1554,1122,1098
122,1504,1120,1098
123,1453,1117,1100
124,1406,1113,1103
125,1360,1112,1106
126,1317,1108,1106
128,1271,1105,1107
129,1223,1101,1108
130,1182,1101,1113
131,1156,1102,1114
132,1147,1103,1118
133,1143,1103,1120
134,1156,1105,1123
135,1198,1106,1124
136,1243,1106,1125
137,1262,1106,1131
138,1255,1104,1152
139,1234,1103,1190
140,1206,1102,1237
141,1177,1103,1279
142,1153,1104,1318
143,1129,1104,1353
144,1109,1106,1381
145,1094,1106,1394
146,1098,1108,1394
147,1131,1108,1389
148,1183,1109,1378
149,1224,1109,1361
150,1251,1107,1342
152,1267,1105,1319
153,1279,1101,1298
154,1290,1098,1283
155,1294,1095,1269
156,1292,1093,1254
157,1286,1092,1244
158,1287,1089,1237
159,1307,1086,1231
160,1366,1084,1226
161,1452,1082,1223
162,1539,1082,1216
163,1613,1080,1211
164,1664,1080,1207
165,1690,1082,1202
166,1692,1083,1196
167,1666,1085,1191
168,1610,1086,1188
169,1539,1087,1184
170,1470,1089,1179
171,1407,1090,1175
172,1348,1090,1170
173,1298,1092,1165
175,1278,1091,1160
176,1285,1091,1157
177,1312,1090,1154
178,1338,1087,1152
179,1358,1085,1148
180,1365,1081,1145
181,1352,1078,1141
