height of setup:,215
time,value of sensor0,value of sensor1,value of sensor2
0,605,956,1053
1,609,954,1050
2,609,952,1048
3,606,948,1047
4,601,946,1045
5,594,943,1044
6,588,939,1042
7,582,937,1040
8,574,935,1038
9,569,933,1039
10,562,931,1039
11,558,929,1038
12,553,928,1038
13,549,928,1037
15,545,927,1038
16,543,927,1038
17,543,928,1039
18,546,929,1039
19,553,930,1039
20,558,930,1039
21,562,931,1039
22,566,932,1038
23,569,933,1037
24,570,933,1037
25,570,933,1036
26,569,934,1036
27,567,935,1035
28,565,935,1034
29,563,935,1032
30,560,935,1031
31,557,935,1030
32,570,935,1030
33,667,936,1030
34,815,937,1031
35,941,938,1032
36,1043,940,1032
38,1118,941,1032
39,1161,943,1034
40,1175,946,1035
41,1167,949,1036
42,1141,951,1036
43,1105,954,1037
44,1069,954,1037
45,1033,954,1037
46,996,954,1037
47,962,954,1037
48,951,954,1037
49,970,952,1037
50,1002,952,1037
51,1021,950,1037
52,1022,948,1037
53,1035,947,1037
54,1108,945,1037
55,1195,944,1037
56,1233,943,1037
57,1248,942,1037
58,1283,942,1036
59,1361,941,1035
60,1487,941,1033
62,1638,940,1033
63,1792,938,1031
64,1915,939,1029
65,1987,941,1028
66,2001,947,1028
67,1973,956,1026
68,1921,971,1024
69,1847,991,1022
70,1752,1013,1020
71,1642,1031,1019
72,1531,1047,1018
73,1423,1061,1017
74,1325,1069,1015
75,1242,1076,1016
76,1187,1080,1015
77,1162,1083,1016
78,1146,1085,1018
79,1125,1085,1019
80,1106,1087,1021
81,1099,1086,1023
82,1097,1085,1026
83,1101,1082,1028
85,1110,1078,1029
86,1119,1074,1030
87,1116,1068,1030
88,1100,1066,1030
89,1072,1062,1030
90,1045,1058,1029
91,1024,1054,1028
92,1013,1049,1026
93,1007,1045,1027
94,1008,1042,1026
95,1014,1040,1026
96,1024,1037,1026
97,1032,1037,1025
98,1031,1036,1025
99,1021,1037,1025
100,1003,1035,1025
101,977,1031,1025
102,950,1026,1025
103,918,1021,1025
104,885,1015,1024
105,852,1010,1025
106,822,1004,1025
107,796,999,1026
109,773,994,1026
110,752,989,1025
111,736,986,1025
112,720,981,1022
113,707,977,1021
114,696,973,1020
