height of setup:,75.12
time,value of sensor0,value of sensor1,value of sensor2,value of sensor3
0,926,1829,2254,3705
1,912,1893,2351,3514
2,896,1830,2292,3207
3,876,1722,2134,2858
4,860,1600,1939,2542
5,846,1488,1751,2269
6,834,1394,1604,2071
8,823,1324,1526,1948
9,813,1282,1992,3197
10,806,1253,4949,5943
11,799,1244,8443,8513
12,795,1568,11130,11154
13,1038,3949,12424,14776
14,2235,6913,15552,16486
15,4597,14094,17808,15977
16,9303,18829,18236,15185
17,13375,21166,17843,14593
18,15180,22057,18643,13435
19,15534,21821,17992,13033
20,14845,20916,17577,14639
21,13779,19523,19698,16259
22,12443,17824,20092,18826
23,11023,16310,20336,19978
24,9718,16131,21827,20518
25,9705,20114,22487,19932
26,14624,22120,22264,19126
27,17225,22842,22512,18199
28,17004,23191,23455,17392
30,16185,22760,24471,16806
31,16073,22282,24936,16069
32,16198,22710,24553,14833
33,16426,23944,23347,13257
34,15447,23848,23279,12175
35,14499,22885,23702,11702
36,15018,22625,22825,14506
37,17008,22414,21558,16230
38,17821,22069,20147,16744
39,19612,21554,18931,16371
40,21234,21328,17912,16972
41,21969,21058,18547,17490
42,21995,21662,19565,17112
43,21880,22106,19385,16239
44,21342,21597,18085,14898
45,20042,21132,19017,16714
46,18685,20056,18486,16898
47,17080,18758,18068,17572
48,15881,18163,17903,17987
49,15103,19209,18409,18013
50,15300,20973,18708,17688
51,17419,21466,18344,17101
53,18564,21020,17497,16247
54,18929,20236,16490,15168
55,19068,19311,15347,13826
56,18567,18185,13820,12278
57,17823,16893,12416,10769
58,17560,17748,14207,9934
59,17184,17336,14835,11765
60,17272,17784,14493,11985
61,17256,16959,13822,11886
62,16242,15494,12519,11200
63,15391,13899,10989,10168
64,14651,12395,9546,9299
65,13609,11570,8715,8718
66,12665,10882,8175,8267
67,11949,10260,7948,8015
68,10937,9819,7815,8210
69,9874,9428,7852,8109
70,8955,8988,7527,7760
71,8341,8486,7204,7362
72,7871,8011,6809,7071
73,7625,7522,6612,7069
74,7048,6632,6004,6973
76,6505,6056,5732,6886
77,6102,5616,5172,6740
78,5579,5131,4783,6406
79,5141,4794,4690,5886
80,4774,4490,4426,5391
81,4487,4119,3974,4905
82,4974,3794,3539,4392
83,6417,4116,4091,4028
84,7054,5870,5999,4336
85,7138,7347,7678,4755
86,7167,8144,8258,5423
87,7286,8608,8811,6284
88,7376,9323,8888,6606
89,7794,10195,9046,6644
90,8289,10825,9519,6873
91,8841,11103,9562,6951
92,8842,11147,9210,6761
93,8402,10910,9143,6954
94,7666,10381,9478,7424
95,7481,10237,9988,8050
96,8251,10539,10138,8246
97,9118,10911,9991,8161
99,9762,10925,9592,7896
100,9948,10666,8977,7597
101,9775,10463,8268,7335
102,9300,10223,7564,6895
103,8868,9903,6779,6284
104,8728,9471,5996,5701
105,8653,9205,5360,5180
106,8410,9080,4826,4739
107,8255,9032,4468,4290
108,8522,9084,4126,3821
109,8915,9095,3827,3451
110,8930,8577,3557,3190
111,8599,7763,3329,2995
112,8482,7076,3282,2875
113,8433,6534,3534,2906
114,7990,6309,3998,3223
115,7469,6010,4127,3365
