height of setup:,63.26
time,value of sensor0,value of sensor1,value of sensor2,value of sensor3
34,23951,28940,28455,24062
35,24703,29179,28905,24099
36,25155,29293,28998,24028
37,25678,29344,29017,23040
38,25919,29437,29069,21826
39,26227,29454,29093,21847
40,26486,29475,29023,22137
41,26707,29542,28939,21896
42,26873,29577,28867,21121
43,27046,29541,28675,21022
44,27248,29497,28552,21436
45,27386,29547,28429,21551
46,27475,29607,28153,21329
47,27475,29672,27943,21249
48,27481,29653,27497,20823
49,26985,29672,26984,20336
50,26855,29343,25996,18862
51,26934,29200,24987,17423
52,27016,28932,23945,16290
53,26900,28718,22966,15700
54,26853,28433,22239,15210
55,26970,28425,21798,14968
57,26880,28283,21139,14578
58,26913,28107,20508,14101
59,26962,27727,19895,13601
60,26614,26723,18853,12810
61,26488,25898,17897,12296
62,26332,25527,17347,11885
63,26173,25225,17037,11585
64,25930,24692,16606,11112
65,25589,24013,16010,10620
66,24653,23275,15658,10246
67,23611,22201,15162,9869
68,22634,21368,14323,9588
69,21510,20665,13456,9257
70,19846,19474,12527,8541
71,17959,18080,11574,7584
72,16174,16737,10518,6757
73,14463,15400,9444,6112
74,12949,14131,8520,5612
75,11961,12908,7738,5300
76,12047,11823,7197,5655
77,12262,10908,6840,6382
78,12529,10459,6514,7123
80,12782,10362,6345,7659
81,12767,10264,6315,7935
82,12803,10040,6271,8036
83,12880,9690,6195,7942
84,12770,9361,6097,7697
85,12701,9402,6168,7440
86,12917,9625,6364,7177
87,13199,10139,6640,6941
88,13443,10416,6815,6730
89,13773,10329,6709,6458
90,14002,10497,6679,6214
91,13789,10932,6909,6001
92,13543,11521,7510,6001
93,12950,11684,7927,6059
94,12427,11873,8251,6192
95,11882,11948,8329,6223
96,11420,11836,8139,6092
97,10734,11281,7662,5850
98,9758,10470,7115,5600
99,8728,9607,6605,5446
100,7748,8786,6207,5544
101,7174,8131,5900,5794
102,7627,7643,5652,6157
104,8366,7249,5547,6610
105,9114,7108,5861,7163
106,9324,7083,6079,7528
107,8780,7143,6276,7749
108,7965,7490,6694,7867
109,7527,7969,7328,8004
110,7398,8366,7673,7971
111,7029,8591,7831,7901
112,6597,8540,7685,7713
113,6404,8470,7485,7448
114,6120,8577,7606,7385
115,5722,8622,7787,7472
116,5423,8495,7876,7542
117,5170,8026,7537,7237
118,4842,7519,7079,6692
119,4490,7014,6577,6184
120,4086,6590,6066,5682
121,3749,6247,5604,5238
122,3787,6112,5447,5041
123,3762,6153,5551,5106
124,3599,6023,5441,4975
125,3403,5787,5250,4804
127,3283,5503,5030,4647
128,3041,5085,4797,4425
129,2806,4730,4605,3974
130,2612,4441,4231,3512
131,2409,4081,3809,3146
132,2214,3714,3419,2824
133,2062,3405,3081,2562
134,2015,3196,2809,2352
135,2195,3136,2728,2301
136,2263,3226,2909,2513
137,2310,3365,3067,2654
138,2388,3528,3148,2702
139,2384,3592,3153,2719
140,2368,3577,3128,2706
141,2394,3529,3069,2662
142,2395,3436,2989,2585
143,2362,3304,2908,2480
144,2297,3166,2837,2368
145,2197,3009,2760,2215
146,2085,2882,2686,2056
147,1979,2767,2588,1962
148,1936,2694,2509,1896
149,1930,2612,2421,1822
151,1896,2535,2347,1765
152,1831,2466,2282,1721
153,1746,2426,2246,1668
154,1654,2393,2226,1611
155,1582,2349,2220,1576
156,1557,2306,2194,1557
157,1649,2266,2145,1544
158,1748,2302,2172,1548
159,1848,2474,2396,1646
160,1937,2733,2700,1843
161,2036,2940,2879,2023
162,2116,3062,2919,2115
163,2190,3196,2969,2181
164,2319,3469,3235,2418
165,2393,3749,3559,2748
166,2406,4049,3851,3036
167,2385,4286,4015,3178
168,2401,4381,4028,3232
169,2463,4283,3860,3170
170,2396,3974,3570,2993
171,2224,3642,3291,2809
173,2032,3341,3073,2658
174,1860,3069,2888,2544
175,1720,2847,2715,2444
176,1626,2665,2539,2343
177,1559,2514,2389,2245
178,1501,2393,2288,2139
179,1468,2297,2217,2025
180,1483,2224,2148,1933
181,1742,2176,2090,1862
182,1934,2134,2030,1801
183,1921,2075,1971,1743
184,1793,2014,1926,1696
185,1707,1964,1876,1657
186,1834,1935,1835,1603
187,1900,1938,1800,1548
188,1950,2085,1828,1548
189,1931,2245,1937,1595
190,1849,2303,1978,1622
191,1743,2273,1952,1620
192,1638,2193,1866,1574
193,1536,2109,1776,1495
194,1442,2068,1744,1440
196,1374,2040,1734,1404
197,1337,1995,1719,1372
198,1309,1957,1712,1356
199,1294,1930,1727,1354
200,1293,1905,1739,1357
201,1354,1890,1745,1378
202,1462,1911,1813,1436
203,1485,1950,1892,1517
204,1453,1975,1939,1561
205,1412,1978,1901,1527
206,1409,1985,1814,1448
207,1420,1972,1759,1387
208,1465,1991,1754,1361
209,1447,2004,1784,1375
210,1451,1989,1781,1385
211,1487,1983,1777,1365
212,1503,1964,1760,1328
213,1547,1946,1742,1304
214,1614,1933,1718,1284
215,1659,1950,1725,1282
216,1661,1978,1751,1303
217,1603,1968,1763,1450
219,1531,1941,1763,1626
220,1460,1903,1759,1702
221,1389,1861,1746,1706
222,1341,1815,1714,1682
223,1295,1757,1671,1629
224,1231,1689,1615,1550
225,1184,1631,1555,1461
226,1154,1575,1497,1375
227,1134,1543,1471,1323
228,1123,1538,1475,1298
229,1099,1530,1483,1281
230,1077,1507,1475,1254
231,1074,1515,1469,1228
232,1111,1675,1566,1226
233,1207,1901,1761,1302
234,1267,1981,1836,1347
235,1265,1981,1853,1370
236,1262,1957,1851,1394
237,1332,1950,1849,1410
238,1599,2000,1883,1437
239,1791,2191,2060,1576
240,1846,2417,2329,1811
242,1848,2555,2520,1983
243,1857,2685,2658,2060
244,1887,2832,2708,2053
245,1957,2942,2692,2003
246,2013,2967,2653,1956
247,1924,2881,2586,1937
248,1789,2738,2469,1871
249,1649,2578,2326,1772
250,1508,2419,2196,1674
251,1407,2279,2076,1596
252,1338,2176,1987,1538
253,1305,2095,1921,1494
254,1304,2058,1876,1467
255,1330,2046,1868,1495
256,1366,2044,1891,1526
257,1386,2072,1931,1541
258,1398,2098,1947,1540
259,1394,2098,1941,1536
260,1378,2092,1938,1521
261,1346,2066,1914,1500
262,1321,2034,1878,1474
263,1314,2014,1848,1450
265,1314,1997,1820,1425
266,1304,1955,1783,1404
267,1311,1905,1734,1386
268,1337,1859,1692,1367
269,1365,1841,1719,1435
270,1400,1892,1792,1527
271,1411,1948,1823,1547
272,1381,1950,1810,1528
273,1326,1913,1778,1502
274,1280,1869,1744,1469
275,1242,1824,1708,1436
276,1217,1788,1674,1404
277,1207,1763,1649,1362
278,1209,1746,1633,1334
279,1214,1730,1626,1328
280,1208,1711,1618,1331
281,1184,1684,1604,1340
282,1156,1654,1590,1352
283,1129,1628,1570,1352
284,1098,1602,1548,1334
285,1059,1563,1523,1305
286,1036,1521,1485,1272
288,1030,1495,1455,1244
289,1043,1487,1440,1224
290,1063,1499,1437,1211
291,1063,1504,1434,1197
292,1053,1504,1432,1192
293,1042,1496,1427,1191
294,1032,1484,1419,1189
295,1017,1469,1411,1177
296,1004,1448,1386,1145
297,1007,1429,1354,1106
298,1118,1427,1340,1076
299,1315,1570,1468,1134
300,1452,1772,1636,1258
301,1469,1870,1703,1333
302,1442,1917,1762,1386
303,1386,1921,1791,1426
304,1315,1887,1780,1427
305,1255,1840,1747,1400
306,1212,1792,1704,1366
307,1225,1858,1749,1373
308,1312,1992,1849,1455
310,1437,2168,1976,1559
311,1522,2289,2092,1665
312,1580,2356,2175,1739
313,1601,2432,2325,1904
314,1531,2514,2485,2099
315,1458,2550,2554,2207
316,1428,2571,2591,2263
317,1429,2588,2590,2269
318,1459,2588,2574,2243
319,1472,2556,2535,2173
320,1454,2500,2463,2084
321,1440,2448,2384,1993
322,1430,2406,2319,1926
323,1413,2339,2224,1857
324,1357,2257,2151,1789
325,1322,2231,2123,1789
326,1289,2166,2076,1745
327,1295,2153,2069,1734
328,1298,2125,2033,1707
329,1305,2101,2001,1675
330,1301,2066,1963,1623
331,1290,2033,1924,1568
332,1273,1998,1881,1523
