height of setup:,210
time,value of sensor0,value of sensor1,value of sensor2
0,529,896,981
1,548,896,981
2,562,897,982
3,569,897,985
4,571,900,992
5,574,904,1000
6,578,908,1005
7,579,913,1006
8,580,918,1008
9,579,922,1008
10,578,924,1008
11,576,926,1007
12,572,927,1005
14,566,928,1002
15,560,928,1000
16,554,928,999
17,546,929,997
18,539,928,996
19,535,928,994
20,529,928,994
21,525,930,994
22,520,930,993
23,517,931,993
24,514,931,992
25,512,930,992
26,509,928,991
27,508,927,992
28,506,926,993
29,505,926,996
30,504,926,1001
31,503,926,1005
32,502,925,1006
33,502,925,1006
34,501,924,1004
35,501,924,1001
37,501,922,997
38,509,918,993
39,565,917,988
40,662,913,985
41,746,909,981
42,805,906,978
43,838,903,974
44,843,901,972
45,832,898,971
46,806,895,968
47,778,893,967
48,746,892,967
49,715,891,966
50,686,891,966
51,661,890,967
52,638,889,967
53,618,890,969
54,603,890,969
55,592,890,970
56,596,891,970
57,642,891,970
58,730,890,969
59,823,889,970
61,904,888,970
62,982,887,970
63,1060,887,970
64,1126,886,969
65,1174,886,968
66,1198,885,967
67,1202,884,966
68,1191,885,965
69,1172,885,965
70,1138,886,965
71,1092,889,965
72,1039,891,965
73,998,895,966
74,967,897,967
75,940,900,968
76,923,903,968
77,936,905,967
78,973,905,969
79,1007,905,975
80,1027,905,982
81,1043,905,991
82,1063,907,1002
84,1075,911,1011
85,1068,914,1019
86,1053,918,1022
87,1031,919,1023
88,1006,922,1026
89,975,923,1027
90,940,923,1026
91,902,925,1025
92,865,925,1027
93,832,925,1027
94,799,928,1027
95,770,929,1028
96,744,931,1027
97,721,933,1027
98,703,934,1029
99,690,935,1030
100,682,936,1031
101,678,937,1032
