height of setup:,80
time,value of sensor0,value of sensor1,value of sensor2
0,827,1228,1229
1,807,1208,1215
2,789,1191,1204
3,772,1174,1194
5,761,1162,1187
6,752,1151,1178
7,744,1140,1171
8,739,1132,1166
9,737,1125,1161
10,740,1120,1157
11,744,1118,1154
12,752,1120,1153
13,759,1122,1153
14,761,1126,1155
15,760,1130,1155
16,752,1135,1161
17,746,1140,1171
18,747,1146,1185
19,797,1167,1194
20,1249,1251,1202
21,3090,1443,1206
22,6312,1722,1209
23,9955,2000,1208
24,13147,2216,1209
25,15542,2361,1205
26,17328,2457,1202
28,18595,2537,1201
29,19416,2610,1197
30,19885,2690,1196
31,20059,2784,1195
32,20022,2896,1199
33,19887,3027,1221
34,19715,3251,1273
35,19439,3704,1332
36,19083,4360,1445
37,18740,5014,1625
38,18477,5548,1808
39,18359,5911,1955
40,18380,6057,2042
41,18495,6029,2085
42,18643,5859,2082
43,18789,5632,2097
44,18903,5359,2107
45,18997,5104,2125
46,19056,4891,2171
47,19058,4725,2228
48,19000,4596,2276
49,18867,4472,2305
50,18661,4335,2310
52,18428,4210,2322
53,18228,4122,2346
54,18018,4051,2368
55,17742,3982,2385
56,17362,3908,2396
57,16919,3806,2397
58,16457,3700,2396
59,16008,3624,2410
60,15592,3575,2437
61,15108,3547,2454
62,14496,3521,2463
63,13769,3489,2475
64,12973,3450,2489
65,12154,3409,2501
66,11331,3362,2510
67,10517,3316,2517
68,9720,3270,2523
69,8948,3230,2516
70,8213,3193,2509
71,7529,3162,2506
72,6939,3142,2500
73,6483,3127,2481
75,6145,3116,2446
76,5885,3111,2409
77,5669,3106,2380
78,5470,3098,2352
79,5275,3080,2321
80,5060,3054,2292
81,4808,3030,2270
82,4514,3009,2255
83,4204,2996,2246
84,3939,2973,2242
85,3786,2944,2241
86,3736,2903,2243
87,3686,2865,2245
88,3570,2823,2246
89,3398,2782,2245
90,3196,2730,2243
91,2989,2666,2241
92,2797,2596,2237
93,2637,2517,2220
94,2500,2432,2183
95,2387,2357,2126
96,2290,2290,2069
97,2204,2241,2033
99,2126,2220,2021
100,2055,2220,2021
101,1994,2226,2021
102,1927,2237,2019
103,1858,2249,2010
104,1794,2264,1992
105,1733,2278,1973
106,1681,2289,1952
107,1634,2293,1935
108,1593,2291,1920
109,1555,2280,1905
110,1520,2256,1883
111,1487,2219,1854
112,1456,2170,1821
113,1432,2117,1788
114,1413,2067,1763
115,1400,2024,1739
116,1388,1986,1716
117,1379,1952,1693
118,1367,1916,1666
119,1358,1878,1635
120,1357,1829,1603
122,1358,1775,1577
123,1356,1724,1561
124,1348,1688,1550
125,1337,1664,1544
126,1336,1647,1537
127,1338,1638,1531
128,1340,1628,1526
129,1367,1620,1520
130,1417,1608,1514
131,1463,1591,1504
132,1498,1573,1495
133,1525,1557,1485
134,1566,1541,1474
135,1600,1524,1463
136,1599,1504,1450
137,1570,1481,1437
138,1541,1457,1425
139,1527,1435,1414
140,1530,1421,1402
141,1537,1410,1389
142,1554,1404,1376
143,1580,1401,1362
144,1600,1402,1350
146,1592,1409,1340
147,1558,1419,1333
148,1515,1430,1325
149,1493,1442,1319
150,1485,1448,1316
151,1474,1446,1313
152,1454,1434,1310
153,1428,1421,1310
154,1396,1408,1310
155,1361,1395,1315
156,1321,1386,1319
157,1274,1375,1323
158,1226,1363,1326
159,1177,1351,1330
160,1133,1342,1334
161,1100,1334,1336
162,1093,1328,1335
163,1131,1321,1333
164,1212,1317,1328
165,1298,1311,1324
166,1380,1310,1321
167,1455,1313,1318
169,1527,1318,1318
170,1581,1323,1316
171,1601,1326,1313
172,1590,1328,1310
173,1563,1330,1307
174,1541,1331,1304
175,1530,1331,1302
176,1516,1333,1299
177,1491,1332,1298
178,1451,1330,1296
179,1407,1326,1291
180,1358,1321,1284
181,1313,1317,1278
