height of setup:,70
time,value of sensor0,value of sensor1,value of sensor2
33,25360,4750,1309
34,25466,5108,1347
35,25493,5658,1477
36,25452,6089,1607
37,25311,6355,1672
38,25187,6531,1698
39,25114,6413,1686
40,25031,6084,1652
41,24927,5794,1629
42,24853,5787,1639
43,24861,5975,1728
44,24832,6129,1841
45,24711,6091,1903
47,24527,5919,1983
48,24352,5691,2106
49,24206,5463,2294
50,24034,5281,2552
51,23921,5083,2871
52,23900,4862,3161
53,23891,4700,3484
54,23822,4632,3875
55,23673,4678,4314
56,23441,4804,4783
57,23068,4971,5273
58,22502,5150,5741
59,21723,5369,6140
60,20816,5578,6491
61,20009,5710,6806
62,19324,5743,7126
63,18624,5712,7431
64,17765,5676,7761
65,16729,5629,8047
66,15586,5598,8278
67,14438,5579,8537
68,13304,5593,8987
70,12188,5655,9501
71,11088,5764,9938
72,10034,5898,10349
73,9089,6027,10775
74,8251,6127,11008
75,7522,6143,10929
76,6917,6103,10680
77,6463,6053,10322
78,6097,6026,10014
79,5779,6038,9905
80,5456,6093,9926
81,5137,6158,9933
82,4874,6169,9935
83,4636,6124,9975
84,4418,6033,10031
85,4248,5922,9998
86,4078,5810,9793
87,3913,5716,9509
88,3816,5656,9229
89,3736,5647,8983
90,3643,5717,8801
91,3522,5843,8798
93,3420,5952,8969
94,3368,5982,9072
95,3334,5955,9062
96,3346,5928,9045
97,3384,5900,9016
98,3420,5872,8956
99,3466,5835,8965
100,3503,5789,9065
101,3519,5741,9152
102,3502,5698,9032
103,3486,5641,8773
104,3475,5572,8458
105,3447,5502,8202
106,3415,5431,8094
107,3415,5355,8098
108,3442,5280,8090
109,3462,5221,8044
110,3454,5194,7963
111,3416,5171,7818
112,3357,5149,7692
113,3280,5132,7640
114,3208,5106,7673
115,3144,5072,7641
117,3089,5016,7628
118,3054,4945,7566
119,3018,4863,7362
120,2960,4812,7083
121,2871,4784,6786
