height of setup:,67.50
time,value of sensor0,value of sensor1,value of sensor2,value of sensor3
32,10468,25099,23722,16400
33,13474,26482,24861,17048
34,15679,27183,24925,18305
35,18704,27596,25528,17733
36,18714,27437,26540,17975
37,18790,27418,26717,20231
38,18860,27418,26618,21513
39,20675,27055,25963,21584
40,21957,26924,25025,20912
41,20903,26956,24628,20637
42,21302,26463,23415,19584
43,21992,25290,21746,18068
45,21667,24075,19918,16516
46,20583,22585,17764,14840
47,19912,22378,15716,13278
48,18276,21553,15680,12048
49,16914,20435,14929,12359
50,15530,18944,13424,11958
51,14560,17398,11784,11438
52,14506,15913,10406,10675
53,13769,14586,9196,9762
54,12552,13176,7997,8777
55,11159,11862,7152,7760
56,9835,10769,6828,6806
57,8657,10049,6709,6021
58,7615,9493,6881,5369
59,6865,8762,7259,4808
60,6117,8005,7475,4356
61,5406,7323,7253,4066
62,4839,6757,6815,3910
63,4461,6327,6337,4109
64,4508,6075,5830,4246
65,6342,6102,5441,4317
66,8188,6596,5295,4595
68,9509,7037,5145,5040
69,10242,8921,5252,5227
70,10087,10715,5888,5649
71,9899,11528,6552,6358
72,9314,11244,6736,6439
73,8403,10506,6737,6723
74,7434,9512,6244,6471
75,6673,8497,5570,5952
76,5980,7732,4871,5365
77,5502,7248,4363,4912
78,5196,7205,4569,4673
79,4965,7189,4972,4701
80,4735,7132,5052,4822
81,4578,7028,5000,4565
82,4635,6724,4791,4118
83,4531,6306,4443,3715
84,4377,5836,4151,3444
85,4324,5367,3855,3268
86,4719,4975,3542,3076
87,4623,4599,3227,2813
88,4804,4376,3001,2634
89,4862,4269,2913,2532
91,4684,4199,2864,2458
92,4383,4041,2710,2334
93,3984,3766,2573,2373
94,3745,3607,2575,3204
95,4113,3642,2755,4111
96,5241,4158,3259,5823
97,6155,4996,4116,6120
98,6861,5698,4836,5659
99,7157,6018,5274,5173
100,6895,6183,5542,4924
101,6355,5932,5565,4878
102,5895,5648,5385,4905
103,6005,5757,5227,4908
104,5965,6237,5181,4884
105,5548,6691,5157,4836
106,5432,6826,5085,5038
107,5542,6643,4997,5362
108,5498,6336,4734,5535
109,5195,6292,4654,5454
110,4876,6478,4752,5239
111,4722,6478,4789,5093
112,4488,6281,4395,4750
114,4276,6119,4244,4400
115,4148,5987,4246,4086
116,4053,5929,4307,3926
117,3835,5867,4553,4094
118,3567,5524,4459,4188
119,3281,5139,4148,3990
120,3038,4799,3907,3789
121,2810,4428,3583,3509
122,2629,4076,3219,3178
123,2584,3841,3005,2905
124,2667,3770,3000,2837
125,2599,3555,2824,2743
126,2451,3288,2604,2562
127,2448,3042,2384,2349
128,2533,2893,2251,2185
129,2595,3092,2431,2067
130,2581,3277,2575,2033
131,2426,3193,2489,1960
132,2221,2949,2317,1891
133,2029,2709,2143,1822
134,1877,2488,1997,1759
135,1831,2311,1864,1679
137,2065,2181,1764,1599
138,2322,2092,1725,1565
139,2366,1999,1641,1492
140,2185,1902,1569,1430
141,2006,1867,1537,1404
142,1888,1881,1530,1372
143,1783,1851,1524,1566
144,1716,1908,1821,3001
145,1779,2268,2494,4042
146,1751,2373,2688,4309
147,1679,2357,2648,4150
148,1603,2288,2535,4012
149,1554,2198,2407,3815
150,1524,2088,2254,3489
151,1476,1976,2086,3147
152,1413,1879,1938,2842
153,1360,1786,1811,2614
154,1353,1707,1704,2427
155,1418,1685,1624,2265
156,1568,1711,1580,2116
157,2024,1791,1598,1999
158,2596,1933,1789,2017
160,2767,2227,2087,2194
161,2838,2683,2425,2387
162,2874,3037,2729,2588
163,2878,3316,3024,2772
164,2844,3633,3340,2913
165,2765,3946,3544,2990
166,2670,4148,3608,3077
167,2673,4101,3519,3025
168,2684,3859,3301,2883
169,2659,3576,3005,2651
170,2671,3232,2660,2389
171,2534,2886,2369,2187
172,2309,2591,2129,2012
173,2075,2343,1932,1864
174,1884,2178,1820,1747
175,1721,2026,1720,1650
176,1592,1888,1604,1548
177,1523,1767,1513,1460
178,1429,1676,1458,1409
179,1337,1577,1385,1352
180,1264,1490,1315,1288
181,1205,1421,1260,1236
183,1162,1374,1252,1265
184,1136,1427,1393,1413
185,1168,1576,1582,1611
186,1187,1619,1604,1658
187,1163,1581,1543,1593
188,1123,1515,1466,1503
189,1087,1449,1390,1420
190,1053,1402,1334,1347
191,1023,1351,1287,1287
192,1003,1317,1250,1236
193,982,1281,1212,1192
194,971,1270,1200,1168
195,961,1252,1183,1146
196,943,1222,1153,1116
197,927,1195,1126,1087
198,941,1187,1106,1062
199,953,1206,1114,1050
200,934,1194,1111,1044
201,913,1168,1091,1031
202,898,1151,1078,1019
203,881,1127,1060,1004
205,865,1107,1043,989
206,851,1089,1027,975
207,839,1073,1015,964
208,834,1069,1008,955
209,833,1071,1008,951
210,850,1107,1040,972
211,871,1148,1084,1010
212,884,1179,1115,1012
213,887,1195,1124,998
214,896,1205,1133,1001
215,911,1219,1131,1053
216,942,1300,1148,1330
217,1020,1392,1188,1524
218,1036,1395,1219,1541
219,1046,1489,1309,1513
