height of setup:,63.32
time,value of sensor0,value of sensor1,value of sensor2,value of sensor3
49,26084,24085,20367,10646
50,26470,23274,19621,9623
51,26367,22304,18515,8678
52,25730,21141,17208,8160
53,24927,19975,16173,8456
54,24487,18850,15099,8871
55,23879,17853,14321,8581
56,22976,16956,13483,8198
57,21898,16240,12652,7852
58,20796,16019,11974,7593
59,19816,15938,11448,7243
61,19009,15427,10905,6842
62,18118,14663,10347,6474
63,17154,13943,9842,6166
64,15948,12792,9169,5819
65,15362,11899,8633,5536
66,14802,11808,8358,5335
67,14174,11503,8168,5341
68,13517,11071,8047,5402
69,12734,10705,8017,5518
70,11922,10281,7958,5629
71,11213,9778,7804,5621
72,10712,9290,7637,5492
73,10655,8864,7469,5292
74,10950,8402,7259,5088
75,10979,7889,7021,4995
76,10883,7541,6782,4882
77,10961,7474,6546,4456
78,11053,7259,6242,3997
79,11052,6938,5866,3644
80,10954,6645,5479,3382
81,10014,6035,5126,3106
82,8833,5354,4733,3043
84,7603,4681,4289,3061
85,6503,4160,3972,3024
86,5600,3760,3744,3080
87,4910,3455,3622,3364
88,4330,3224,3554,3875
89,3879,3033,3503,3901
90,3566,2907,3520,4065
91,3232,2827,3572,4089
92,2902,2674,3394,3739
93,2624,2484,3135,3355
94,2429,2344,2950,3062
95,2274,2238,2813,2866
96,2356,2162,2697,2865
97,2511,2098,2608,3017
98,2571,2045,2525,3056
99,2551,2019,2439,2840
100,2408,1996,2347,2589
101,2324,1991,2264,2406
102,2272,1967,2183,2273
103,2239,2041,2159,2272
104,2336,2415,2334,2379
106,2532,2756,2678,2442
107,2582,2883,2924,2434
108,2518,2887,3001,2417
109,2437,2767,2908,2383
110,2343,2635,2735,2332
111,2235,2505,2602,2300
112,2165,2427,2488,2244
113,2163,2765,2458,2166
114,2221,3195,2653,2093
115,2260,3410,2872,2021
116,2196,3408,2976,1955
117,2080,3278,2995,1908
118,1947,3111,2966,1878
119,1976,2962,2869,1824
120,2243,2970,2845,1768
121,2489,3258,3263,1897
