height of setup:,84.57
time,value of sensor0,value of sensor1,value of sensor2,value of sensor3
237,1754,2505,2304,2196
238,1579,2252,2066,1998
239,1442,2049,1885,1849
240,1345,1885,1740,1717
241,1317,1789,1643,1608
242,1307,1877,1638,1521
243,1352,1953,1605,1451
244,1357,1906,1595,1410
245,1372,1902,1566,1391
246,1463,1830,1533,1397
247,1636,1766,1535,1430
248,2036,1949,1644,1548
250,2431,2981,2526,1906
251,2594,3645,3410,2861
252,2630,4160,3869,3270
