height of setup:,82.21
time,value of sensor0,value of sensor1,value of sensor2,value of sensor3
0,700,1301,2666,3845
1,688,1513,3948,4766
2,676,1592,4748,5546
3,674,1592,4936,6510
4,692,2024,5639,6677
5,1029,3063,5810,6314
6,1368,3703,5754,5778
7,1649,4592,5620,5385
9,2270,5587,6215,7803
10,2714,6616,7421,10535
11,2765,7272,7907,11469
12,2588,7221,8021,11248
13,2336,6667,7621,10643
14,2080,6006,7039,10502
15,1835,5357,6434,10481
16,1637,4828,6892,11264
17,2067,7305,9224,11096
18,4545,10066,10153,10793
19,6080,11224,10369,10233
20,6880,11566,10224,9881
21,6807,11300,11090,10125
22,6915,10946,12752,12443
23,6921,10975,13715,14744
24,6896,11016,13498,15419
25,7007,11753,14079,16110
26,7274,12912,15388,15733
27,7289,14193,16106,14966
28,7449,16443,15929,13896
29,7937,17131,15119,12695
30,9329,17393,14113,11399
32,11406,16974,12533,9973
33,12090,16502,10955,8713
34,13112,16511,9813,7696
35,13909,16885,9230,6971
36,13691,17629,10739,6597
37,12909,19245,11770,6131
38,12013,20309,11749,6114
39,12344,19791,11042,5915
40,11794,19217,11471,5732
41,10875,18415,13121,8397
42,10533,18111,13866,8741
43,10230,17025,12730,8129
44,9794,15958,11920,8002
45,8694,15704,11855,7797
46,7478,16510,11363,7427
47,6542,16491,10650,7710
48,6051,16025,10213,8349
49,6343,15159,9948,8609
50,6518,14450,9137,8083
51,6836,14210,8533,8109
52,6913,14625,8584,8456
53,7529,15195,8895,8655
55,8474,15083,9301,9676
56,8806,14637,9938,9754
57,8799,14132,9584,9061
58,9105,13775,9091,8282
59,9589,14587,9193,7656
60,10131,15884,8896,6927
61,10828,15391,8108,6639
62,10169,14194,7687,6688
63,9279,13012,7382,6602
64,8483,12058,7097,6447
65,7789,11387,7561,6827
66,7203,10763,7219,6532
67,6711,9731,6766,6418
68,6200,9033,6944,6834
69,5751,8720,7124,6839
70,5882,8971,7232,6164
71,5826,9213,7608,5837
72,5655,9007,7390,5686
73,5255,8606,6970,5482
74,4871,7901,6333,4951
75,4446,7121,5684,4885
76,3967,6347,5092,4443
78,3597,5915,4767,4084
79,3316,5501,4634,4056
80,3270,5194,4333,4159
81,3168,5749,4534,4202
82,3945,6875,5561,4456
83,4716,8299,6388,4816
84,5610,8754,6665,5191
85,5671,8544,6570,5223
86,5345,7930,5994,4945
87,4777,7067,5303,4535
88,4304,6469,4755,4137
89,3858,6832,4443,3786
90,3662,6817,4036,3450
91,3699,6228,3655,3313
92,3849,5732,3399,3512
93,3877,5862,3502,3549
94,3687,6308,4287,3756
95,3564,6979,5039,4895
96,3296,7246,5979,6637
97,3051,7309,6732,7727
98,2756,7014,7484,8358
99,2528,6740,7969,9004
101,2350,6465,8111,9476
102,2278,6334,8063,9593
103,2286,6547,8245,9869
104,2580,7433,9148,10408
105,2886,8829,9656,10343
106,3485,9686,9368,9776
107,4040,10025,8973,9020
108,4166,9897,8405,8282
109,4250,9495,7615,7403
110,4184,8659,6659,6487
111,3847,7785,5822,5760
112,3425,7029,5288,5240
113,3361,6394,5004,4912
114,3460,6059,4695,4705
115,3652,5750,4516,4400
116,3876,5596,4343,4102
117,3951,5164,3941,3833
118,3803,4784,3685,4260
119,3739,4536,4013,4752
120,3437,4372,4003,4648
121,3061,4011,3711,4325
123,2701,3639,3431,3983
124,2391,3351,3152,3585
125,2242,3301,3027,3295
126,2109,3266,3166,3331
127,2000,3114,3079,3398
128,1869,3011,3305,3593
129,1808,2875,3409,3966
130,1917,2903,3365,3959
131,2168,3055,3331,3790
132,2410,3182,3270,3581
133,2445,3450,3206,3402
134,2377,3681,3319,3305
135,2282,3787,3563,3440
136,2254,3841,3830,3648
137,2336,4035,4076,3967
138,2375,4242,4233,4185
139,2255,4441,4358,4272
140,2175,4556,4336,4128
141,2265,4438,4115,3932
142,2269,4216,3863,3743
143,2246,3984,3587,3529
144,2334,3903,3355,3262
146,2270,3935,3494,3311
147,2103,3779,3499,3412
148,2030,3588,3386,3479
149,2354,4020,3783,3659
150,2445,4427,4290,3965
151,2417,4682,4686,4141
152,2373,4728,4867,4290
153,2325,4532,4657,4231
154,2353,4232,4213,3883
155,2549,4422,4103,3662
156,2370,4489,4370,3934
157,2329,4270,4259,4141
158,2214,4014,3919,3918
159,2061,3724,3553,3571
160,1864,3449,3307,3359
161,1688,3114,2991,3089
162,1564,2820,2696,2800
163,1509,2635,2451,2521
164,1502,2672,2390,2322
165,1485,2696,2492,2349
166,1430,2653,2623,2382
167,1435,2624,2661,2396
169,1416,2648,2752,2526
170,1542,2781,2918,2722
171,1927,3109,3133,2920
172,2372,3947,3705,3191
173,2337,4273,4249,3850
174,2169,4095,4108,3916
175,2042,3912,3926,3757
176,2165,3891,3895,3732
177,2197,3898,3895,3815
178,2459,4382,4027,3885
179,2789,5076,4717,4188
180,2923,5451,5274,4797
181,2940,5299,5069,4767
182,2756,4841,4594,4466
183,2534,4372,4103,4212
184,2337,3976,3707,3952
185,2194,3649,3368,3663
186,2093,3385,3051,3325
187,1955,3215,2829,3002
188,1855,3065,2586,2681
189,1759,3121,2581,2421
190,1600,3009,2568,2290
192,1512,2785,2440,2220
193,1657,2839,2476,2234
194,1752,2870,2505,2270
195,1679,2740,2363,2152
196,1546,2517,2160,1988
197,1433,2343,1991,1841
198,1349,2262,1866,1761
199,1285,2292,1804,1785
200,1292,2369,1925,2044
201,1355,2391,2153,2232
202,1457,2410,2300,2296
203,1643,2651,2469,2371
204,2123,3454,3099,2761
205,2342,4189,3556,2915
206,2339,4314,3536,2951
207,2157,4100,3322,2862
208,1938,3793,3103,2728
209,1729,3514,2875,2505
210,1602,3262,2592,2275
211,1532,2944,2308,2052
212,1436,2643,2069,1864
214,1351,2420,1903,1727
215,1449,2371,1806,1630
216,1449,2567,2114,1637
217,1596,2659,2217,1785
218,1836,2730,2161,1808
219,2025,3359,2581,1858
220,1880,3476,2986,2210
221,1754,3392,2932,2377
222,1632,3123,2718,2243
223,1470,2776,2404,2029
224,1314,2440,2095,1804
225,1215,2217,1950,1770
226,1159,2065,1840,1690
227,1583,2019,1769,1620
228,1648,2339,1939,1606
229,1578,2450,2025,1646
230,1421,2282,1938,1659
231,1280,2077,1775,1581
232,1177,1893,1623,1471
233,1221,1776,1508,1387
234,1291,1839,1470,1357
235,1233,1844,1581,1508
237,1317,1986,1842,1718
238,1662,2280,1982,1781
239,1785,2267,1908,1705
240,1842,2108,1777,1619
241,1908,2065,1676,1555
242,1947,2345,1711,1515
243,1853,2499,1972,1648
244,1872,2611,1985,1712
245,1824,2676,1955,1681
246,1772,2694,1944,1641
247,1700,2635,1950,1623
248,1630,2591,1933,1614
249,1564,2521,1909,1654
250,1504,2420,1940,1707
251,1449,2346,1962,1694
252,1405,2273,1906,1627
253,1329,2140,1796,1552
254,1234,1991,1689,1501
255,1158,1859,1595,1466
256,1105,1770,1534,1429
257,1074,1727,1510,1416
258,1067,1719,1525,1418
260,1075,1696,1532,1438
261,1088,1701,1547,1457
262,1085,1697,1587,1534
263,1070,1680,1587,1597
264,1054,1660,1556,1584
265,1037,1645,1518,1598
266,1013,1626,1492,1582
267,994,1599,1446,1506
268,968,1557,1391,1458
269,937,1499,1341,1409
270,908,1442,1297,1361
271,883,1386,1252,1302
272,875,1340,1213,1245
273,866,1322,1210,1227
274,861,1321,1223,1229
275,842,1307,1216,1217
276,819,1269,1182,1189
277,799,1231,1146,1175
278,805,1219,1151,1261
279,819,1236,1212,1420
280,833,1274,1277,1464
281,851,1352,1357,1488
283,858,1394,1462,1527
284,854,1405,1517,1560
285,848,1404,1510,1545
286,842,1394,1488,1513
287,840,1389,1525,1505
288,833,1413,1600,1808
289,839,1495,1862,2102
290,903,1636,1911,2007
291,902,1590,1751,1808
292,862,1481,1576,1619
293,824,1380,1431,1465
294,794,1302,1320,1345
295,775,1245,1241,1255
296,765,1210,1191,1190
297,769,1194,1174,1191
298,793,1195,1229,1251
299,829,1226,1316,1324
300,852,1296,1379,1335
301,870,1347,1371,1319
302,879,1364,1343,1318
303,894,1368,1332,1319
305,916,1378,1325,1322
306,926,1394,1362,1381
307,964,1529,1517,1530
308,1048,1675,1645,1685
309,1074,1748,1709,1793
310,1054,1708,1639,1745
311,1031,1627,1545,1625
312,1012,1559,1452,1503
313,986,1495,1390,1417
314,954,1443,1337,1336
315,931,1394,1278,1266
316,904,1343,1228,1209
317,874,1295,1183,1157
318,846,1251,1142,1115
319,833,1231,1106,1082
320,847,1343,1099,1062
321,852,1472,1176,1071
322,963,1526,1249,1105
323,1037,1621,1307,1244
324,1040,1649,1478,1500
325,1027,1771,1710,1701
326,1048,1978,1970,1861
328,1040,2138,2212,2107
329,986,2039,2186,2268
330,940,1899,2022,2168
331,918,1768,1852,2001
332,973,1723,1738,1869
333,1015,1774,1728,1841
334,1061,1811,1741,1846
335,1065,1780,1701,1838
336,1046,1693,1612,1727
337,1019,1602,1501,1591
338,994,1532,1414,1477
339,977,1487,1350,1382
340,949,1449,1293,1310
341,926,1405,1258,1267
342,903,1378,1242,1235
343,882,1357,1224,1194
344,884,1350,1211,1156
345,892,1369,1224,1145
346,894,1392,1258,1173
347,1050,1528,1363,1215
348,1194,1788,1590,1344
349,1300,2004,1803,1496
351,1331,2133,1972,1675
352,1286,2164,2063,1839
353,1226,2100,2034,1899
354,1176,1988,1904,1837
355,1118,1842,1729,1763
356,1072,1703,1659,1684
357,1065,1626,1616,1607
358,1053,1645,1608,1571
359,1030,1656,1615,1575
360,1022,1691,1632,1583
361,1030,1747,1673,1597
362,1075,1803,1687,1590
363,1094,1814,1673,1570
364,1061,1752,1612,1527
365,1015,1670,1535,1455
366,987,1636,1469,1381
367,999,1762,1426,1331
368,1032,1878,1430,1315
369,1046,1867,1462,1320
