height of setup:,76.90
time,value of sensor0,value of sensor1,value of sensor2,value of sensor3
1,2204,5341,6953,9262
2,2160,5237,6916,9118
3,2111,5224,7101,8756
4,2436,6185,7764,8507
5,3287,7352,8411,8111
6,3975,8518,9292,7568
7,4782,10036,10199,7288
8,5230,10042,9800,6707
9,5150,9359,8907,6027
10,5171,9447,9347,5556
11,5206,9592,10282,6919
12,5613,10135,12396,7916
13,5629,11156,14890,8373
14,5687,12212,16884,10770
15,5542,12452,18131,11614
16,5652,14631,17789,11348
17,8155,16118,16541,10844
18,9524,17032,15567,10711
19,10449,16682,14068,10863
20,9971,15414,12700,10871
21,9964,15408,12638,10464
23,9259,16656,15010,10824
24,9436,18724,17430,10835
25,9240,20481,19826,10799
26,8373,21000,22107,11625
27,7325,20053,22636,15484
28,6811,18929,21682,17897
29,7271,17953,20225,17647
30,7528,16960,18822,17059
31,8396,15935,18293,16795
32,11093,16775,18405,15855
33,12886,19485,18998,14959
34,12526,20200,20026,16140
35,11910,19623,20103,17733
36,12163,19592,20427,19188
37,12108,20572,21082,20514
38,11400,20356,21737,21674
39,10194,19652,21423,22475
40,9280,18690,21073,22255
41,9294,18271,21202,21474
42,9883,18047,20430,20507
43,9320,16926,18612,18750
44,9310,16050,16778,17013
46,9646,16644,17071,15763
47,9259,16927,17511,14804
48,8378,17654,17900,13991
49,7713,18703,17326,13426
50,9121,18432,16303,12811
51,10886,17683,15404,11944
52,11024,18208,15213,11073
53,10548,18252,15958,11046
54,10769,17924,15418,10832
55,10499,16757,13937,10040
56,10113,15683,12291,9128
57,9475,15420,10826,8582
58,9408,14392,9580,7922
59,8546,13107,8527,7221
60,7408,11669,7401,6470
61,6263,10280,6378,5782
62,5316,9069,5534,5266
63,4710,8189,4971,4828
64,5071,8072,4964,4611
65,6137,8788,5435,4582
66,7393,9722,5486,4446
67,7484,9660,5535,4403
69,7667,9292,5566,4247
70,7546,8738,5258,4083
71,6846,7940,4803,3980
72,6197,7147,4440,3954
73,5548,6563,4407,4019
74,5081,6311,4606,4344
75,4778,6260,4909,4766
76,4522,6286,5162,5115
77,4569,6668,5556,5276
78,5056,7495,6058,5340
79,5398,8304,6078,5328
80,5649,8094,5645,5128
81,5302,7483,5315,5120
82,4777,6921,5300,5667
83,4175,6390,5903,5936
84,3638,6005,6813,6269
85,3199,5612,7530,6046
86,3016,6055,7909,6412
87,3151,6974,8054,6982
88,3270,7131,7618,7227
89,3246,6987,7354,7223
90,3241,7019,7249,6982
92,3406,7355,7239,6652
93,3605,7649,7235,6303
94,3892,7868,7435,6487
95,4078,8097,8018,6791
96,3980,8052,8150,7255
97,3862,7593,7620,7279
98,3680,7168,7198,6827
99,3437,6906,6508,6054
100,3156,6499,5727,5291
101,2892,5941,4954,4600
102,2572,5295,4262,4022
103,2254,4662,3649,3518
104,1989,4115,3136,3077
105,1777,3659,2737,2722
106,1645,3315,2451,2452
107,1624,3071,2265,2230
108,1686,3020,2154,2046
109,1755,3124,2148,1908
110,1804,3257,2279,1810
111,1959,3656,2490,1752
112,1881,3822,2532,1726
113,2158,3767,2411,1768
115,2117,3611,2443,1913
116,2028,3441,2364,1919
117,1885,3197,2249,1956
118,1715,2934,2129,1975
119,1683,2954,2159,2015
120,1729,3387,2475,2136
121,1732,3507,2734,2341
122,1795,3594,2944,2636
123,1963,3890,3197,3085
124,2263,4306,3342,3329
125,2566,4452,3575,3621
126,2672,4574,3981,4202
127,2699,4721,4412,4479
128,2692,4863,4639,4520
129,2494,4806,4711,4588
130,2368,4750,4570,4575
131,2161,4606,4504,4580
132,1926,4222,4116,4343
133,1841,3935,3762,4020
134,1794,3979,3949,4189
135,1908,3860,3791,4135
136,2084,4047,3786,4006
138,2178,4317,3900,3950
139,2256,4507,3953,3740
140,2320,4578,3958,3619
141,2267,4595,3921,3532
142,2112,4431,3820,3457
143,2008,4309,3646,3348
144,2156,4138,3467,3262
145,2407,4041,3256,3104
146,2342,3895,3134,2969
147,2257,3899,3111,2855
148,2247,3988,3263,2917
149,2183,4004,3340,3046
150,2087,4021,3479,3213
151,1922,3832,3370,3242
152,1771,3582,3153,3102
153,1604,3298,2900,2908
154,1461,3004,2632,2685
155,1535,2756,2420,2535
156,1849,2841,2337,2839
157,1968,3184,2619,3068
158,1942,3343,2979,3299
159,1901,3440,3244,3476
161,1800,3380,3239,3433
162,1647,3152,2970,3162
163,1528,2884,2647,2821
164,1489,2754,2396,2533
165,1403,2708,2275,2318
166,1373,2642,2252,2209
167,1453,2611,2243,2105
168,1589,2789,2299,1994
169,1697,3078,2564,2067
170,1728,3236,2828,2452
171,1782,3367,2980,2646
172,1775,3404,3032,2795
173,1768,3413,3061,2879
174,1827,3577,3116,2954
175,1826,4018,3679,3010
176,1813,4075,3892,2944
177,1804,4119,3692,2732
178,1802,4066,3366,2511
179,1835,3816,3015,2297
180,1836,3507,2697,2118
181,1814,3413,2505,1962
183,1687,3346,2615,2012
184,1673,3189,2595,2194
185,1708,3229,2676,2330
186,1595,3142,2693,2456
187,1479,2980,2629,2514
188,1394,2844,2556,2489
189,1332,2723,2474,2367
190,1293,2652,2402,2245
191,1262,2608,2317,2136
192,1328,2587,2211,2047
193,1488,2670,2187,2044
194,1495,2827,2278,2081
195,1573,2867,2394,2011
196,1593,2971,2516,1931
197,1539,3036,2629,1899
198,1449,3007,2697,1927
199,1331,2840,2644,2022
200,1341,2754,2581,2072
201,1319,2713,2547,2159
202,1329,2666,2447,2175
203,1399,2671,2383,2149
204,1470,2645,2319,2104
206,1470,2587,2242,2007
207,1441,2520,2130,1875
208,1520,2471,2022,1752
209,1676,2465,1912,1632
210,1689,2385,1801,1524
211,1574,2250,1709,1789
212,1466,2180,1934,2235
213,1383,2229,2227,2298
214,1311,2213,2275,2185
215,1230,2210,2341,2142
216,1163,2248,2273,1954
217,1151,2226,2062,1749
218,1169,2211,1926,1635
219,1195,2210,1896,1739
220,1225,2238,2111,1955
221,1232,2299,2267,2015
222,1245,2372,2257,1946
223,1283,2406,2178,2140
224,1252,2447,2142,2184
225,1248,2426,2151,2373
226,1291,2418,2232,2553
227,1309,2485,2446,2472
229,1304,2577,2544,2459
230,1279,2565,2577,2522
231,1193,2478,2530,2459
232,1110,2325,2391,2501
233,1048,2184,2247,2587
234,1017,2088,2126,2659
235,981,2008,2045,2591
236,1003,1953,1943,2452
237,1096,2054,1977,2321
238,1106,2068,1971,2274
239,1088,2056,1945,2197
240,1073,2047,1910,2126
241,1047,1997,1838,2035
242,1014,1938,1767,1938
243,975,1887,1706,1830
244,940,1819,1639,1744
245,911,1793,1669,1733
246,930,1801,1668,1706
247,892,1712,1580,1598
248,848,1610,1470,1477
249,809,1517,1372,1370
250,775,1431,1285,1276
252,758,1374,1214,1198
253,751,1333,1164,1139
254,747,1299,1132,1117
255,746,1281,1123,1109
256,749,1281,1129,1099
257,811,1316,1133,1088
258,870,1382,1136,1080
259,907,1381,1131,1091
260,893,1366,1134,1186
261,860,1349,1147,1225
262,871,1344,1177,1236
263,966,1381,1187,1271
264,1052,1453,1198,1584
265,1112,1503,1292,1900
266,1144,1531,1435,2053
267,1169,1568,1597,2108
268,1177,1637,1747,2124
269,1163,1768,1856,2090
270,1158,1883,1862,1979
271,1148,1933,1830,1878
272,1167,1939,1794,1808
274,1204,2035,1790,1732
275,1297,2088,1843,1703
276,1389,2258,2103,1885
277,1480,2435,2314,1976
278,1562,2584,2316,1954
279,1590,2530,2177,1899
280,1507,2464,2036,1833
281,1363,2398,2040,1762
282,1243,2267,2056,1672
283,1141,2129,1933,1575
284,1093,2035,1804,1483
285,1067,1977,1750,1407
286,1039,1955,1736,1426
287,1074,1944,1735,1490
288,1172,2046,1788,1555
289,1336,2253,1888,1629
290,1415,2456,2020,1700
291,1385,2544,2162,1827
292,1377,2603,2255,1887
293,1343,2646,2268,1822
294,1247,2634,2174,1748
295,1149,2492,2128,1726
297,1079,2344,2086,1663
298,1036,2240,1958,1556
299,1020,2120,1796,1444
300,982,2002,1682,1358
301,976,1879,1572,1316
302,990,1775,1482,1276
303,953,1689,1406,1218
304,954,1641,1333,1157
305,1012,1723,1328,1112
306,1084,1854,1438,1082
307,1208,2032,1635,1189
308,1280,2334,1943,1375
309,1264,2535,2210,1567
310,1249,2574,2347,1732
311,1211,2503,2354,1769
312,1178,2439,2265,1719
313,1216,2396,2143,1621
314,1268,2351,1995,1516
315,1303,2301,1844,1421
316,1298,2195,1708,1337
317,1247,2062,1589,1264
318,1174,1921,1482,1208
320,1164,1811,1398,1165
321,1138,1717,1328,1125
322,1109,1638,1263,1083
323,1124,1610,1208,1048
324,1192,1725,1186,1030
325,1180,1934,1346,1040
326,1200,2060,1574,1197
327,1279,2199,1764,1392
328,1270,2289,1928,1595
329,1254,2295,1916,1621
330,1241,2275,1833,1551
331,1242,2193,1749,1481
332,1227,2126,1682,1413
333,1180,2074,1604,1365
334,1160,2024,1576,1313
335,1229,2092,1585,1263
336,1254,2077,1520,1205
337,1247,1966,1454,1162
338,1247,1900,1392,1120
339,1205,1921,1355,1079
340,1179,1965,1409,1051
341,1225,2040,1429,1035
343,1215,1971,1372,1021
344,1129,1844,1301,997
345,1049,1722,1235,969
346,976,1616,1177,946
347,919,1532,1130,931
348,878,1466,1101,923
349,846,1416,1090,943
350,813,1373,1092,963
351,780,1326,1083,977
352,759,1283,1067,982
353,743,1247,1049,984
354,728,1219,1050,995
355,739,1207,1064,1000
