height of setup:,73.48
time,value of sensor0,value of sensor1,value of sensor2,value of sensor3
0,1230,4361,5546,5516
1,1696,5433,6152,5797
2,2045,6107,6604,6052
3,2468,6642,6916,6165
4,2816,7175,7500,6398
5,2911,7471,8091,6744
6,2791,7111,8579,8196
8,2640,6812,9729,10555
9,2444,7112,12049,12950
10,2277,8814,15002,13842
11,2199,11957,16912,13704
12,1999,13285,18499,13953
13,1805,12509,19388,15730
14,1636,11377,19782,17998
15,1711,11384,19719,19705
16,3294,11271,18093,21337
17,4105,10452,16558,22531
18,4257,10002,18274,22097
19,5107,14754,19375,21016
20,9108,16739,19746,20157
21,13033,18445,21674,19591
22,16052,19493,23227,18859
23,17699,18998,24165,18208
24,18203,17717,23603,17443
25,18314,16879,23577,16472
26,17323,16142,23937,15821
27,15545,14747,23391,17935
28,14564,14184,21867,20229
29,14612,16792,21559,21516
31,15756,19298,23169,21539
32,16777,22411,23280,20381
33,17874,24307,22243,18836
34,19396,25160,21517,17469
35,19868,25522,21393,16151
36,20112,25342,22418,15211
37,19507,24674,22579,17404
38,18822,23814,22785,18535
39,18817,23606,21943,17435
40,18258,23016,20294,15981
41,17853,22718,18340,14463
42,17331,21661,16364,12968
43,15967,21028,14705,11518
44,15824,20118,12782,10057
45,16722,18823,10933,8775
46,17499,19921,10188,7892
47,16881,21344,15845,7472
48,16318,21829,19911,8037
49,15323,22193,21588,8718
50,15135,22704,21816,9147
51,16748,22640,20772,9235
52,17985,22026,19294,9432
54,18027,21097,17815,9761
55,17326,19940,16407,9483
56,16707,18788,14939,9238
57,15705,17766,13654,8837
58,14374,16692,12610,8634
59,12816,15705,11621,8010
60,11366,14801,10506,7343
61,10159,13919,9489,6884
62,10254,13259,8795,6508
63,9859,13890,8556,6171
64,9238,13680,9558,5785
65,9563,13351,9510,5314
66,9704,13699,9244,4911
67,9123,13946,10131,4868
68,8652,13326,9796,5511
69,7800,12220,8985,5755
70,6926,11683,8615,5919
71,6343,11090,8612,6147
72,6291,10714,8668,6264
73,6267,10524,8546,6199
74,6033,10478,8090,5991
76,6041,10978,8194,6167
77,5747,11599,8226,6225
78,5823,11408,7779,6122
79,5725,10686,7334,6103
80,5396,9984,6976,5972
81,5495,9331,6594,5750
82,6349,9161,6010,5408
83,6524,8547,5282,4879
84,5857,7556,4657,4482
85,5136,6810,4675,4880
86,4578,6410,5003,5702
87,4161,5945,4820,6115
88,3689,5292,4678,6208
89,3249,4786,4484,6124
90,2832,4301,4201,5828
