height of setup:,70.68
time,value of sensor0,value of sensor1,value of sensor2,value of sensor3
4,696,1550,1491,1345
5,689,1505,1441,1293
6,686,1476,1408,1295
7,693,1517,2400,2283
9,1069,1710,3571,3482
10,1401,2277,4466,5230
11,1467,2982,4849,5815
12,1403,3129,4950,5830
13,1304,3123,4987,6236
14,1288,3314,5008,10883
15,1443,3485,4650,13509
16,1594,3392,4253,16681
17,1552,3228,5878,20238
18,1493,2970,10766,22419
19,1394,2786,15534,23679
20,1271,2635,17700,24293
21,1162,3745,17943,24692
22,1068,7025,18573,24937
23,987,9023,21570,24378
24,1006,10483,24093,23473
25,2189,12986,25138,23462
26,2731,14025,25882,23603
27,2757,17008,26394,22929
28,3329,22021,26327,22791
29,5705,24908,26323,22214
30,9118,26264,26061,21069
32,13322,26929,25619,20261
33,15361,27371,25768,20667
34,15089,26979,26014,22099
35,13629,26064,25982,23398
36,12288,25203,25484,23877
37,11566,24930,25032,22977
38,11164,24561,24963,22893
39,10174,23954,24477,23266
40,10294,24039,23480,23041
41,13143,24464,22851,22091
42,16769,24838,22300,20721
43,18274,25330,21598,19104
44,17505,26096,21646,17523
45,16811,25883,20375,15910
46,16325,25269,18900,14374
47,15553,24768,17579,12822
48,14773,24517,15908,11329
49,14596,23827,13993,9903
50,14612,23032,12252,8699
51,13243,22745,10775,7803
52,11288,21866,12078,8417
53,9496,20624,12352,9821
55,8041,19260,11333,9225
56,6746,17816,10177,8747
57,5560,16422,9161,7961
58,4640,15167,8474,7358
59,4127,14104,7769,6816
60,4561,13218,7080,6459
61,5689,12635,6450,6183
62,6215,11993,5777,5751
63,6034,11001,5118,5667
64,7193,10253,4801,5917
65,8684,11752,5119,5916
66,9912,13213,5429,5768
67,10382,13682,5710,5388
68,9962,13444,5956,4957
69,8942,12760,5977,4577
70,7698,11939,5802,4590
71,6406,11217,5714,5291
72,5463,10909,6021,6218
73,5969,10907,6701,6888
74,7100,10935,7147,7494
75,7532,11311,7825,7847
76,7161,11175,8097,8061
78,6909,10897,7956,8479
79,7142,10556,7598,8745
80,6965,9951,7001,8782
81,6172,9124,6342,8368
82,6558,8619,5663,7554
83,6884,9040,5087,6731
84,6648,9495,5254,6462
85,6690,9979,6147,7344
86,6858,10961,7334,7876
87,7094,11344,7351,7622
88,6477,10597,6650,6867
89,5749,9616,5873,6013
90,5524,8673,5186,5295
91,5621,7831,4726,4781
92,5593,7291,4408,4418
