height of setup:,63.74
time,value of sensor0,value of sensor1,value of sensor2,value of sensor3
37,25749,29861,29121,26663
38,25333,30009,29235,26764
39,24974,30030,29291,26753
40,25438,30071,29285,26476
41,25922,30102,29268,25937
42,26311,30143,29246,24779
43,26625,30137,29245,23401
44,26748,30129,29219,22782
45,26829,30132,29103,21956
46,26967,30128,29002,20923
47,27075,30072,28861,19997
48,27174,30098,28713,19114
49,27138,30129,28559,18745
50,27049,30140,28433,18463
51,26990,30127,28014,17885
52,26969,30085,27499,17102
53,26937,29933,26736,16162
55,26874,29963,26042,15234
56,26933,29871,25258,14556
57,27014,29771,24497,14071
58,26857,29627,23689,13623
59,25405,29412,22751,12945
60,25476,28630,21511,11957
61,25558,27280,19850,11135
62,25522,26161,18079,10534
63,25537,25731,16773,10279
64,25354,25267,15731,10345
65,24749,24820,14699,9848
66,23842,24496,13861,9340
67,22697,24026,13252,8976
68,21727,23403,12765,8660
69,20933,22655,12380,8459
70,20289,21680,11820,8327
71,19379,20322,10905,8061
72,18795,19450,10331,8194
73,17805,18418,9829,8157
74,17066,17636,9621,7897
75,16248,16859,9349,7623
76,15382,16131,9078,7460
77,14210,15211,8769,7617
79,13068,14362,8519,8062
80,13119,13781,8382,8382
81,14265,13321,8068,8062
82,15000,13014,7667,7507
83,15197,13086,7369,7033
84,14964,13221,7150,6855
85,14478,13181,7172,7276
86,13846,13125,7479,7759
87,13178,12941,7529,7863
88,12748,12552,7069,7353
89,12645,12565,6820,6820
90,12226,12573,7101,6424
91,12150,12313,7082,6033
92,12429,11903,6772,5685
93,12371,11463,6646,5481
94,11681,11114,6587,5547
95,10720,10712,6474,6208
96,9797,10192,6480,7091
97,8955,9709,6799,7676
98,8171,9311,7170,7947
99,7415,8960,7352,8030
100,6684,8548,7249,7947
102,6013,7979,6928,7759
103,5396,7449,6620,7439
104,5307,7171,6416,6918
105,6231,7009,6279,6463
106,6721,7347,6479,6132
107,6663,8026,7375,6328
108,6384,8422,7773,6529
109,6115,8671,8023,6632
110,5869,8974,8292,6767
111,5545,9195,8406,6764
112,5284,9282,8414,6755
113,4986,9245,8196,6604
114,4670,9067,7921,6362
115,4475,8999,7783,6200
116,4467,9074,7677,5982
117,4416,8929,7570,5730
