height of setup:,78.98
time,value of sensor0,value of sensor1,value of sensor2,value of sensor3
1,1272,4163,4285,4366
2,1290,4448,4491,4338
3,1212,4236,4581,4160
4,1124,3828,4366,3981
5,1034,3387,3896,3796
6,959,2995,3414,3509
7,894,2647,2987,3226
8,843,2357,2744,2862
9,802,2120,2529,2586
10,774,1935,2306,2396
11,750,1781,2078,2207
12,730,1658,1890,2035
13,714,1560,1738,1895
14,701,1480,1803,2577
15,690,1871,6272,4374
16,949,7234,8899,5654
17,3686,11260,9859,5878
18,6455,13274,9895,5802
19,9062,15094,10146,5895
20,9824,16406,14140,8406
21,9288,16294,17810,9779
22,8511,15484,19861,11200
24,7582,15903,21326,13621
25,6506,16379,21755,14977
26,6786,17621,22346,15426
27,7526,17011,22436,16055
28,7223,15688,21668,16178
29,6814,14126,20404,15428
30,6284,12704,19477,14549
31,6262,13706,19583,13552
32,7169,16551,18760,12290
33,10288,18101,17050,11029
34,13800,18024,15143,9755
35,15963,19599,15045,9155
36,16596,19285,14446,11941
37,15301,19315,15138,13744
38,14032,19658,16850,14630
39,13508,20566,17433,14325
40,13570,21621,17059,13388
41,14108,20950,15727,12256
42,13766,19788,14333,11414
43,12592,18458,13772,11363
44,11339,18407,14192,10663
45,12068,19260,13339,10126
47,12732,19583,13384,9933
48,11700,19355,14903,11480
49,10081,17857,14285,11883
50,8504,16265,13475,12437
51,7575,15896,13703,12894
52,8614,15814,13842,13143
53,9038,15013,13084,13109
54,8711,13821,11750,12495
55,7780,12344,10227,11463
56,6737,10916,8887,10304
57,5738,9589,7675,9130
58,4916,8439,6612,8023
59,4488,7454,5721,7059
60,4666,6699,4980,6227
61,5255,6391,4381,5498
62,5488,6492,3944,4872
63,5611,6466,3596,4341
64,6084,6176,3388,3949
65,6065,5777,3342,3896
66,5477,5462,3457,3941
67,4856,5151,3422,3853
68,4238,4780,3285,3673
69,3628,4382,3129,3458
71,3112,4020,2926,3241
72,2674,3628,2667,2999
73,2361,3330,2493,2794
74,2198,3259,2449,2690
75,2226,3784,2601,2736
76,3061,4271,2792,2695
77,3696,4803,3064,2654
78,4649,5496,3101,2593
79,5340,6597,3130,2612
